"pair","gene","excess_before","excess_after","retained","induced_share"
"Ductal/tumor epithelial -> Fibroblast / CAF","C5orf46",515.079275738159,359.784367909511,0.698502900148535,0.749656604379981
"Endocrine -> Ductal/tumor epithelial","FXYD2",425.043620683715,391.870193257661,0.921952887158517,0.948144842468358
"Endothelial -> Ductal/tumor epithelial","GNG11",798.995787442081,688.606357837859,0.861839785216359,0.840954247722843
"Endothelial -> Ductal/tumor epithelial","TM4SF18",616.243893745801,589.474581670033,0.956560523605268,0.942117390833403
"Endothelial -> Fibroblast / CAF","STEAP4",523.132706290913,387.09832250817,0.739961997889127,0.739377079907596
"Endothelial -> Fibroblast / CAF","EDNRB",509.158663547669,374.318638924969,0.735170911787745,0.713028213344523
"Endothelial -> Mural / pericyte","APOLD1",353.845303052647,295.955644868879,0.836398398722972,0.849367648602147
"Endothelial -> Mural / pericyte","EDNRB",181.288453030526,167.339726309207,0.923057831383391,0.910710363740945
"Exocrine epithelial -> Ductal/tumor epithelial","CFTR",110866.737897523,90217.3185253478,0.813745585341727,0.743672685079507
"Exocrine epithelial -> Ductal/tumor epithelial","CA4",1681.01830516775,1297.98348733732,0.772141197598556,0.699869891618878
"Exocrine epithelial -> Ductal/tumor epithelial","PROX1",11709.7474807175,8711.0437357601,0.743913884573908,0.668942033766907
"Exocrine epithelial -> Fibroblast / CAF","GPC3",735.763437028727,666.74068752334,0.90618893786823,0.737402113238988
"Fibroblast / CAF -> Ductal/tumor epithelial","APCDD1",2035.35501721785,1492.49224238382,0.733283495880694,0.70727789601116
"Fibroblast / CAF -> Ductal/tumor epithelial","SEMA3C",4181.18088762652,3590.20619223355,0.858658424192588,0.870644727948789
"Fibroblast / CAF -> Ductal/tumor epithelial","BASP1",2750.5082650147,1361.78734697001,0.495103891993843,0.575493228237303
"Fibroblast / CAF -> Endothelial","APCDD1",895.136523199907,649.835854457061,0.725962842108204,0.745506389815578
"Fibroblast / CAF -> Endothelial","THY1",1575.38588889533,1000.92112348044,0.635349808917165,0.6852165777895
"Fibroblast / CAF -> Immune","PMP22",3183.47967078366,2118.5074531123,0.665469131954847,0.63936456392626
"Fibroblast / CAF -> Mural / pericyte","THY1",275.213216453136,192.934230180845,0.701035483205794,0.750813701635655
"Immune -> Ductal/tumor epithelial","GLIPR1",1073.12888742988,785.541125481326,0.732010045282333,0.744823288856118
"Immune -> Ductal/tumor epithelial","KIT",352.214012609707,291.683028680505,0.828141465807387,0.842829458596669
"Immune -> Ductal/tumor epithelial","SPIB",672.877441561827,649.415923049466,0.965132553027928,0.94755064446638
"Mural / pericyte -> Ductal/tumor epithelial","TNC",475.785409802962,381.946212654746,0.802769914304271,0.882990756431632
"Mural / pericyte -> Ductal/tumor epithelial","CAVIN1",341.644451083394,234.690614868254,0.686944026528231,0.766102202156562
"Mural / pericyte -> Ductal/tumor epithelial","ACTG2",549.040093719831,451.562856698576,0.822458800119984,0.85546321096063
"Mural / pericyte -> Endothelial","ADAMTS1",2045.61373237268,1455.6246913901,0.711583359240424,0.689545925981163
