"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"Ductal/tumor epithelial -> Endothelial","Ductal/tumor epithelial","Endothelial",2645,2125,0.610473760066713,0.767932635135384,0.786490227265689,0.537675606641124
"Ductal/tumor epithelial -> Exocrine epithelial","Ductal/tumor epithelial","Exocrine epithelial",10181,7241,0.343118682808085,0.132132800725708,0.461539415714354,0.384030418250951
"Ductal/tumor epithelial -> Fibroblast / CAF","Ductal/tumor epithelial","Fibroblast / CAF",14309,8002,0.792870725071682,0.641552677947982,0.746434804467068,0.521620568757304
"Ductal/tumor epithelial -> Immune","Ductal/tumor epithelial","Immune",8477,3723,0.107258266794084,0.0898615195721905,0.11935921133911,0.106318347509113
"Ductal/tumor epithelial -> Mural / pericyte","Ductal/tumor epithelial","Mural / pericyte",413,198,0.69367058587935,0.372289880682584,0.2785292136457,0.517857142857143
"Endocrine -> Ductal/tumor epithelial","Endocrine","Ductal/tumor epithelial",2113,423,0.0959809088247736,0.170451111526464,0.134684641863438,0.306584017423354
"Endocrine -> Endothelial","Endocrine","Endothelial",3678,1622,-0.000243937549964768,0.045096262857644,0.0478817429283998,0.298405466970387
"Endocrine -> Exocrine epithelial","Endocrine","Exocrine epithelial",5162,2084,0.90881449309896,0.913828015451511,0.920737117266659,0.350745349266971
"Endocrine -> Fibroblast / CAF","Endocrine","Fibroblast / CAF",2359,415,0.588224793568517,0.702487337244268,0.669468350284732,0.257936507936508
"Endocrine -> Immune","Endocrine","Immune",946,476,0.0160800037883329,0.178150482744679,0.172956237172394,0.224003466204506
"Endothelial -> Ductal/tumor epithelial","Endothelial","Ductal/tumor epithelial",4071,1976,0.845164424885829,0.795144486106086,1,0.433030422757803
"Endothelial -> Endocrine","Endothelial","Endocrine",535,194,0.0193710519823873,-0.0138932876187647,0.00355291603309127,0.0476190476190476
"Endothelial -> Exocrine epithelial","Endothelial","Exocrine epithelial",6434,4267,0.756591102860818,0.717990606719725,0.734778156593395,0.53680800942285
"Endothelial -> Fibroblast / CAF","Endothelial","Fibroblast / CAF",7187,3448,0.722329278769646,0.805813382712511,0.83647071627539,0.594546663710929
"Endothelial -> Immune","Endothelial","Immune",2548,1385,0.924448642755384,0.949886551223291,0.946522190536854,0.615424164524422
"Endothelial -> Mural / pericyte","Endothelial","Mural / pericyte",803,443,0.921481501523365,0.676808817120597,0.616846762427794,0.488439306358382
"Exocrine epithelial -> Ductal/tumor epithelial","Exocrine epithelial","Ductal/tumor epithelial",362132,26197,0.53958668600329,0.911909551973872,NA,0.0681873627714077
"Exocrine epithelial -> Endocrine","Exocrine epithelial","Endocrine",6086,1923,0.0520284789202108,0.171704792862368,0.266194214677522,0.124513618677043
"Exocrine epithelial -> Endothelial","Exocrine epithelial","Endothelial",46048,14758,0.130505050226879,0.398095202311408,0.407656425990637,0.537444933920705
"Exocrine epithelial -> Fibroblast / CAF","Exocrine epithelial","Fibroblast / CAF",38961,9518,0.227876039869634,0.416728180168096,0.416202429856662,0.226898444647758
"Exocrine epithelial -> Immune","Exocrine epithelial","Immune",46804,17470,0.0726988321780336,0.147420023039914,0.140038761233866,0.176524953789279
"Exocrine epithelial -> Mural / pericyte","Exocrine epithelial","Mural / pericyte",650,169,0.197616967005975,0.135571580405715,0.123269226057138,0.124324324324324
"Fibroblast / CAF -> Ductal/tumor epithelial","Fibroblast / CAF","Ductal/tumor epithelial",24080,12254,0.864266009303532,0.504335735387451,0.760673439691948,0.343565525383707
"Fibroblast / CAF -> Endocrine","Fibroblast / CAF","Endocrine",1548,622,0.547665420607707,0.744091378728398,0.765134458425057,0.692614770459082
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",15510,6557,0.747493173015505,0.752935619586041,NA,0.542257865515114
"Fibroblast / CAF -> Exocrine epithelial","Fibroblast / CAF","Exocrine epithelial",12337,6644,0.825827758727329,0.748631094259746,0.802594297021019,0.564077025232404
"Fibroblast / CAF -> Immune","Fibroblast / CAF","Immune",38636,15369,0.582419823700584,0.577985273177102,NA,0.445977011494253
"Fibroblast / CAF -> Mural / pericyte","Fibroblast / CAF","Mural / pericyte",2446,1393,0.139139875162501,0.132619620515263,NA,0.07773851590106
"Immune -> Ductal/tumor epithelial","Immune","Ductal/tumor epithelial",5909,2230,0.644279731742883,0.7922621199496,0.675005710787624,0.761680777673252
"Immune -> Endocrine","Immune","Endocrine",305,126,0.674137264127293,0.622833272987006,0.622833272987006,0.433734939759036
"Immune -> Endothelial","Immune","Endothelial",3000,1361,0.723080461552488,0.580917475562147,0.73304301260433,0.416918429003021
"Immune -> Exocrine epithelial","Immune","Exocrine epithelial",7844,4199,0.717032387668522,0.700278231913198,0.7737282384415,0.608229371853797
"Immune -> Fibroblast / CAF","Immune","Fibroblast / CAF",32837,15908,0.00170919018835713,0.00388669133116304,NA,0.0185512367491166
"Immune -> Mural / pericyte","Immune","Mural / pericyte",1130,536,0.843007211523733,0.574582983237968,0.572918694324902,0.607142857142857
"Mural / pericyte -> Ductal/tumor epithelial","Mural / pericyte","Ductal/tumor epithelial",997,337,0.463146049272106,0.688327092327875,0.798384508153281,0.499053346697851
