"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"Ductal/tumor epithelial -> Endothelial","Ductal/tumor epithelial","Endothelial",2645,2125,0.628946760977365,0.525848825136102,0.543544454917529,0.360153256704981
"Ductal/tumor epithelial -> Exocrine epithelial","Ductal/tumor epithelial","Exocrine epithelial",10181,7241,0.908509905857589,0.820763083280459,0.924732708769701,0.17743979721166
"Ductal/tumor epithelial -> Fibroblast / CAF","Ductal/tumor epithelial","Fibroblast / CAF",14309,8002,0.3896286753797,0.396018119951318,0.407937780090647,0.114141020646669
"Ductal/tumor epithelial -> Immune","Ductal/tumor epithelial","Immune",8477,3723,0.595925184078185,0.636835341473094,0.750011942656347,0.254556500607533
"Ductal/tumor epithelial -> Mural / pericyte","Ductal/tumor epithelial","Mural / pericyte",413,198,0.795088687587884,0.761371698821417,0.809668453218881,0.31547619047619
"Endocrine -> Ductal/tumor epithelial","Endocrine","Ductal/tumor epithelial",2113,423,0.218703811793301,0.260313104558307,0.250117101750433,0.0274752889931312
"Endocrine -> Endothelial","Endocrine","Endothelial",3678,1622,0.71741180645295,0.723528353607075,0.722664712545433,0.480637813211845
"Endocrine -> Exocrine epithelial","Endocrine","Exocrine epithelial",5162,2084,0.267171611387941,0.351752736150609,0.338687749864629,0.229148700258716
"Endocrine -> Fibroblast / CAF","Endocrine","Fibroblast / CAF",2359,415,0.389711801025167,0.439906093910499,0.429016609414032,0.158730158730159
"Endocrine -> Immune","Endocrine","Immune",946,476,0.29223744991906,0.294239534324125,0.293734390123177,0.304159445407279
"Endothelial -> Ductal/tumor epithelial","Endothelial","Ductal/tumor epithelial",4071,1976,0.167482634073771,0.152980809330405,0.217103710114142,0.0541288028447254
"Endothelial -> Endocrine","Endothelial","Endocrine",535,194,0.21623350670176,0.17673719303967,0.155898114789783,0.180952380952381
"Endothelial -> Exocrine epithelial","Endothelial","Exocrine epithelial",6434,4267,0.222614960349505,0.219454063198831,0.227223504872208,0.222173144876325
"Endothelial -> Fibroblast / CAF","Endothelial","Fibroblast / CAF",7187,3448,0.278349309288085,0.292182714558317,0.293319413621682,0.140988694302815
"Endothelial -> Immune","Endothelial","Immune",2548,1385,0.393153154818701,0.408479487070785,0.397427510854187,0.327506426735218
"Endothelial -> Mural / pericyte","Endothelial","Mural / pericyte",803,443,0.314026439982028,0.161713190750407,0.225770102126751,0.468208092485549
"Exocrine epithelial -> Ductal/tumor epithelial","Exocrine epithelial","Ductal/tumor epithelial",362132,26197,0.00589624286284252,0.00384388133428193,NA,0.0191510124420591
"Exocrine epithelial -> Endocrine","Exocrine epithelial","Endocrine",6086,1923,0.543680429528079,0.633186226393682,0.684094664111599,0.0324254215304799
"Exocrine epithelial -> Endothelial","Exocrine epithelial","Endothelial",46048,14758,0.685774079356075,0.694195910133886,0.69011952162189,0.351541850220264
"Exocrine epithelial -> Fibroblast / CAF","Exocrine epithelial","Fibroblast / CAF",38961,9518,0.598195223484247,0.705982507009067,0.692916284847208,0.0876486733760292
"Exocrine epithelial -> Immune","Exocrine epithelial","Immune",46804,17470,0.641886459762983,0.665358489967439,0.639235748580446,0.249306839186691
"Exocrine epithelial -> Mural / pericyte","Exocrine epithelial","Mural / pericyte",650,169,0.68381424499583,0.650548897498613,0.631439260580409,0.32972972972973
"Fibroblast / CAF -> Ductal/tumor epithelial","Fibroblast / CAF","Ductal/tumor epithelial",24080,12254,0.214788448628787,0.19135787336978,0.202211660309928,0.0369933097205823
"Fibroblast / CAF -> Endocrine","Fibroblast / CAF","Endocrine",1548,622,0.275682834083052,0.255714518609016,0.252213569806372,0.17564870259481
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",15510,6557,0.451331877589212,0.390391638372355,NA,0.415792720542875
"Fibroblast / CAF -> Exocrine epithelial","Fibroblast / CAF","Exocrine epithelial",12337,6644,0.409127244556957,0.382792656568175,0.370484893347822,0.196325807879593
"Fibroblast / CAF -> Immune","Fibroblast / CAF","Immune",38636,15369,0.398559403490243,0.376428861440006,NA,0.463793103448276
"Fibroblast / CAF -> Mural / pericyte","Fibroblast / CAF","Mural / pericyte",2446,1393,0.764462955962666,0.693056593316633,NA,0.236749116607774
"Immune -> Ductal/tumor epithelial","Immune","Ductal/tumor epithelial",5909,2230,0.214185070576922,0.221754384614493,0.210777486647894,0.0542489808717466
"Immune -> Endocrine","Immune","Endocrine",305,126,0.532382722401223,0.41488372653051,0.41488372653051,0.216867469879518
"Immune -> Endothelial","Immune","Endothelial",3000,1361,0.36448849515445,0.37401642396888,0.488742676637688,0.501510574018127
"Immune -> Exocrine epithelial","Immune","Exocrine epithelial",7844,4199,0.371591179293025,0.357025151742016,0.359505527982983,0.233311446706063
"Immune -> Fibroblast / CAF","Immune","Fibroblast / CAF",32837,15908,0.00387068944010727,-0.011365531933921,NA,0.0865724381625442
"Immune -> Mural / pericyte","Immune","Mural / pericyte",1130,536,0.611898860983635,0.605644839643751,0.600134460613594,0.464285714285714
"Mural / pericyte -> Ductal/tumor epithelial","Mural / pericyte","Ductal/tumor epithelial",997,337,0.233193384812353,0.241579546993775,0.223798426060708,0.0699409733823365
"Mural / pericyte -> Endothelial","Mural / pericyte","Endothelial",5012,1031,0.424998265061782,0.591719931812266,0.625420214451261,0.430110100526568
"Mural / pericyte -> Exocrine epithelial","Mural / pericyte","Exocrine epithelial",423,266,0.493511948922107,0.585358933646147,0.586994065131924,0.228192083385035
"Mural / pericyte -> Fibroblast / CAF","Mural / pericyte","Fibroblast / CAF",2270,943,0.418254944280685,0.566539880451645,NA,0.169486581096849
"Mural / pericyte -> Immune","Mural / pericyte","Immune",2662,1436,0.649563231489932,0.64087140211926,NA,0.361448103215868
