"pair","source","target","pool","strict"
"Ductal/tumor epithelial -> Endothelial","Ductal/tumor epithelial","Endothelial","GPX2;TMC5;SERPINB3;COL17A1;CAPN8;DMBT1;GPRC5A;EPCAM;EHF;CXCL6;KRT7;FOXJ1;LIF;SERPINB2;C15orf48;PPP1R1B;BAMBI;CFB;LGR5;FOXA1","GPX2;TMC5;SERPINB3;COL17A1;CAPN8;DMBT1;GPRC5A;EPCAM;EHF;CXCL6;KRT7;FOXJ1;LIF;SERPINB2;C15orf48"
"Ductal/tumor epithelial -> Exocrine epithelial","Ductal/tumor epithelial","Exocrine epithelial","SERPINB3;COL17A1;GPRC5A;CAPN8;DMBT1;MALL;TMC5;GPX2;LIF;MKI67;FHL2;FOXJ1;UBE2C;CCNB2;SERPINB2;CENPF;FOXA1;LGR5;CDK1;CXCL6","SERPINB3;COL17A1;GPRC5A;CAPN8;DMBT1;MALL;TMC5;GPX2;LIF;MKI67;FHL2;FOXJ1;UBE2C;CCNB2;SERPINB2"
"Ductal/tumor epithelial -> Fibroblast / CAF","Ductal/tumor epithelial","Fibroblast / CAF","GPX2;TMC5;COL17A1;EPCAM;DMBT1;CAPN8;EHF;SERPINB3;GPRC5A;MET;ARFGEF3;FOXJ1;FOXA1;PPP1R1B;MALL;CXCL6;SERPINB2;UBE2C;KRT7;BAMBI","GPX2;TMC5;COL17A1;EPCAM;DMBT1;CAPN8;EHF;SERPINB3;GPRC5A;MET;ARFGEF3;FOXJ1;FOXA1;PPP1R1B;MALL"
"Ductal/tumor epithelial -> Immune","Ductal/tumor epithelial","Immune","GPX2;COL17A1;EPCAM;TMC5;GPRC5A;SERPINB3;DMBT1;CAPN8;FOXA1;MET;MALL;FOXJ1;ARFGEF3;EHF;CXCL6;PPP1R1B;KRT7;CFB;BAMBI;ERBB2","GPX2;COL17A1;EPCAM;TMC5;GPRC5A;SERPINB3;DMBT1;CAPN8;FOXA1;MET;MALL;FOXJ1"
"Ductal/tumor epithelial -> Mural / pericyte","Ductal/tumor epithelial","Mural / pericyte","GPX2;EHF;EPCAM;COL17A1;SERPINB3;TMC5;DMBT1;CXCL6;GPRC5A;ARFGEF3;CAPN8;KRT7;MET;C15orf48;MALL;FOXJ1;SERPINB2;MKI67;PPP1R1B;UBE2C","GPX2;EHF;EPCAM;COL17A1;SERPINB3;TMC5;DMBT1;CXCL6;GPRC5A;ARFGEF3;CAPN8;KRT7"
"Endocrine -> Ductal/tumor epithelial","Endocrine","Ductal/tumor epithelial","INS;SST;GCG;CHGA;PCSK2;SCGN;HEPACAM2;PPY;GHRL;PPP1R1A;PCP4;MMRN1;SLC18A2;PRG4;SCGB2A1;TENT5C;KCNMA1;PGR;TM4SF4;ESR1","INS;SST;GCG;CHGA;PCSK2;SCGN;HEPACAM2;PPY;GHRL;PPP1R1A;PCP4"
"Endocrine -> Endothelial","Endocrine","Endothelial","INS;GCG;SST;CHGA;PCSK2;SCGN;PPY;HEPACAM2;PPP1R1A;PCP4;GHRL;SCGB2A1;TM4SF4;SLC18A2;KCNMA1;TENT5C;PRG4;PGR;FXYD2;HEMGN","INS;GCG;SST;CHGA;PCSK2;SCGN;PPY;HEPACAM2;PPP1R1A;PCP4;GHRL;SCGB2A1;TM4SF4"
"Endocrine -> Exocrine epithelial","Endocrine","Exocrine epithelial","INS;GCG;CHGA;PCSK2;SST;PPY;SCGN;MMRN1;HEPACAM2;GHRL;PCP4;PPP1R1A;SCGB2A1;PRG4;SLC18A2;TM4SF4;PGR;KCNMA1;SNCA;ESR1","INS;GCG;CHGA;PCSK2;SST;PPY;SCGN;MMRN1;HEPACAM2;GHRL;PCP4;PPP1R1A"
"Endocrine -> Fibroblast / CAF","Endocrine","Fibroblast / CAF","INS;SST;GCG;CHGA;SCGN;PCSK2;PPY;PPP1R1A;HEPACAM2;SCGB2A1;TM4SF4;GHRL;PCP4;MMRN1;SLC18A2;FXYD2;TENT5C;KCNMA1;VWA5A;SNCA","INS;SST;GCG;CHGA;SCGN;PCSK2;PPY;PPP1R1A;HEPACAM2;SCGB2A1;TM4SF4;GHRL"
"Endocrine -> Immune","Endocrine","Immune","INS;GCG;SST;CHGA;SCGN;PCSK2;PPY;PPP1R1A;HEPACAM2;SCGB2A1;TM4SF4;GHRL;PCP4;MMRN1;SLC18A2;PRG4;FXYD2;PGR;TENT5C;VWA5A","INS;GCG;SST;CHGA;SCGN;PCSK2;PPY;PPP1R1A;HEPACAM2"
