pair,observed,null_mean,null_sd,n_molecules,enrichment
Ductal/tumor epithelial -> Endothelial,0.36500920810313076,0.28935543278084713,0.013877757037206041,2715,1.2614562118126273
Ductal/tumor epithelial -> Exocrine epithelial,0.2603403918464279,0.2460122699386503,0.004636955399158581,10106,1.0582414930415895
Ductal/tumor epithelial -> Fibroblast / CAF,0.3849080532656944,0.3327837666455295,0.004968491451529395,14193,1.1566310975609757
Ductal/tumor epithelial -> Immune,0.45087172381942037,0.41437478351229656,0.006362983430500003,8661,1.088077126696202
Ductal/tumor epithelial -> Mural / pericyte,0.34076433121019106,0.3656050955414013,0.019256326697873864,314,0.9320557491289198
Endocrine -> Ductal/tumor epithelial,0.48458574181117536,0.43487475915221585,0.008792230750198738,2076,1.1143110323438192
Endocrine -> Endothelial,0.7970858067997841,0.75102536427415,0.008612736976716261,3706,1.0613300758092912
Endocrine -> Exocrine epithelial,0.551071155317521,0.453672532517215,0.008234189922708461,5228,1.2146892655367232
Endocrine -> Fibroblast / CAF,0.5481611208406305,0.5066549912434326,0.013758961199291373,2284,1.0819218804009678
Endocrine -> Immune,0.5394144144144144,0.5043918918918919,0.020397809476565193,888,1.069435141772717
Endothelial -> Ductal/tumor epithelial,0.33705007824726135,0.25657276995305167,0.004283278242853267,5112,1.3136627020433058
Endothelial -> Endocrine,0.35141800246609123,0.2768187422934648,0.021294594376289205,811,1.269487750556793
Endothelial -> Exocrine epithelial,0.4327754276255288,0.2593985653853228,0.0058990973697458475,10874,1.668380189314709
Endothelial -> Fibroblast / CAF,0.4217793118806369,0.34220020042311544,0.002946384750028962,8981,1.2325513291901213
Endothelial -> Immune,0.3866995073891626,0.3358990147783251,0.010022958611982956,3248,1.1512373968835932
Endothelial -> Mural / pericyte,0.39858012170385393,0.3681541582150102,0.016683492912761198,986,1.0826446280991733
Exocrine epithelial -> Ductal/tumor epithelial,0.8348619959789718,0.8465935313433312,0.0003842767721313491,377018,0.986142658867539
Exocrine epithelial -> Endocrine,0.6097074468085106,0.5909441489361702,0.005632225880417071,7520,1.0317513895452193
Exocrine epithelial -> Endothelial,0.7511919140550506,0.7324857500052974,0.0013350379142602798,47193,1.0255379221365302
Exocrine epithelial -> Fibroblast / CAF,0.6994716642575886,0.6738199671036236,0.0021733217479327294,40126,1.038069066525629
Exocrine epithelial -> Immune,0.7429963459196103,0.7213732736018497,0.0019727825698477777,48439,1.0299748730775617
Exocrine epithelial -> Mural / pericyte,0.5067961165048543,0.4297087378640777,0.030934787388778872,515,1.1793944871215543
Fibroblast / CAF -> Ductal/tumor epithelial,0.38025514641925195,0.3190229051899101,0.002741556379751768,34490,1.1919368178058911
Fibroblast / CAF -> Endocrine,0.44847112117780297,0.40016987542468857,0.0189758444868534,1766,1.1207018536861468
Fibroblast / CAF -> Endothelial,0.5701034605779522,0.5504682483053871,0.003901651269600679,22424,1.03567001790387
Fibroblast / CAF -> Exocrine epithelial,0.42692756684640615,0.32767246650731,0.002666124942602697,17989,1.3029094918992281
Fibroblast / CAF -> Immune,0.5877145471863736,0.5651588442933717,0.0024891618390336344,53543,1.0399103776234868
Fibroblast / CAF -> Mural / pericyte,0.4675938803894298,0.4559944367176635,0.007975164608667356,3595,1.0254376868175439
Immune -> Ductal/tumor epithelial,0.30244323790720634,0.2308736426456071,0.004361655078908551,8104,1.3099946552645645
Immune -> Endocrine,0.4468864468864469,0.35421245421245423,0.031040579197626934,273,1.2616339193381592
Immune -> Endothelial,0.3742120343839542,0.302865329512894,0.01271057071469266,3490,1.2355723746452223
Immune -> Exocrine epithelial,0.38019630484988454,0.26911085450346417,0.005565299434663401,10392,1.4127869555889296
Immune -> Fibroblast / CAF,0.560434476516142,0.515252941768078,0.0021297001518563513,49715,1.087688067520827
Immune -> Mural / pericyte,0.4169653524492234,0.3696535244922342,0.022205515231520073,837,1.1279896574014219
Mural / pericyte -> Ductal/tumor epithelial,0.2713431212615552,0.22354540511147364,0.01138410916694626,1839,1.2138165896375577
Mural / pericyte -> Endothelial,0.5150298004664421,0.5373412801243845,0.006514746235980752,7718,0.9584780092592593
Mural / pericyte -> Exocrine epithelial,0.3008720930232558,0.2622093023255814,0.008505080719958018,688,1.147450110864745
Mural / pericyte -> Fibroblast / CAF,0.315639564992232,0.31346452615225273,0.006863634766753207,3862,1.0069387080786387
Mural / pericyte -> Immune,0.4463093304457679,0.44145461108103234,0.002324459337919861,5541,1.0109970974203835
