pair,state,median_nn_obs,median_nn_null,dist_ratio,coloc1um_obs,coloc1um_null,coloc_enrichment,n_molecules
Ductal/tumor epithelial -> Endothelial,exposed,3.3169763269094132,3.5941522878771783,1.0835628396618746,0.0625494853523357,0.03642121931908155,1.717391304347826,2526
Ductal/tumor epithelial -> Endothelial,unexposed,4.45597723125665,4.429937620334999,0.994156251351781,0.05042016806722689,0.022478991596638655,2.2429906542056077,476
Ductal/tumor epithelial -> Exocrine epithelial,exposed,3.8298146224637417,3.9778599623907884,1.0386560067577915,0.028402366863905324,0.02532544378698225,1.1214953271028036,9295
Ductal/tumor epithelial -> Exocrine epithelial,unexposed,4.106003364119493,4.596338577579379,1.1194190968630722,0.03501945525291829,0.02178988326848249,1.6071428571428572,514
Ductal/tumor epithelial -> Fibroblast / CAF,exposed,3.3319593674741697,3.509939084294115,1.0534159325462797,0.07404380516508663,0.04459790781301079,1.6602528862012094,12236
Ductal/tumor epithelial -> Fibroblast / CAF,unexposed,4.155310305969819,4.44933510032993,1.070758805651095,0.04844497607655503,0.02673444976076555,1.8120805369127517,1672
Ductal/tumor epithelial -> Immune,exposed,2.8952385633088857,3.104435940244896,1.072255661273358,0.07891475003443052,0.05630078501583804,1.4016634050880628,7261
Ductal/tumor epithelial -> Immune,unexposed,3.3852367802438734,3.854048028856785,1.1384869889600864,0.06899810964083176,0.035822306238185254,1.9261213720316626,1058
Ductal/tumor epithelial -> Mural / pericyte,exposed,3.2190773905732435,3.2160354243240903,0.9990550192244333,0.07006369426751592,0.05509554140127389,1.2716763005780347,314
Ductal/tumor epithelial -> Mural / pericyte,unexposed,3.581953408324509,4.1757163882281585,1.1657651320990765,0.08771929824561403,0.042105263157894736,2.0833333333333335,114
Endocrine -> Ductal/tumor epithelial,exposed,3.051003741099187,3.2034774256757164,1.0499749254720998,0.07389558232931727,0.04417670682730924,1.6727272727272726,1245
Endocrine -> Ductal/tumor epithelial,unexposed,4.134945199791978,4.470172069481375,1.0810716595969063,0.02726045883940621,0.01939271255060729,1.405706332637439,7410
Endocrine -> Endothelial,exposed,2.10742822545379,2.795090966244724,1.32630422829364,0.16129032258064516,0.07045840407470289,2.289156626506024,589
Endocrine -> Endothelial,unexposed,4.246615508026059,4.348126168061409,1.02390389707839,0.04032258064516129,0.02056451612903226,1.9607843137254901,744
Endocrine -> Exocrine epithelial,exposed,2.7740193013651426,3.233016903249614,1.1654630166627142,0.09474063400576369,0.04247118155619597,2.230703986429177,2776
Endocrine -> Exocrine epithelial,unexposed,4.128172284170888,4.55587452488937,1.103605714896752,0.03261336003432985,0.016306680017164926,2.0,6991
Endocrine -> Fibroblast / CAF,exposed,2.831680042635612,2.9419815661167896,1.0389526789116024,0.10574712643678161,0.06513409961685823,1.6235294117647059,1305
Endocrine -> Fibroblast / CAF,unexposed,4.141651140007844,4.40707903807286,1.0640874591056246,0.04380883417813179,0.024366401158580738,1.797919762258544,2762
Endocrine -> Immune,exposed,2.707110257666194,2.907203876206949,1.0739141000903512,0.12714776632302405,0.06563573883161512,1.9371727748691097,582
Endocrine -> Immune,unexposed,3.8756845702616207,3.927395581890339,1.013342420078636,0.03048065650644783,0.027960140679953106,1.090146750524109,1706
Endothelial -> Ductal/tumor epithelial,exposed,3.5833137153996684,3.8328535743531424,1.0696394116655348,0.07013251783893985,0.027849133537206933,2.5183016105417275,4905
Endothelial -> Ductal/tumor epithelial,unexposed,4.310233198647232,4.729531805029873,1.0972797960245486,0.032262973672196014,0.015598843402830619,2.0682926829268293,6571
Endothelial -> Endocrine,exposed,3.3241111213087526,3.736783584379946,1.1241452069474496,0.0845959595959596,0.03926767676767677,2.1543408360128615,792
Endothelial -> Endocrine,unexposed,3.988593110963888,4.328491161785907,1.0852175294310427,0.06116207951070336,0.0327217125382263,1.869158878504673,327
Endothelial -> Exocrine epithelial,exposed,3.0437568910277153,3.816240163974219,1.2537926978411462,0.10392498066511988,0.02798723897911833,3.7132987910189983,10344
Endothelial -> Exocrine epithelial,unexposed,3.3619200314231956,4.055967154575327,1.2064436740508433,0.087248322147651,0.024720357941834453,3.5294117647058822,5364
Endothelial -> Fibroblast / CAF,exposed,3.150506206072835,3.435497307757417,1.0904588288495483,0.08470588235294117,0.0459938080495356,1.8416801292407108,8075
Endothelial -> Fibroblast / CAF,unexposed,3.933812157659169,4.09868048757417,1.0419105751132527,0.04758230452674897,0.031095679012345678,1.5301902398676592,3888
Endothelial -> Immune,exposed,3.0667859851524684,3.296469634241949,1.0748939281063206,0.08540031397174254,0.048540031397174256,1.759379042690815,3185
Endothelial -> Immune,unexposed,3.7481853957778823,3.824805141767556,1.0204418239492585,0.0469068660774983,0.03657375934738273,1.2825278810408922,1471
Endothelial -> Mural / pericyte,exposed,2.96870433384321,3.1179574926927542,1.0502755215964281,0.09725158562367865,0.051902748414376323,1.8737270875763747,946
Endothelial -> Mural / pericyte,unexposed,3.771734803098124,3.6667708325042403,0.9721709038218526,0.07035175879396985,0.035678391959798994,1.971830985915493,199
Exocrine epithelial -> Ductal/tumor epithelial,exposed,2.521994956984739,2.5142779061813534,0.9969401006207357,0.08048551405245286,0.07566649808539845,1.063687577580445,13841
Exocrine epithelial -> Ductal/tumor epithelial,unexposed,3.86238467211182,4.050482649758162,1.0486999596400883,0.02822649209318143,0.028702601598367624,0.9834123222748815,11762
Exocrine epithelial -> Endocrine,exposed,2.874835771023103,3.10271237297668,1.0792659546852932,0.08168216740800648,0.05547917509098261,1.4723032069970847,2473
Exocrine epithelial -> Endocrine,unexposed,3.5759114932118514,3.8212017757869576,1.068595177213066,0.07297464440321583,0.02956091527520099,2.4686192468619246,1617
Exocrine epithelial -> Endothelial,exposed,2.1848099391906137,2.5136232564318806,1.1504997351683044,0.15712669683257918,0.08641402714932127,1.8183008247152768,8840
Exocrine epithelial -> Endothelial,unexposed,4.058847676171663,4.129281806689461,1.0173532332664998,0.06424581005586592,0.027374301675977653,2.3469387755102042,1074
Exocrine epithelial -> Fibroblast / CAF,exposed,2.5878753075493934,2.7960482190307956,1.0804416313545389,0.11871295512277731,0.07224386113463167,1.6432255039849977,11810
Exocrine epithelial -> Fibroblast / CAF,unexposed,3.9314229102858467,4.078897322445599,1.0375117140854808,0.048248626373626376,0.02965315934065934,1.6270990156340477,5824
Exocrine epithelial -> Immune,exposed,2.2446531681209767,2.5235743874314123,1.1242602747149233,0.14648687012065295,0.08679914833215047,1.6876533115290269,14090
Exocrine epithelial -> Immune,unexposed,3.560710010025632,3.6940667768786,1.0374522964457888,0.06302521008403361,0.03733493397358944,1.688102893890675,3332
Exocrine epithelial -> Mural / pericyte,exposed,2.4457507506955984,2.9495962477663173,1.2060085218935002,0.07969151670951156,0.06838046272493574,1.1654135338345863,389
Exocrine epithelial -> Mural / pericyte,unexposed,3.2650752508765404,3.815397505102011,1.1685481074525714,0.0782608695652174,0.03130434782608696,2.5,230
Fibroblast / CAF -> Ductal/tumor epithelial,exposed,3.3330947830491877,3.56761950840015,1.0703624531002427,0.06937294869580238,0.034803938504059426,1.9932499503672818,28945
Fibroblast / CAF -> Ductal/tumor epithelial,unexposed,4.09669448133369,4.345518648880966,1.0607377896206385,0.04679832435667265,0.02108916816277678,2.2190692395005676,8355
Fibroblast / CAF -> Endocrine,exposed,2.8721577108329117,3.064718528414981,1.0670439568327978,0.11247695144437615,0.06275353411186232,1.792360430950049,1627
Fibroblast / CAF -> Endocrine,unexposed,2.951456400350291,3.6975285183129585,1.2527810059718723,0.10104011887072809,0.041307578008915304,2.446043165467626,673
Fibroblast / CAF -> Endothelial,exposed,2.6187228591830305,2.691339332844296,1.0277297284081142,0.10061168529846024,0.07179216761583351,1.40142983057487,14223
Fibroblast / CAF -> Endothelial,unexposed,3.004546282823725,3.1500715623077684,1.048435026718003,0.09718172983479106,0.053206997084548104,1.8264840182648403,2058
Fibroblast / CAF -> Exocrine epithelial,exposed,3.0356477786042495,3.426749412880523,1.1288363021009298,0.09716623548522953,0.037645147704710905,2.581109157743328,16621
Fibroblast / CAF -> Exocrine epithelial,unexposed,3.3897684002513624,3.895868537649249,1.149302276037607,0.08178968367056141,0.028146670466419683,2.905838677016537,10527
Fibroblast / CAF -> Immune,exposed,2.3924508231012283,2.503311087185645,1.0463375309594507,0.134475,0.0944625,1.4235807860262009,40000
Fibroblast / CAF -> Immune,unexposed,2.842425798362658,2.9311865672609696,1.0312271190859021,0.09697175910173528,0.07131677441306566,1.359732824427481,2939
Fibroblast / CAF -> Mural / pericyte,exposed,2.75652640421364,2.7608544424599586,1.0015701058548552,0.08859293572669369,0.08063115228720324,1.0987432675044884,3454
Fibroblast / CAF -> Mural / pericyte,unexposed,3.0351944493570695,3.0880898146533617,1.0174273398883873,0.07650273224043716,0.0546448087431694,1.4000000000000001,366
Immune -> Ductal/tumor epithelial,exposed,3.735945577343077,4.055521509050544,1.08554084236279,0.055611601513240856,0.024514501891551074,2.268518518518518,7930
Immune -> Ductal/tumor epithelial,unexposed,3.925518054071459,4.646838322703292,1.1837516115570266,0.0368895966029724,0.019984076433121018,1.8459495351925632,3768
Immune -> Endocrine,exposed,2.792344198087246,3.3221060340559996,1.189719389297222,0.05128205128205128,0.04249084249084249,1.206896551724138,273
Immune -> Endocrine,unexposed,3.2586033589780934,4.125822725320396,1.2661322262351884,0.053763440860215055,0.03225806451612903,1.6666666666666667,186
Immune -> Endothelial,exposed,3.199930267452334,3.5058058430407044,1.0955882003740967,0.06999409332545777,0.041110454813939754,1.7025862068965516,3386
Immune -> Endothelial,unexposed,3.144232054835544,3.881166488891091,1.2343766049080915,0.06371191135734072,0.03822714681440443,1.6666666666666667,361
Immune -> Exocrine epithelial,exposed,3.169054104896675,3.732111160067875,1.17767353807598,0.07293609502306862,0.03200157062923334,2.2791411042944785,10187
