pair,observed,null_mean,null_sd,n_molecules,enrichment
Ductal/tumor epithelial -> Endothelial,0.18237704918032788,0.19508196721311474,0.02392895176556557,488,0.934873949579832
Ductal/tumor epithelial -> Exocrine epithelial,0.24907063197026022,0.18698884758364315,0.02090065843400833,538,1.3320079522862822
Ductal/tumor epithelial -> Fibroblast / CAF,0.2454915648632926,0.2065735892961024,0.009374578206885023,1719,1.1883976344691636
Ductal/tumor epithelial -> Immune,0.3102803738317757,0.23766355140186915,0.020304477686762558,1070,1.3055446323240267
Ductal/tumor epithelial -> Mural / pericyte,0.32456140350877194,0.22719298245614034,0.0490679518278842,114,1.4285714285714286
Endocrine -> Ductal/tumor epithelial,0.24269042539841887,0.20734094616639479,0.004835716838449117,7969,1.1704896205289597
Endocrine -> Endothelial,0.18518518518518517,0.18492063492063493,0.011768770592346676,756,1.0014306151645207
Endocrine -> Exocrine epithelial,0.22108222066057626,0.17073787772312016,0.003782181462612322,7115,1.2948633519920976
Endocrine -> Fibroblast / CAF,0.23247622402254314,0.19922507925325822,0.016110122364492725,2839,1.1669024045261667
Endocrine -> Immune,0.2475305055200465,0.23219058686809993,0.015981089092679885,1721,1.0660660660660661
Endothelial -> Ductal/tumor epithelial,0.2163361941402782,0.1691772713820657,0.0065101461909740106,6758,1.2787544826379778
Endothelial -> Endocrine,0.25076452599388377,0.2051987767584098,0.018422379794286278,327,1.2220566318926973
Endothelial -> Exocrine epithelial,0.3770491803278688,0.23859586600142552,0.005901277789084012,5612,1.5802837938760268
Endothelial -> Fibroblast / CAF,0.29345480700071924,0.2594341884440182,0.007400066346196602,4171,1.1311339062933186
Endothelial -> Immune,0.3139223560910308,0.2522088353413655,0.010255608955981151,1494,1.244692144373673
Endothelial -> Mural / pericyte,0.2843601895734597,0.2924170616113745,0.04506358921144006,211,0.9724473257698538
Exocrine epithelial -> Ductal/tumor epithelial,0.3040513833992095,0.30390316205533596,0.0032276121753279487,20240,1.0004877255730777
Exocrine epithelial -> Endocrine,0.3048642533936652,0.26221719457013576,0.013586910008706661,1768,1.1626402070750648
Exocrine epithelial -> Endothelial,0.30139372822299654,0.23536585365853657,0.017952705967846313,1148,1.2805329385640267
Exocrine epithelial -> Fibroblast / CAF,0.2641979408834274,0.23475589505147793,0.005520541153358861,6022,1.1254155761476974
Exocrine epithelial -> Immune,0.33108677337826453,0.29474866610502665,0.008076882952893058,3561,1.12328506097561
Exocrine epithelial -> Mural / pericyte,0.3521739130434783,0.22826086956521738,0.0334669659094362,230,1.542857142857143
Fibroblast / CAF -> Ductal/tumor epithelial,0.2560129509713229,0.1983348751156337,0.0029224909513266627,8648,1.290811567164179
Fibroblast / CAF -> Endocrine,0.4212707182320442,0.3121546961325967,0.022125330147137634,724,1.3495575221238936
Fibroblast / CAF -> Endothelial,0.4407205697528278,0.4059069962295768,0.017330431945990016,2387,1.0857673650531532
Fibroblast / CAF -> Exocrine epithelial,0.3772997955737268,0.26364767576215453,0.0050909568414646235,11251,1.4310757509355085
Fibroblast / CAF -> Immune,0.47060615290892477,0.42674383186110265,0.007770570220612051,3283,1.1027837259100643
Fibroblast / CAF -> Mural / pericyte,0.35978835978835977,0.3743386243386243,0.03396664684918932,378,0.96113074204947
Immune -> Ductal/tumor epithelial,0.26670105751870005,0.18080990456538562,0.005945864036739971,3877,1.4750356633380886
Immune -> Endocrine,0.3888888888888889,0.2909090909090909,0.04328138441541122,198,1.3368055555555556
Immune -> Endothelial,0.36,0.24933333333333332,0.020282449994460182,375,1.4438502673796791
Immune -> Exocrine epithelial,0.39040207522697795,0.25235624729788153,0.005007672195614443,4626,1.5470275826623265
Immune -> Fibroblast / CAF,0.514102564102564,0.4314423076923076,0.009895959850743196,3120,1.1915905207636877
Immune -> Mural / pericyte,0.3333333333333333,0.3733333333333333,0.15260697523012795,15,0.8928571428571429
Mural / pericyte -> Ductal/tumor epithelial,0.21646474060267162,0.18883504193849024,0.002783174938538823,16095,1.1463165860559996
Mural / pericyte -> Endothelial,0.3880281690140845,0.3669953051643193,0.00501787674637518,8520,1.0573109888704104
Mural / pericyte -> Exocrine epithelial,0.2325658992325659,0.1953887220553887,0.003926675144720046,14985,1.1902728918337375
Mural / pericyte -> Fibroblast / CAF,0.23673801768264308,0.24177524429967426,0.005042221362694142,8596,0.9791656642448154
Mural / pericyte -> Immune,0.35189177135211475,0.3396565821749796,0.0020300357840127336,13453,1.0360222348667218
