pair,rate_<30,rate_30-60,rate_60-120,rate_120-250,rate_>250,n_cells
Ductal/tumor epithelial -> Endothelial,8.674869434363105,7.028807620486352,4.038860386420697,3.0416666666666665,3.757736516357206,3326
Ductal/tumor epithelial -> Exocrine epithelial,4.296512398886089,3.371068036352869,6.802721088435374,71.42857142857143,100.0,4460
Ductal/tumor epithelial -> Fibroblast / CAF,10.23920602470689,9.051730717371283,5.5553244963073425,4.00606323083586,3.4811503619605206,16310
Ductal/tumor epithelial -> Immune,8.344018525252139,7.311163997341395,4.633779235933774,3.499515451706687,2.4745353052886,10691
Ductal/tumor epithelial -> Mural / pericyte,10.61410159211524,9.098603470165044,4.219833216115744,3.7983841794284334,3.38436744560838,1960
Endocrine -> Ductal/tumor epithelial,24.20888081456758,10.790413703189426,4.8387397812535,2.837324728636117,1.9962130943205931,29407
Endocrine -> Endothelial,17.484215638659542,5.6144119513743105,3.9300878838747897,3.0920260424107595,1.8047980832886732,6667
Endocrine -> Exocrine epithelial,22.739628442344824,10.076714225842307,5.118171665079,3.734205561167121,2.8290357320039203,35082
Endocrine -> Fibroblast / CAF,20.96740709985468,7.187241093620547,3.2890020830346525,2.423594972634902,1.5260727647822598,27623
Endocrine -> Immune,13.421759039949471,8.96421081117651,3.921734591674073,2.895357351587744,1.8247564201292397,18811
Endothelial -> Ductal/tumor epithelial,8.845985012385164,6.944444444444444,4.923272507031105,5.556457205246617,2.865329512893983,23138
Endothelial -> Endocrine,6.827807799036075,6.159260888693357,6.068779501011463,,,1076
Endothelial -> Exocrine epithelial,8.512557046429645,8.474831497220231,7.479548110634983,200.0,,19342
Endothelial -> Fibroblast / CAF,5.540222835531023,4.101256794151251,3.1499067125116897,3.9538294751610232,0.0,17668
Endothelial -> Immune,5.933779988083803,5.628588131248782,5.613934072261408,8.633671318140749,0.0,11412
Endothelial -> Mural / pericyte,12.823938017632914,6.32211158526948,4.003113532747692,6.343713956170704,,1380
Exocrine epithelial -> Ductal/tumor epithelial,22.855718085106385,9.727992340701988,3.644909908052612,1.6619099820066283,1.6071246697381272,16779
Exocrine epithelial -> Endocrine,7.832661746728845,5.017669751004883,2.2228396776882464,0.0,1.4184397163120568,1268
Exocrine epithelial -> Endothelial,40.046172971053096,17.01346389228886,6.670619626445301,3.9764096148690915,2.1604798380395533,3358
Exocrine epithelial -> Fibroblast / CAF,39.05753204591854,17.64718189045567,8.184808994506197,5.149337942264566,2.9441283314450013,23054
Exocrine epithelial -> Immune,53.213387207440725,22.787859639422603,8.27011808868382,5.564817735321948,2.538089471279705,12842
Exocrine epithelial -> Mural / pericyte,30.53026245313337,24.906600249066003,10.709677419354838,6.996960915965793,4.1457770921712305,2249
Fibroblast / CAF -> Ductal/tumor epithelial,7.767353957740963,5.7842536570422,4.693429199121231,1.6467682173734046,,14104
Fibroblast / CAF -> Endocrine,11.68535464192121,8.036673315942918,3.0791094268119372,,,1267
Fibroblast / CAF -> Endothelial,6.903801352349565,5.634171907756814,3.3802816901408455,,,1856
Fibroblast / CAF -> Exocrine epithelial,10.619875394499768,8.2873334018936,7.47940496651455,,,22762
Fibroblast / CAF -> Immune,3.032353457133549,2.4134047394672122,1.8543319254146493,0.0,,3056
Fibroblast / CAF -> Mural / pericyte,1.6020506247997437,1.8862305172242628,0.6112469437652812,,,691
Immune -> Ductal/tumor epithelial,6.564444055024971,4.406033132279377,4.2904031634722015,9.280742459396752,,15237
Immune -> Endocrine,6.956027966071619,3.800279674261742,3.072625698324022,,,1512
Immune -> Endothelial,3.248725601542484,2.8320092228264953,1.4534883720930232,,,1714
Immune -> Exocrine epithelial,6.925703323347937,5.415006463072229,3.301872099180762,,,18438
Immune -> Mural / pericyte,5.89622641509434,3.589553162520114,13.297872340425531,,,471
Mural / pericyte -> Ductal/tumor epithelial,9.51922940918542,8.310555394009887,6.702005269021918,5.171818647114137,5.938914027149321,28096
Mural / pericyte -> Endothelial,3.4364261168384878,3.5885167464114835,2.5963630392841015,2.412424985545387,0.0,5384
Mural / pericyte -> Exocrine epithelial,9.828474911907744,8.112209630302532,7.348087601926667,6.51272760297452,6.707168894289185,35282
Mural / pericyte -> Fibroblast / CAF,2.5365591191221966,2.77737308861866,2.717748760880302,2.198804065106052,0.0,22910
Mural / pericyte -> Immune,4.0263452218217965,3.146762618584488,2.8203304848798947,2.069578900557589,0.0,15434
