pair,mean_absdev_strict,mean_absdev_null,n
Ductal/tumor epithelial -> Endothelial,0.2827169871282919,0.2518544603247838,884
Ductal/tumor epithelial -> Exocrine epithelial,0.23243484726411728,0.24896595709972663,1123
Ductal/tumor epithelial -> Fibroblast / CAF,0.2639978681052923,0.2487923493094603,3994
Ductal/tumor epithelial -> Immune,0.2653963205009606,0.24829390083018854,1565
Ductal/tumor epithelial -> Mural / pericyte,0.26834812107495776,0.2377951715938739,240
Endocrine -> Ductal/tumor epithelial,0.25053603627631527,0.24786535896584216,6154
Endocrine -> Endothelial,0.2658237465766166,0.2530207543227309,918
Endocrine -> Exocrine epithelial,0.26671408744047376,0.2505688059320237,10222
Endocrine -> Fibroblast / CAF,0.25080876910661903,0.24334080471057512,2519
Endocrine -> Immune,0.25140843962201653,0.25398838845093774,1495
Endothelial -> Ductal/tumor epithelial,0.24865301934593942,0.25042541079128955,9657
Endothelial -> Endocrine,0.2541266203782903,0.26329341861259387,392
Endothelial -> Exocrine epithelial,0.2577766020492766,0.2499801461153181,9303
Endothelial -> Fibroblast / CAF,0.2519149477152191,0.25248218737886713,2709
Endothelial -> Immune,0.25558376744130507,0.24578456579243138,1723
Endothelial -> Mural / pericyte,0.2650971564263776,0.2534614678931344,175
Exocrine epithelial -> Ductal/tumor epithelial,0.2502325945791566,0.24647682975369498,3154
Exocrine epithelial -> Endocrine,0.2576831876766431,0.2509041801364007,373
Exocrine epithelial -> Endothelial,0.2938975838053694,0.24710323273414786,1280
Exocrine epithelial -> Fibroblast / CAF,0.2776678679225825,0.24913311402232474,6011
Exocrine epithelial -> Immune,0.2788355516843224,0.2525301102512065,3570
Exocrine epithelial -> Mural / pericyte,0.29607588739388907,0.2550898120107429,465
Fibroblast / CAF -> Ductal/tumor epithelial,0.2780741693878995,0.24976879400173116,5682
Fibroblast / CAF -> Endocrine,0.26217700652624104,0.24578990906849082,717
Fibroblast / CAF -> Endothelial,0.2743131617383953,0.2502593146892633,519
Fibroblast / CAF -> Exocrine epithelial,0.2676306550113054,0.2515126002695643,12294
Fibroblast / CAF -> Immune,0.264497141709571,0.2537008765545138,244
Immune -> Ductal/tumor epithelial,0.25288324482620156,0.24883136673203338,5171
Immune -> Endocrine,0.2412471298003494,0.24151733860417426,438
Immune -> Endothelial,0.2679925753310042,0.2363121751696823,239
Immune -> Exocrine epithelial,0.25610580020527285,0.25014043204543224,6690
Mural / pericyte -> Ductal/tumor epithelial,0.2628821143063163,0.24972244578292624,12626
Mural / pericyte -> Endothelial,0.267940335298537,0.24606702588173965,713
Mural / pericyte -> Exocrine epithelial,0.2608379239203708,0.2506447853868104,14853
Mural / pericyte -> Fibroblast / CAF,0.25094882027978727,0.2555583730763919,2369
Mural / pericyte -> Immune,0.25706761119414795,0.250890419344453,1225
