pair,n_genes,excess_total,r2_cyto,corr_cyto,proportional_fraction,r2_whole,corr_whole,r2_nuc,corr_nuc
Ductal/tumor epithelial -> Endothelial,69,1903.166089233292,0.2413361429725055,0.39422333221889094,0.25596717078552766,0.2301399142445547,0.3731470014797811,0.20936491273022773,0.34246747007083866
Ductal/tumor epithelial -> Exocrine epithelial,78,57786.11825204214,0.7472283969196959,0.48469072930887797,0.19456256072680342,0.7452632224725972,0.4586349634806823,0.7404266954242565,0.42120165795611636
Ductal/tumor epithelial -> Fibroblast / CAF,78,23687.19238059797,0.9516864347983164,0.9122701792620321,0.7871977604419206,0.9477315992318147,0.8998026354256312,0.929844591807436,0.8716413347920509
Ductal/tumor epithelial -> Immune,78,12233.144052069714,0.8859523387835013,0.7538780120610216,0.6747301250152833,0.8795911363913218,0.7330296659849208,0.8579461717041822,0.6975629070109399
Ductal/tumor epithelial -> Mural / pericyte,47,636.8374001873578,0.5492845988523465,0.6497300084590855,0.6231481544257086,0.5599797940883036,0.6392476148144559,0.5364176638121039,0.6150126740444517
Endocrine -> Ductal/tumor epithelial,24,2525.8885696793973,0.9613575421077986,0.810020906282739,0.5857297324223756,0.9622936233600142,0.8208657872068043,0.9629299028757811,0.8386344724231168
Endocrine -> Endothelial,24,3620.1569803474677,0.980753932086121,0.9750390192215034,0.8448761455648947,0.9807979914480561,0.9804356351678143,0.9785969557788211,0.9879696776859709
Endocrine -> Exocrine epithelial,24,5370.721100731456,0.9852537955088064,0.9828703581931316,0.8291223821847484,0.9848682385420137,0.9861031230332331,0.9822670780831124,0.9897043105239482
Endocrine -> Fibroblast / CAF,24,2409.063713077394,0.9204261720732707,0.7989485549816726,0.6279946657408255,0.9246733640229533,0.8147319487439374,0.930497211919473,0.8414609551891331
Endocrine -> Immune,24,912.6656233508636,0.9075575949603722,0.86091806919489,0.6777072730380388,0.9114043015631916,0.8735956260586485,0.9167002766220415,0.8945636838808657
Endothelial -> Ductal/tumor epithelial,46,1392.047838759052,0.32826806967408584,0.3609415551479635,0.5361917413914914,0.3062555309685847,0.35601992015509004,0.27864531884543176,0.3481171915842777
Endothelial -> Endocrine,39,690.6793040383568,0.5270444150874389,0.7849003878422817,0.6165884289917146,0.5553975083521405,0.7989307741634873,0.5789132723234302,0.8106452279980486
Endothelial -> Exocrine epithelial,46,8605.460317257632,0.9223251036211862,0.9423556389763107,0.7937542159946281,0.9281086108005373,0.9486377219389479,0.9252901594648764,0.950467086653242
Endothelial -> Fibroblast / CAF,46,10246.628825968462,0.9005867281325819,0.8307471474632429,0.7584569033073418,0.8985937180920824,0.8292081222079316,0.8840564686786563,0.8225117723636022
Endothelial -> Immune,46,4910.963436828262,0.925424774078105,0.9354356215010547,0.8241093342253083,0.9186286622613906,0.9351410014384915,0.8982509787435049,0.9292895302051846
Endothelial -> Mural / pericyte,41,1769.599469104852,0.7246930572830823,0.5552391525255411,0.5290728835881051,0.7207809095802999,0.5692860764982475,0.70837079928959,0.5824592226192374
Exocrine epithelial -> Ductal/tumor epithelial,26,359112.7962156936,0.9924988895311793,0.880592257096391,0.7049342642177502,0.9931479553637004,0.8933167855355932,0.9942643235252765,0.9159649609357386
Exocrine epithelial -> Endocrine,18,6078.465586626767,0.973253804586457,0.9776403755670322,0.7514928858609748,0.9775335795828013,0.982549067128474,0.9838256278003227,0.9888990252565387
Exocrine epithelial -> Endothelial,25,46394.77629900811,0.9968450087265887,0.9922891859053279,0.8872566392270567,0.9971314229989144,0.9936882584101493,0.9963593099959226,0.993103773073854
Exocrine epithelial -> Fibroblast / CAF,26,39940.064577049685,0.9965953874092922,0.9890220157645802,0.8435741516712847,0.9974576862329125,0.9929787310016766,0.9984877517090397,0.9975805895201434
Exocrine epithelial -> Immune,26,46923.339320932755,0.9953173220225192,0.9889463547561035,0.8421886955361335,0.9963290658235349,0.9926609937708961,0.9975159098840052,0.996775074131687
Fibroblast / CAF -> Ductal/tumor epithelial,29,44116.66810612519,0.8137475822928124,0.7900463614520793,0.6388782330360148,0.8168393343114413,0.7880069982177099,0.8139216656569123,0.779171309875212
Fibroblast / CAF -> Endocrine,28,1803.7454714573614,0.5410329328962976,0.7166428289447759,0.638418526053916,0.5686087485685147,0.7220080010835462,0.605556564582447,0.7278523041748051
Fibroblast / CAF -> Endothelial,29,19312.449203498814,0.7592362966557443,0.7937861762443145,0.6993553409579569,0.7726591331106356,0.7987230388948452,0.7864160099075364,0.8032221803771534
Fibroblast / CAF -> Exocrine epithelial,29,15350.535908362037,0.5573045526128143,0.7392645075230835,0.6408812924203853,0.5893617037198255,0.7450530975344576,0.6303862434347732,0.7515234082559401
Fibroblast / CAF -> Immune,29,47013.44874505048,0.7928016528301375,0.8800442682202624,0.7456112587250592,0.814918391989933,0.8866109906003404,0.8392226099197584,0.8936926714034061
Fibroblast / CAF -> Mural / pericyte,29,3499.0427511800403,0.07607743270230438,0.4184112754996815,0.4412982038908296,0.10957825634883378,0.4261652224072292,0.166988133965278,0.4384012733831232
Immune -> Ductal/tumor epithelial,114,14709.737392706453,0.6465407125319873,0.5623843680565532,0.6702518916922078,0.6055046730909471,0.5235747357096495,0.5395331393859769,0.46310672145676274
Immune -> Endocrine,68,770.5803851224308,0.5669189071635359,0.7495854835336998,0.6923542252699036,0.5644513587818711,0.751065700548509,0.5038355160243432,0.7039604919960699
Immune -> Endothelial,109,8415.591336156138,0.8785480321904442,0.9127573140099107,0.8035976360201843,0.8844373484697644,0.9191850367202852,0.8488482743315942,0.8753503580703536
Immune -> Exocrine epithelial,114,20189.858775590255,0.9371264280375906,0.9445029469148002,0.8320800687851732,0.9129574808650956,0.8994592344116104,0.858573017290312,0.8139960628544943
Immune -> Fibroblast / CAF,114,74783.20298641374,0.8897741942348474,0.8396520401174697,0.7493114502010079,0.9269264361406071,0.906024925891834,0.9338420148497903,0.9150874173492229
Immune -> Mural / pericyte,87,2920.3774888626235,0.6299469206646615,0.8821851489837141,0.7948412480049656,0.6444846861331834,0.8480886269509467,0.5651053201240535,0.7678461566768056
Mural / pericyte -> Ductal/tumor epithelial,60,2546.7672910045007,0.8972595726794657,0.5894625262543142,0.34302573204863857,0.8982688261856101,0.577171231535055,0.8952484902415994,0.5443248051502447
Mural / pericyte -> Endothelial,55,6542.396108134737,0.9698586151238924,0.764305486703751,0.6425963379472084,0.9709142080894849,0.8012601925711175,0.9674536467673955,0.8222751520105076
Mural / pericyte -> Exocrine epithelial,60,487.9848565649814,0.745705239185867,0.7907037724277337,0.4622929815600624,0.770481063058997,0.8449230508648765,0.7909912752514671,0.886506247988484
Mural / pericyte -> Fibroblast / CAF,60,5713.39390198006,0.976762767743944,0.8827920814596525,0.7078106403584518,0.9802782229887129,0.9053513793752428,0.9791885829732861,0.9057809765697943
Mural / pericyte -> Immune,59,3066.0281902711117,0.9417008958269601,0.8743441080512555,0.7017005220917343,0.9543456123532984,0.9100568032395703,0.9577549349561659,0.9265798298456577
