pair,n_patch_molecules,cos_cyto,cos_target
Ductal/tumor epithelial -> Endothelial,2386,0.5017885248932283,0.06374369731468263
Ductal/tumor epithelial -> Exocrine epithelial,28410,0.31466091923506206,0.014175762061940766
Ductal/tumor epithelial -> Fibroblast / CAF,24526,0.5655864563913591,0.14836510362050775
Ductal/tumor epithelial -> Immune,14032,0.5439613630990513,0.18442611590870148
Ductal/tumor epithelial -> Mural / pericyte,792,0.5402757818022037,0.18554249986669233
Endocrine -> Ductal/tumor epithelial,2673,0.8817688041737373,0.022589732960414177
Endocrine -> Endothelial,4067,0.9693840844758805,0.05134432632478188
Endocrine -> Exocrine epithelial,6032,0.9764446861398574,0.007572510076147091
Endocrine -> Fibroblast / CAF,2793,0.8197045808552754,0.01624642314175079
Endocrine -> Immune,1182,0.8754735645336558,0.027457737936639755
Endothelial -> Ductal/tumor epithelial,10150,0.5935601427679705,0.04117508463942486
Endothelial -> Endocrine,1573,0.5646035907878534,0.014537290720725142
Endothelial -> Exocrine epithelial,26381,0.5850721013120264,0.014054694884938074
Endothelial -> Fibroblast / CAF,14653,0.6290922175173589,0.06059655283425333
Endothelial -> Immune,8756,0.5691694625215865,0.11466596096074948
Endothelial -> Mural / pericyte,2750,0.4494962063501776,0.2451707776650884
Exocrine epithelial -> Ductal/tumor epithelial,235372,0.9969346303139419,0.6476915625701141
Exocrine epithelial -> Endocrine,6952,0.9752428224172035,0.15594697768935364
Exocrine epithelial -> Endothelial,49287,0.9880441843243976,0.6428684322452508
Exocrine epithelial -> Fibroblast / CAF,37943,0.9877021934997896,0.1732900620131047
Exocrine epithelial -> Immune,47984,0.9872540449958567,0.6002288650636999
Fibroblast / CAF -> Ductal/tumor epithelial,67672,0.8810821847464453,0.13996867612703806
Fibroblast / CAF -> Endocrine,3287,0.861032784666451,0.02493786661674749
Fibroblast / CAF -> Endothelial,51734,0.8258511486158935,0.28082986309247604
Fibroblast / CAF -> Exocrine epithelial,37240,0.8402442388606064,0.017019890915890352
Fibroblast / CAF -> Immune,84897,0.9046785246547727,0.38846463115964525
Fibroblast / CAF -> Mural / pericyte,28674,0.4643448630939868,0.9748232114358026
Immune -> Ductal/tumor epithelial,37921,0.5999038238066108,0.04732443311096907
Immune -> Endocrine,1371,0.6134123753039185,0.014860134231255302
Immune -> Endothelial,16908,0.6335077515977746,0.18314159825177995
Immune -> Exocrine epithelial,44320,0.6137668117511327,0.01487657897461142
Immune -> Fibroblast / CAF,159897,0.6384283108400114,0.31733639498971605
Immune -> Mural / pericyte,4730,0.6194959980670552,0.18822560322026927
