pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endothelial -> B / plasma,9255.74275473402,9057.533146410287,0.0,0.007905437080833072
Epithelial -> B / plasma,93330.74495842212,90898.27375064525,0.0,0.028816967599469407
Fibroblast / CAF -> B / plasma,4735.089422363545,4571.9772661674615,0.0,0.005241718888535658
Myeloid -> B / plasma,106812.17218851199,106020.23428166275,26221.086342857136,0.031940935502586844
T / NK -> B / plasma,430136.9076337349,398215.4750120294,5.233951860753222,0.13003582070597478
B / plasma -> Endothelial,63429.88146537172,60002.52354648482,323.99677678601256,0.13967965637592453
Epithelial -> Endothelial,469569.917229904,449832.94180261827,0.0,0.41525750763368463
Fibroblast / CAF -> Endothelial,2858.7718936955207,2703.019113627466,0.0,0.007485867814009504
Myeloid -> Endothelial,129091.74809261234,121077.29077051941,44.9952180248588,0.15005285089084827
T / NK -> Endothelial,325870.17304885946,307675.34826010966,249.03808835995108,0.31680442373850926
B / plasma -> Epithelial,157447.45411589387,148513.45944730274,43495.137605939875,0.016418539714699604
Endothelial -> Epithelial,323883.52855603164,302481.5308752657,12241.099967786955,0.021574147179155234
Fibroblast / CAF -> Epithelial,20071.683165472903,19562.81938302777,0.0,0.0020319883078261723
Myeloid -> Epithelial,447854.151208455,426771.19595419546,84137.79067962026,0.02538982915795392
T / NK -> Epithelial,1909621.4393343092,1696040.6934193885,21382.763676119797,0.12199251092567315
B / plasma -> Fibroblast / CAF,23981.923217263342,22852.89765893171,0.0,0.07322085501663271
Epithelial -> Fibroblast / CAF,240345.82656600836,229601.81694359728,0.0,0.3139331886324055
Myeloid -> Fibroblast / CAF,28730.40501485076,27378.10714196809,0.03576421862685683,0.0468576585943085
T / NK -> Fibroblast / CAF,395253.2412068327,374907.9797785492,229.59603712781092,0.5332689207815925
B / plasma -> Myeloid,204158.7131888885,201017.14408660514,20184.604491481718,0.047257695536711004
Endothelial -> Myeloid,32902.80312462678,32351.01974487581,0.0,0.01157835768188604
Epithelial -> Myeloid,273758.39488507085,269691.97853046434,5234.530868270225,0.034076627228781256
Fibroblast / CAF -> Myeloid,28665.513115734007,27750.63019739777,0.0,0.013742225176712329
T / NK -> Myeloid,1939433.2470393283,1844900.143101702,18143.677193450116,0.2420698846325439
B / plasma -> T / NK,192438.87648909577,188607.93964755567,0.0,0.054857643538671376
Endothelial -> T / NK,25518.746916045846,25276.41199673515,131.4159130409186,0.010401461839869125
Epithelial -> T / NK,570453.7033290424,548410.676505139,0.0,0.07569262500629635
Fibroblast / CAF -> T / NK,34332.4692887324,33662.1313421162,0.0,0.01432839939237248
Myeloid -> T / NK,299931.1638944021,291460.59412790067,2809.150853010029,0.04300055912839499
