pair,gene,resid_z,excess,proportional_expected
Myeloid -> B / plasma,C11orf96,12.38349565173293,4062.314001326361,794.566608533417
Myeloid -> B / plasma,CCL2,12.376512285166305,4275.419646577577,1016.3672503873362
Myeloid -> B / plasma,CDKN1A,11.094568780215772,4003.719415931593,784.3003067186904
Myeloid -> B / plasma,CXCL2,11.741528863203536,800.8148493758473,40.115415486785835
T / NK -> B / plasma,MS4A1,9.158299112585123,926.0399598471101,292.87791954105603
B / plasma -> Endothelial,MYH11,10.82719143084273,408.3980845135966,101.87211571318582
Myeloid -> Endothelial,ACSL4,8.933613164976688,330.0964931793882,75.10702550895242
Myeloid -> Endothelial,CCL2,12.029206518117704,2524.0507975917967,821.4160996857274
Myeloid -> Endothelial,DCN,8.794219759349263,1788.5066244728766,720.3329472856391
Myeloid -> Endothelial,ADM,8.32317463933746,236.91151263780552,43.891698242783995
Myeloid -> Endothelial,CTSL,17.055548841395186,1520.1205106309694,270.7115605291331
Myeloid -> Endothelial,FCGR2A,9.477041765895901,375.10988324949585,64.88522837658056
Myeloid -> Endothelial,CDKN1A,11.541074900560588,1999.9649317938818,621.6514726361492
Myeloid -> Endothelial,ALPL,10.39832684930716,269.52277723161853,39.87348236294611
Myeloid -> Endothelial,MRC1,9.082302535996227,254.06432878625878,43.79467021505428
Myeloid -> Endothelial,PIM1,15.51398859351181,1021.715763590395,199.2349726817089
Myeloid -> Endothelial,TNXB,12.032350832036581,377.7077577732012,53.69291632797543
Myeloid -> Endothelial,ZEB2,12.330854683951353,477.61927041100677,65.94648859243713
Myeloid -> Endothelial,MEG3,9.952718904456326,307.19837061169034,44.46877116836
Myeloid -> Endothelial,CXCL2,9.161111004612875,240.06432878625878,34.17085927491393
Myeloid -> Endothelial,ABCA10,8.344244134103565,180.3699610831653,16.12343854666609
Myeloid -> Endothelial,ITGAX,9.27894492581679,256.89273831478386,20.499447948312284
Myeloid -> Endothelial,HDC,8.662504361037945,145.08310310928047,5.562838443757216
Myeloid -> Endothelial,ADIPOQ,9.891176950066594,185.3377966900359,20.637066276304687
T / NK -> Endothelial,MIAT,10.180971511873578,332.29753526654554,32.06496077872383
B / plasma -> Epithelial,NES,8.743735981987165,894.815746851632,215.6408552827518
B / plasma -> Epithelial,PFKFB3,12.083944237571655,1067.1776770569531,192.23349014742973
B / plasma -> Epithelial,PICALM,9.33666869354459,924.6215392855097,238.94480732985426
B / plasma -> Epithelial,APP,9.680689614098272,2876.6276051400273,957.7437653375417
B / plasma -> Epithelial,IFI16,9.646546156668487,794.5406432134531,261.0915597562928
B / plasma -> Epithelial,ITGB3,8.815054914649641,444.82268332738437,132.3077749192244
B / plasma -> Epithelial,JAG1,10.479909554988524,716.3820191099663,190.1611285497039
B / plasma -> Epithelial,NR4A1,9.07401313193463,766.8993454371225,104.08053764874668
B / plasma -> Epithelial,SLC2A3,10.661885632425678,1192.8446940357646,362.0666257335238
B / plasma -> Epithelial,TGFBR3,8.298350675862714,339.4091646184766,96.39022311705389
B / plasma -> Epithelial,GAS6,8.363784510161425,694.3985196486237,137.49695698229576
B / plasma -> Epithelial,MYH11,25.752135641443072,2316.7865743965313,321.0308391653624
B / plasma -> Epithelial,PDGFB,11.64148605605889,1111.0858807735617,215.34038823114173
B / plasma -> Epithelial,SGK1,14.698270747748282,1017.0234220291533,208.67349060956025
B / plasma -> Epithelial,TFPI,11.792652522978317,753.9505735563723,146.11285260840657
B / plasma -> Epithelial,ANXA3,10.189865271738933,221.506335958222,11.391134379138347
B / plasma -> Epithelial,BCAR3,8.043062567059236,255.2933007096023,22.239058991274238
B / plasma -> Epithelial,CEMIP2,8.053132790499577,542.0416041153204,186.95073567117805
B / plasma -> Epithelial,COL17A1,21.055689424840402,771.4949402491825,31.308438326823506
B / plasma -> Epithelial,DKK3,15.67985050322467,529.0789892535782,56.94916953724137
B / plasma -> Epithelial,DSC3,24.804556430611626,1147.7354963759058,47.44550841937135
B / plasma -> Epithelial,DSG3,10.792455384389772,231.6013302527518,9.01535092757117
B / plasma -> Epithelial,ITGB4,12.15300875571019,859.7809291134395,66.09176160228935
B / plasma -> Epithelial,LAMB3,14.89725347191776,588.6524082733771,30.678719589751626
B / plasma -> Epithelial,LBH,8.42372244974673,775.2201969953405,282.90699387151943
B / plasma -> Epithelial,MYH9,12.129529720226856,4579.620638693763,1360.520780793518
B / plasma -> Epithelial,MYLK,24.48120709416273,1540.616944938854,175.44298517267444
B / plasma -> Epithelial,SAMD5,9.01122948882785,193.10715572801203,26.053991022957696
B / plasma -> Epithelial,SLC12A2,9.051625108486682,444.857756307058,55.869291451583926
B / plasma -> Epithelial,SOX10,8.526428104180482,166.55857005813934,5.516140310742799
B / plasma -> Epithelial,SYNM,11.39181733507315,649.9824485249071,62.40568131337457
B / plasma -> Epithelial,TCIM,30.126488800611842,3292.8703982529905,190.94086961009558
B / plasma -> Epithelial,TRIM29,25.54701295635963,1181.7663503785166,44.24645311874557
B / plasma -> Epithelial,AKT3,8.194324739996,425.51632034648867,133.49879489576705
B / plasma -> Epithelial,NTN4,11.748571218802745,517.6193772255505,61.44053208909778
B / plasma -> Epithelial,PAMR1,12.938051273127275,464.0700258312351,39.93598341170876
B / plasma -> Epithelial,CX3CL1,8.787685710166286,311.02726563662264,43.60539247518713
B / plasma -> Epithelial,IRX1,10.99724606615997,283.6846735967612,17.290778939193814
B / plasma -> Epithelial,ECRG4,9.105833830175012,175.54423157944154,11.518670782237638
Endothelial -> Epithelial,GRB2,8.045155760315597,3209.3296612808954,1155.3251717652777
Endothelial -> Epithelial,EREG,9.224971253566784,330.05339044913353,20.631104989450147
Endothelial -> Epithelial,GSTM3,13.063266881816055,953.6775694558014,123.81625242445804
Endothelial -> Epithelial,PPP1R1B,8.16258280445127,423.721162614637,66.29761150800591
Endothelial -> Epithelial,AGTR1,17.872510805455963,1680.3660181764076,175.41669291972786
Endothelial -> Epithelial,PEG10,21.169235118944425,2378.8385128526174,340.32212506772856
Myeloid -> Epithelial,ACSL4,11.15454830506527,1335.1538301068174,439.8101153083482
Myeloid -> Epithelial,DST,41.193432611447506,7149.335355596762,663.1877391621324
Myeloid -> Epithelial,FCGR2A,9.83541006857726,1185.1596793273636,378.6473995205566
Myeloid -> Epithelial,GLS,17.49026847481041,1950.4698061877148,302.9228446335824
Myeloid -> Epithelial,MAN1A1,11.646959335232495,1819.9656482540836,543.1279873424606
Myeloid -> Epithelial,ALPL,13.394962706167817,994.4783669279765,220.08200392458943
Myeloid -> Epithelial,CBLB,10.377583031258963,876.6042567786674,223.09557684030534
Myeloid -> Epithelial,DUSP6,13.215130910367636,1411.5539080907158,345.5993731067086
Myeloid -> Epithelial,ERRFI1,8.359233605856785,2914.548485051285,1141.830064638941
Myeloid -> Epithelial,FAT1,9.162207765699593,1233.5416111187558,467.49096770127954
Myeloid -> Epithelial,IL4R,9.829799248407705,1066.6181044702312,226.34822402034916
Myeloid -> Epithelial,MME,17.968471084460752,857.3245368211592,119.89132795670908
Myeloid -> Epithelial,MRC1,11.39467877038265,785.0442183327834,219.9620062004008
Myeloid -> Epithelial,PIM1,13.023789990450908,3492.78387789114,1103.513469312085
Myeloid -> Epithelial,SPHK1,8.729259673171754,1409.882426016572,541.6074854326168
Myeloid -> Epithelial,TNC,10.582044952167749,3410.3859491577127,1271.0058134676099
Myeloid -> Epithelial,ZEB2,18.779263033536704,1808.7264466592835,364.1088701602825
Myeloid -> Epithelial,EGR3,12.533004625674687,3199.8010083300305,676.2830903209641
Myeloid -> Epithelial,FOSL1,10.678941129076243,1159.573251344957,329.57508811613656
Myeloid -> Epithelial,MEG3,9.41204766028835,743.7553028425227,247.6567183172897
Myeloid -> Epithelial,CXCL2,8.461356621278473,543.7488550911089,176.20750407361274
Myeloid -> Epithelial,FST,12.081078909556016,547.3460293258718,105.77546490704044
Myeloid -> Epithelial,KDM6B,11.135700932463164,1877.4305211483647,532.1411646678007
Myeloid -> Epithelial,LTBP2,10.263636420715175,2740.0604964094405,1030.2876137534374
Myeloid -> Epithelial,PLAU,8.003355151266732,1474.9542672092361,616.4952234614364
Myeloid -> Epithelial,PTGS2,8.1063552102239,552.5244171149857,180.88416257695727
Myeloid -> Epithelial,PALLD,8.309436132641485,1183.6730690553713,360.92345078991224
Myeloid -> Epithelial,ANXA2,10.30948061996533,3994.8163704795734,1283.4708135833494
Myeloid -> Epithelial,ANXA8,10.474529727510685,475.1958991891295,27.2710226552696
Myeloid -> Epithelial,CDH3,21.987141854919177,1195.2806358846212,111.80103847264894
Myeloid -> Epithelial,CNN1,21.777612638003706,2513.231520520028,449.9391044496109
Myeloid -> Epithelial,COL7A1,10.080402261956337,344.0313228299559,35.33036978541377
Myeloid -> Epithelial,DOT1L,12.127434863945052,1666.711510690856,204.03845926278146
Myeloid -> Epithelial,EGR2,11.358318825880344,782.5072231112157,208.87183742360764
Myeloid -> Epithelial,F3,15.465897678020118,1511.1627445049478,332.81141839365375
Myeloid -> Epithelial,IL1RL1,8.968152045410122,284.82929328565814,61.18274036050754
Myeloid -> Epithelial,IL6R,12.345116060544722,1203.7402943508473,211.73677261210096
Myeloid -> Epithelial,ITGAM,8.372500841643983,383.54590961969825,75.1305752936463
Myeloid -> Epithelial,ITGAX,13.426963071071318,765.7694316687085,122.44486655313759
Myeloid -> Epithelial,KCNMA1,11.588798499404978,713.9545846054816,50.04913144801978
Myeloid -> Epithelial,LIF,17.734642680887006,1448.1415693964807,188.25835942234448
Myeloid -> Epithelial,MYL9,13.646668692087863,7538.403360731225,2287.2289352085236
Myeloid -> Epithelial,NGFR,15.01534752092923,898.4246356661953,142.83234970226823
Myeloid -> Epithelial,PLAGL1,11.835345678207362,568.2643578079641,131.0172763851554
Myeloid -> Epithelial,PTHLH,10.350333418100996,526.3119587145771,51.674180030874346
Myeloid -> Epithelial,RASD1,11.29046129392679,413.4341485951931,36.21402038141817
Myeloid -> Epithelial,SRF,11.386869206110275,1856.0357301157692,387.1347094222593
Myeloid -> Epithelial,TNFRSF12A,14.29103383367871,1273.2450508153465,172.28315442675571
Myeloid -> Epithelial,UBASH3B,11.458234259949398,539.690825328385,113.44203964729353
Myeloid -> Epithelial,ZYX,11.033311728986959,1546.733248068566,396.5533547412675
Myeloid -> Epithelial,DPYD,15.327905166744154,734.4663873522619,103.07919460178717
Myeloid -> Epithelial,HDC,14.783226753815077,453.5618703001099,28.497137031505417
Myeloid -> Epithelial,MAFF,14.309253623769282,1418.9650497232165,191.76504934968278
Myeloid -> Epithelial,SFRP1,17.82308769330999,980.9487353849354,126.7968637709455
Myeloid -> Epithelial,TGFBR1,9.269870619275444,904.643859214263,293.11272822330056
Myeloid -> Epithelial,TP63,11.493922232844941,337.913114054037,26.111700030959113
Myeloid -> Epithelial,TUBB2B,8.60226249137483,337.8305266090165,45.44778095562677
Myeloid -> Epithelial,TRIB1,12.718519720754998,990.7304640256043,98.44149958874638
Myeloid -> Epithelial,ADIPOQ,12.626983880265497,624.913114054037,142.1119660160738
Myeloid -> Epithelial,FGF1,11.704238577451616,430.6499895694313,59.980352703475795
Myeloid -> Epithelial,KCNMB1,9.241556628006924,344.19681511624236,26.47610981430717
T / NK -> Epithelial,NIBAN3,12.492349960922994,2086.9585108884244,587.7044127915572
T / NK -> Epithelial,RELT,8.324132284863499,820.0074605404034,258.75295781609213
T / NK -> Epithelial,CD19,8.62271728406454,1386.9678334425691,531.0093123728514
T / NK -> Epithelial,CD58,8.145771261689479,1451.6562568973864,561.4577011004187
T / NK -> Epithelial,CIITA,9.24776956831126,2455.4662026198657,951.9732930276098
T / NK -> Epithelial,MIAT,26.798261076524785,2351.4648029882,279.3844423058363
T / NK -> Epithelial,NLRP1,11.424377029668253,1172.7341114613891,327.8774222373496
T / NK -> Epithelial,TNFRSF13C,9.777369501722923,2921.233101309933,1131.3367383473214
T / NK -> Epithelial,ZC3H12D,10.845538226153886,932.6467760540703,276.3091658479678
T / NK -> Epithelial,MS4A1,13.07882423947134,6256.067911338611,2051.1399271988053
T / NK -> Epithelial,P2RX5,9.6385376695833,3229.7073851414493,1227.193791027795
