pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endothelial -> B / plasma,9230.91497719352,9031.402552279156,0.0,0.007883485346825668
Epithelial -> B / plasma,93640.68363567916,91106.01289559138,0.0,0.028912676720481652
Fibroblast / CAF -> B / plasma,4736.936189143113,4573.1668219336125,0.0,0.005243639056202401
Myeloid -> B / plasma,107218.27616267442,107365.40976073014,0.0,0.03206283893708986
T / NK -> B / plasma,425172.8573760057,394001.2830294764,0.0,0.12854369625806308
B / plasma -> Endothelial,63422.69670040932,60026.431020655524,0.0,0.13966339735378325
Epithelial -> Endothelial,469934.1468581935,450231.26450864284,0.0,0.4156211764313145
Fibroblast / CAF -> Endothelial,2858.991451332384,2703.094884452507,0.0,0.0074864409224989084
Myeloid -> Endothelial,129683.38927490583,121599.35888479509,0.0,0.15073906517804353
T / NK -> Endothelial,325473.8615091083,307296.8209737209,0.0,0.3164311611795697
B / plasma -> Epithelial,158799.05657303557,154663.49330094404,0.0,0.01655948412530108
Endothelial -> Epithelial,323259.45683633594,304630.43562196,0.0,0.021530071879763912
Fibroblast / CAF -> Epithelial,20075.62356420559,19558.613052023476,0.0,0.0020323994652076487
Myeloid -> Epithelial,449675.64099116286,441543.28961232636,0.0,0.025493216802723557
T / NK -> Epithelial,1907125.2356383342,1698282.0178310093,0.0,0.12187461016446673
B / plasma -> Fibroblast / CAF,24174.52703763333,23034.377936570778,0.0,0.07380890839519837
Epithelial -> Fibroblast / CAF,240572.56566269154,229855.57153573455,0.0,0.31426057435403126
Myeloid -> Fibroblast / CAF,28828.640468078465,27468.21213105807,0.0,0.04701765965101675
T / NK -> Fibroblast / CAF,395030.46706576395,374682.34870138945,0.0,0.5329766190672504
B / plasma -> Myeloid,203789.38224914245,202002.45597865985,0.0,0.04717786719025459
Endothelial -> Myeloid,33106.37415002409,32514.162126516734,0.0,0.011649075974737886
Epithelial -> Myeloid,274590.0432833594,270156.19387675135,0.0,0.03418015532546626
Fibroblast / CAF -> Myeloid,28671.453914956328,27726.52518102209,0.0,0.01374507319133928
T / NK -> Myeloid,1955283.1829239205,1859841.9146437775,0.0,0.24403794560504827
B / plasma -> T / NK,194146.94088514263,190168.13013036826,0.0,0.05534453932082485
Endothelial -> T / NK,26406.31935817374,26146.40602205685,0.0,0.010783666761194554
Epithelial -> T / NK,571828.3752411441,549690.2559645387,0.0,0.07587640985533006
Fibroblast / CAF -> T / NK,34372.12344822048,33690.14608868958,0.0,0.01434494940695268
Myeloid -> T / NK,316935.4769580735,307418.8103835238,0.0,0.04543131477056335
