pair,stratum,totals,rate,excess_rate,lam
Endothelial -> B / plasma,0,2634644,0.006064196908576643,0.0,0.0
Endothelial -> B / plasma,1,944454,0.006486287315210693,0.0004220904066340502,0.005112660530827151
Endothelial -> B / plasma,2,209285,0.006722889839214468,0.0006586929306378253,0.007978559321597252
Endothelial -> B / plasma,3,32613,0.0077269800386349004,0.0016627831300582577,0.02014081710164195
Endothelial -> B / plasma,4,8370,0.008363201911589008,0.0022990050030123653,0.02784719092008682
Endothelial -> B / plasma,5,1346,0.010401188707280832,0.004336991798704189,0.052532742851415494
Endothelial -> B / plasma,6,540,0.013280212483399735,0.007216015574823092,0.08740553549519087
Endothelial -> B / plasma,7,213,0.013280212483399735,0.007216015574823092,0.08740553549519087
Epithelial -> B / plasma,0,910942,0.0008496699021452518,0.0,0.0
Epithelial -> B / plasma,1,942523,0.0008965298459560138,4.685994381076197e-05,0.0013758943789374063
Epithelial -> B / plasma,2,639959,0.0011563240770111835,0.0003066541748659317,0.009003932168156458
Epithelial -> B / plasma,3,389937,0.0016541133567730172,0.0008044434546277654,0.02361994354635
Epithelial -> B / plasma,4,260135,0.0023449362830837836,0.0014952663809385319,0.043903778819190845
Epithelial -> B / plasma,5,178399,0.0028755766568198254,0.0020259067546745738,0.05948435890714619
Epithelial -> B / plasma,6,133112,0.0030726005168579843,0.0022229306147127327,0.06526934282940167
Epithelial -> B / plasma,7,107157,0.004501093943365586,0.003651424041220334,0.10721254455021663
Epithelial -> B / plasma,8,84352,0.004501093943365586,0.003651424041220334,0.10721254455021663
Epithelial -> B / plasma,9,64552,0.004833312678150948,0.003983642776005696,0.1169670993489763
Epithelial -> B / plasma,10,48117,0.005419218837005807,0.004569548934860555,0.1341703848204383
Epithelial -> B / plasma,11,33616,0.005419218837005807,0.004569548934860555,0.1341703848204383
Epithelial -> B / plasma,12,18835,0.005419218837005807,0.004569548934860555,0.1341703848204383
Epithelial -> B / plasma,13,12291,0.008380115531689854,0.007530445629544602,0.22110777286516123
Epithelial -> B / plasma,14,5766,0.009712105445716268,0.008862435543571016,0.2602174534680937
Epithelial -> B / plasma,15,1772,0.011286681715575621,0.01043701181343037,0.30644991690545187
Fibroblast / CAF -> B / plasma,0,2932206,0.010834504806278959,0.0,0.0
Fibroblast / CAF -> B / plasma,1,766477,0.011260611864413414,0.0004261070581344558,0.004207654857235303
Fibroblast / CAF -> B / plasma,2,117992,0.011907586955047799,0.0010730821487688405,0.01059630257064405
Fibroblast / CAF -> B / plasma,3,12655,0.01201106282101936,0.001176558014740401,0.011618089752410188
Fibroblast / CAF -> B / plasma,4,2087,0.013583138173302109,0.00274863336702315,0.027141771807648898
Fibroblast / CAF -> B / plasma,5,48,0.013583138173302109,0.00274863336702315,0.027141771807648898
Myeloid -> B / plasma,0,511173,0.002081487089498076,0.0,0.0
Myeloid -> B / plasma,1,787048,0.0029705939154918122,0.0008891068259937363,0.014312512584510053
Myeloid -> B / plasma,2,834037,0.0033283895078995295,0.0012469024184014535,0.02007217359407895
Myeloid -> B / plasma,3,678918,0.003900323750438197,0.001818836660940121,0.029278959330649793
Myeloid -> B / plasma,4,454592,0.004601928762494721,0.002520441672996645,0.04057313711765631
Myeloid -> B / plasma,5,272116,0.005155889400108777,0.003074402310610701,0.049490590415028984
Myeloid -> B / plasma,6,161532,0.005267811867453975,0.003186324777955899,0.051292276866572256
Myeloid -> B / plasma,7,77087,0.005267811867453975,0.003186324777955899,0.051292276866572256
Myeloid -> B / plasma,8,32365,0.00587053916267573,0.003789052073177654,0.06099475776727546
Myeloid -> B / plasma,9,13085,0.008142673806257468,0.006061186716759393,0.09757074023554413
Myeloid -> B / plasma,10,5271,0.008142673806257468,0.006061186716759393,0.09757074023554413
Myeloid -> B / plasma,11,2672,0.008142673806257468,0.006061186716759393,0.09757074023554413
Myeloid -> B / plasma,12,1428,0.008142673806257468,0.006061186716759393,0.09757074023554413
Myeloid -> B / plasma,13,141,0.008142673806257468,0.006061186716759393,0.09757074023554413
T / NK -> B / plasma,0,388515,0.0013641686936154331,0.0,0.0
T / NK -> B / plasma,1,695675,0.0017752542494699393,0.00041108555585450614,0.012700589418670926
T / NK -> B / plasma,2,747862,0.0023921525629059907,0.0010279838692905576,0.03175981463454024
T / NK -> B / plasma,3,642447,0.003684350615692812,0.002320181922077379,0.07168259149284464
T / NK -> B / plasma,4,488621,0.004627308281879002,0.003263139588263569,0.10081550065703239
T / NK -> B / plasma,5,350735,0.00641509971916119,0.005050931025545757,0.1560497570977352
