"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"B / plasma -> Endothelial","B / plasma","Endothelial",1644,1124,0.91041632315694,0.915983816396877,0.99929023662485,0.442264415532438
"B / plasma -> Epithelial","B / plasma","Epithelial",9956,4575,1,1,1,0.988244873962173
"B / plasma -> Fibroblast / CAF","B / plasma","Fibroblast / CAF",1061,505,0.999346388463215,0.999463256342406,0.999463256342406,0.996802065561858
"B / plasma -> Myeloid","B / plasma","Myeloid",7130,2680,1,0.939946459333431,0.998521860673643,0.386618961767733
"B / plasma -> T / NK","B / plasma","T / NK",9001,3772,0.999589796890388,0.999231921088631,0.999231921088631,0.996621823591613
"Endothelial -> B / plasma","Endothelial","B / plasma",621,203,1,0.502233241289032,NA,0.321721018651412
"Endothelial -> Epithelial","Endothelial","Epithelial",19950,19920,1,0.981577419737746,NA,0.0192874873782356
"Endothelial -> Myeloid","Endothelial","Myeloid",1784,1477,0.563797386023522,0.992845920389975,NA,0.239973322442279
"Endothelial -> T / NK","Endothelial","T / NK",1683,568,0.992598856118017,0.462199379254556,NA,0.154254145990705
"Epithelial -> B / plasma","Epithelial","B / plasma",3179,1394,0.99906335189478,0.998652587445384,0.998652587445384,0.993629266982448
"Epithelial -> Endothelial","Epithelial","Endothelial",9608,4401,0.807363362440834,0.87068691939282,NA,0.0978565481010386
"Epithelial -> Fibroblast / CAF","Epithelial","Fibroblast / CAF",5225,2510,0.879353252609936,0.893642027893646,0.99923290814521,0.480891588364001
"Epithelial -> Myeloid","Epithelial","Myeloid",11131,7711,0.998856544485789,0.999403648058942,0.999403648058942,0.998315459278243
"Epithelial -> T / NK","Epithelial","T / NK",19293,7308,0.995309273318439,0.99179878216173,0.999598580706749,0.782545835822216
"Fibroblast / CAF -> B / plasma","Fibroblast / CAF","B / plasma",474,24,0.999997678358995,0.698067532082057,NA,0.333723164728321
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",232,22,0.983885261211863,0.884282268123239,NA,0.64977728963668
"Fibroblast / CAF -> Epithelial","Fibroblast / CAF","Epithelial",1886,720,1,0.943343728338373,NA,0.220916777041212
"Fibroblast / CAF -> Myeloid","Fibroblast / CAF","Myeloid",2835,2692,0.941482380549647,1,NA,0.560557031747332
"Fibroblast / CAF -> T / NK","Fibroblast / CAF","T / NK",2513,175,0.974613211171019,0.520175953513146,NA,0.107481496872678
"Myeloid -> B / plasma","Myeloid","B / plasma",5977,3755,0.843425530917367,1,0.999855135822514,0.361181484345725
"Myeloid -> Endothelial","Myeloid","Endothelial",7326,4642,0.775469309700463,0.797804705805874,0.999591876718926,0.419768730904483
"Myeloid -> Epithelial","Myeloid","Epithelial",51818,31512,0.999923455994116,0.999934461746569,0.999934461746569,0.995402203135855
"Myeloid -> Fibroblast / CAF","Myeloid","Fibroblast / CAF",1921,1218,0.919816493310244,0.970843885393949,0.999539111651189,0.906334842623982
"Myeloid -> T / NK","Myeloid","T / NK",20197,12650,0.77238608763253,0.917210006574425,0.999911301029805,0.724433914563957
"T / NK -> B / plasma","T / NK","B / plasma",10595,6028,0.893906432752231,0.930651750898447,0.999683827438891,0.653622659724992
"T / NK -> Endothelial","T / NK","Endothelial",7989,3760,0.909647161542655,0.865763570678921,NA,0.186773859296294
"T / NK -> Epithelial","T / NK","Epithelial",100294,49617,0.999612160752949,0.999706451931682,0.999706451931682,0.995908132126271
"T / NK -> Fibroblast / CAF","T / NK","Fibroblast / CAF",4321,2023,0.729498856080303,0.619860286093452,NA,0.0629539918044448
"T / NK -> Myeloid","T / NK","Myeloid",46729,34436,0.890218366576234,0.974724205529905,NA,0.0285733477475211
