"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"B / plasma -> Endothelial","B / plasma","Endothelial",1644,1124,0.907656959962638,0.91079409262457,0.999298578096468,0.437909337116539
"B / plasma -> Epithelial","B / plasma","Epithelial",9956,4575,1,1,1,0.98819983829312
"B / plasma -> Fibroblast / CAF","B / plasma","Fibroblast / CAF",1061,505,0.99934584323413,0.99946403379485,0.99946403379485,0.996803232208175
"B / plasma -> Myeloid","B / plasma","Myeloid",7130,2680,1,0.928977667840446,0.998517660513977,0.386352057214278
"B / plasma -> T / NK","B / plasma","T / NK",9001,3772,0.999591364629435,0.999220543399834,0.999220543399834,0.996597765655902
"Endothelial -> B / plasma","Endothelial","B / plasma",621,203,1,0.50688168160764,NA,0.324797973083524
"Endothelial -> Epithelial","Endothelial","Epithelial",19950,19920,1,0.978982968510585,NA,0.0191596746583467
"Endothelial -> Myeloid","Endothelial","Myeloid",1784,1477,0.574652368350688,0.992857061473191,NA,0.238937246956153
"Endothelial -> T / NK","Endothelial","T / NK",1683,568,0.983893977069156,0.350409164358333,NA,0.152732514479043
"Epithelial -> B / plasma","Epithelial","B / plasma",3179,1394,0.999066127397461,0.998656624338633,0.998656624338633,0.993634606163105
"Epithelial -> Endothelial","Epithelial","Endothelial",9608,4401,0.808066801123186,0.871183406942577,NA,0.0982695545878456
"Epithelial -> Fibroblast / CAF","Epithelial","Fibroblast / CAF",5225,2510,0.879717325250455,0.893931597480249,0.999233683132537,0.481298005392063
"Epithelial -> Myeloid","Epithelial","Myeloid",11131,7711,0.998858982139691,0.999404724611537,0.999404724611537,0.998315224256079
"Epithelial -> T / NK","Epithelial","T / NK",19293,7308,0.995355741079711,0.991817923478902,0.999597543807972,0.78210047129102
"Fibroblast / CAF -> B / plasma","Fibroblast / CAF","B / plasma",474,24,1,0.695924367103864,NA,0.334718958451965
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",232,22,0.983520312116067,0.883256336723276,NA,0.650412333330602
"Fibroblast / CAF -> Epithelial","Fibroblast / CAF","Epithelial",1886,720,1,0.943468509252659,NA,0.22131369275079
"Fibroblast / CAF -> Myeloid","Fibroblast / CAF","Myeloid",2835,2692,0.942572777811957,1,NA,0.559559026862158
"Fibroblast / CAF -> T / NK","Fibroblast / CAF","T / NK",2513,175,0.974788203276859,0.52056017832725,NA,0.106208364189004
"Myeloid -> B / plasma","Myeloid","B / plasma",5977,3755,0.84306081599964,1,0.999852041654868,0.361618137562021
"Myeloid -> Endothelial","Myeloid","Endothelial",7326,4642,0.774757534175035,0.797472109484232,0.999592345749363,0.420684062500687
"Myeloid -> Epithelial","Myeloid","Epithelial",51818,31512,0.999897640296227,0.903385381983241,0.903385381983241,0.995399900587794
"Myeloid -> Fibroblast / CAF","Myeloid","Fibroblast / CAF",1921,1218,0.91922204388422,0.970688849715747,0.999540036251357,0.906965414019266
"Myeloid -> T / NK","Myeloid","T / NK",20197,12650,0.758956272512791,0.911197102765527,0.999901092079293,0.724279681625537
"T / NK -> B / plasma","T / NK","B / plasma",10595,6028,0.892964671473893,0.930621665460475,0.99968614736353,0.653666843407258
"T / NK -> Endothelial","T / NK","Endothelial",7989,3760,0.910480435784256,0.866377746996564,NA,0.18488097706716
"T / NK -> Epithelial","T / NK","Epithelial",100294,49617,0.866959427240278,0.956155854784623,0.956155854784623,0.995905542640608
"T / NK -> Fibroblast / CAF","T / NK","Fibroblast / CAF",4321,2023,0.729466028162026,0.619902846487591,NA,0.0630505271459858
"T / NK -> Myeloid","T / NK","Myeloid",46729,34436,0.890565055675621,0.97787639708936,NA,0.0282500556350015
