pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endothelial -> B / plasma,310.17367804071455,304.3336723373725,0.0,0.000252026322591855
Epithelial -> B / plasma,2458.868175528515,2454.1935120386215,0.0,0.0008703171060392703
Fibroblast / CAF -> B / plasma,0.24477399319221757,0.23711349111057958,0.0,4.3904073969044623e-07
Myeloid -> B / plasma,12773.874379552124,13296.913462085373,0.0,0.0038883521051341617
T / NK -> B / plasma,13452.64604794098,13301.926162591028,0.0,0.003910078293947518
B / plasma -> Endothelial,3038.897078358953,2994.710091963514,0.0,0.0066581617713480125
Epithelial -> Endothelial,2346.342568848185,2332.604027406887,0.0,0.0022127619123077113
Fibroblast / CAF -> Endothelial,1705.8061336718702,1678.573405121329,0.0,0.004438097105410835
Myeloid -> Endothelial,0.0,0.0,0.0,0.0
T / NK -> Endothelial,5277.618738910045,5161.080274855685,0.0,0.004977317752897768
B / plasma -> Epithelial,4578.606182850508,4886.219450460525,0.0,0.00038483108141683424
Endothelial -> Epithelial,8519.281583297106,8332.167085582503,0.0,0.0005064873892141247
Fibroblast / CAF -> Epithelial,4216.343928739784,3895.7448895456455,0.0,0.0003732259929673422
Myeloid -> Epithelial,365.7256289616567,373.6471468879753,0.0,1.4658976914457796e-05
T / NK -> Epithelial,5086.365806644353,3137.626616781313,0.0,0.00015652130766784686
B / plasma -> Fibroblast / CAF,846.6106470608863,815.0793010629947,0.0,0.002870869642796963
Epithelial -> Fibroblast / CAF,17365.853850993823,17225.547381877168,0.0,0.02463989558839086
Myeloid -> Fibroblast / CAF,2450.1244070946914,2406.7083512373633,0.0,0.003934823682810574
T / NK -> Fibroblast / CAF,10510.836628237059,10389.185406043125,0.0,0.013967702220597993
B / plasma -> Myeloid,0.0,0.0,0.0,0.0
Endothelial -> Myeloid,1147.4655738725376,1140.391901234704,0.0,0.00040406581207670086
Epithelial -> Myeloid,15035.3526834332,14968.513599866656,0.0,0.002263699411089762
Fibroblast / CAF -> Myeloid,2667.970112365444,2638.8797693550614,0.0,0.0012744892799727962
T / NK -> Myeloid,68130.40608359475,67028.26198144618,0.0,0.00853769737969009
B / plasma -> T / NK,5635.305234352442,5237.05845902401,0.0,0.0016355973030021513
Endothelial -> T / NK,517.7319730707331,493.9606930579315,0.0,0.000210611480166285
Epithelial -> T / NK,2296.4540321213617,2070.770921498255,0.0,0.0003479114961206401
Fibroblast / CAF -> T / NK,3196.720527052651,3171.1287484766062,0.0,0.001362455228139633
Myeloid -> T / NK,10343.432976278482,10335.986855936739,0.0,0.0015059430090988688
