pair,stratum,totals,rate,excess_rate,lam
Endothelial -> B / plasma,0,2607607,0.006223713926216642,0.0,0.0
Endothelial -> B / plasma,1,963343,0.006229186975380932,5.4730491642895895e-06,0.00016878196529916862
Endothelial -> B / plasma,2,213251,0.006229186975380932,5.4730491642895895e-06,0.00016878196529916862
Endothelial -> B / plasma,3,35318,0.006229186975380932,5.4730491642895895e-06,0.00016878196529916862
Endothelial -> B / plasma,4,8849,0.006229186975380932,5.4730491642895895e-06,0.00016878196529916862
Endothelial -> B / plasma,5,2031,0.006229186975380932,5.4730491642895895e-06,0.00016878196529916862
Endothelial -> B / plasma,6,734,0.009380863039399626,0.0031571491131829835,0.0973625151300315
Endothelial -> B / plasma,7,332,0.009380863039399626,0.0031571491131829835,0.0973625151300315
Epithelial -> B / plasma,0,973521,0.0016608993311756635,0.0,0.0
Epithelial -> B / plasma,1,976467,0.0016608993311756635,0.0,0.0
Epithelial -> B / plasma,2,652127,0.0016608993311756635,0.0,0.0
Epithelial -> B / plasma,3,399271,0.0016608993311756635,0.0,0.0
Epithelial -> B / plasma,4,252731,0.001701413756128057,4.0514424952393545e-05,0.0012691568615579474
Epithelial -> B / plasma,5,155705,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,6,115453,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,7,90653,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,8,68941,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,9,50772,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,10,38947,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,11,28401,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,12,15099,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,13,8195,0.0017634742364977995,0.00010257490532213608,0.00321326651103201
Epithelial -> B / plasma,14,3385,0.0019297568506368198,0.00026885751946115633,0.008422243830599327
Epithelial -> B / plasma,15,1797,0.0019297568506368198,0.00026885751946115633,0.008422243830599327
Fibroblast / CAF -> B / plasma,0,2934991,0.010958210501727145,0.0,0.0
Fibroblast / CAF -> B / plasma,1,768684,0.010958210501727145,0.0,0.0
Fibroblast / CAF -> B / plasma,2,112265,0.010958210501727145,0.0,0.0
Fibroblast / CAF -> B / plasma,3,13381,0.010958210501727145,0.0,0.0
Fibroblast / CAF -> B / plasma,4,2052,0.010958210501727145,0.0,0.0
Fibroblast / CAF -> B / plasma,5,92,0.010958210501727145,0.0,0.0
Myeloid -> B / plasma,0,545282,0.003489937316837893,0.0,0.0
Myeloid -> B / plasma,1,808349,0.0036481767157502515,0.00015823939891235856,0.003482486333305787
Myeloid -> B / plasma,2,814454,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,3,671699,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,4,453154,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,5,263088,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,6,145527,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,7,77267,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,8,27084,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,9,14813,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,10,5375,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,11,3641,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,12,1283,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
Myeloid -> B / plasma,13,449,0.003672562407328336,0.0001826250904904429,0.0040191594895020106
T / NK -> B / plasma,0,392272,0.004075747079494377,0.0,0.0
T / NK -> B / plasma,1,690516,0.004075747079494377,0.0,0.0
T / NK -> B / plasma,2,723822,0.004075747079494377,0.0,0.0
T / NK -> B / plasma,3,619939,0.004075747079494377,0.0,0.0
T / NK -> B / plasma,4,475398,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,5,342450,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,6,253988,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,7,168154,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,8,84713,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,9,45799,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,10,23929,0.004217490861864086,0.00014174378236970955,0.005129715679518194
T / NK -> B / plasma,11,8899,0.004832003595909653,0.0007562565164152763,0.027368967055462674
T / NK -> B / plasma,12,1586,0.005044136191677175,0.0009683891121827987,0.03504605796169559
B / plasma -> Endothelial,0,819076,0.0026932787677822327,0.0,0.0
B / plasma -> Endothelial,1,288361,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
B / plasma -> Endothelial,2,102625,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
B / plasma -> Endothelial,3,41172,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
B / plasma -> Endothelial,4,16039,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
B / plasma -> Endothelial,5,5027,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
B / plasma -> Endothelial,6,1808,0.0028196909513554017,0.00012641218357316904,0.004258534588652704
