"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"B / plasma -> Endothelial","B / plasma","Endothelial",1644,1124,0.0143537412816788,0.0103257009596993,0.0117983621374449,0.0271862519844791
"B / plasma -> Epithelial","B / plasma","Epithelial",9956,4575,0.00665929589341552,0.00549811306244308,0.00549811306244308,0.0107901485328704
"B / plasma -> Fibroblast / CAF","B / plasma","Fibroblast / CAF",1061,505,0.0116490403214186,0.000500774490653555,0.000500774490653555,0.0333541619122431
"B / plasma -> Myeloid","B / plasma","Myeloid",7130,2680,0.00873859761837581,0.00851114894974214,0.00969357367392165,0.00918053891342008
"B / plasma -> T / NK","B / plasma","T / NK",9001,3772,0.00541105969096767,0.00407538024924436,0.00407538024924436,0.0106044521221581
"Endothelial -> B / plasma","Endothelial","B / plasma",621,203,0.010891642812362,0.00808285173346435,NA,0.0170688835434543
"Endothelial -> Epithelial","Endothelial","Epithelial",19950,19920,0.0140356642823055,0.000863128890549958,NA,0.000835772256898237
"Endothelial -> Myeloid","Endothelial","Myeloid",1784,1477,-0.0129622649398495,0.00755832732175099,NA,0.0130029012086915
"Endothelial -> T / NK","Endothelial","T / NK",1683,568,0.000817068701693402,-0.00018223026971409,NA,0.00322599162011183
"Epithelial -> B / plasma","Epithelial","B / plasma",3179,1394,0.0138029256250346,0.012420802487055,0.012420802487055,0.0326920956384318
"Epithelial -> Endothelial","Epithelial","Endothelial",9608,4401,0.00420663017649692,0.00239683354328168,NA,0.0214430397494079
"Epithelial -> Fibroblast / CAF","Epithelial","Fibroblast / CAF",5225,2510,0.0280421739615465,0.0306586991038109,0.0258505369587607,0.13998049508763
"Epithelial -> Myeloid","Epithelial","Myeloid",11131,7711,0.0199337669905687,0.0196476374469023,0.0196476374469023,0.0504574975503294
"Epithelial -> T / NK","Epithelial","T / NK",19293,7308,0.00124514192827074,0.00185321217876255,0.00176010513796621,0.00605947789299954
"Fibroblast / CAF -> B / plasma","Fibroblast / CAF","B / plasma",474,24,0.0195495814966895,-0.0525582599832997,NA,0.0208986020960759
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",232,22,0.0225667520776519,0.0177554628004346,NA,0.0108391439470931
"Fibroblast / CAF -> Epithelial","Fibroblast / CAF","Epithelial",1886,720,0.00455960676401868,0.00102913913999758,NA,0.00126733378197086
"Fibroblast / CAF -> Myeloid","Fibroblast / CAF","Myeloid",2835,2692,-0.00496295177256734,0.010057821220068,NA,0.0255544479183845
"Fibroblast / CAF -> T / NK","Fibroblast / CAF","T / NK",2513,175,0.00221119772381217,0.00222464977964532,NA,0.0022253183253822
"Myeloid -> B / plasma","Myeloid","B / plasma",5977,3755,0.097883961940325,0.0692415257646329,0.0921151499947264,0.0634978097775827
"Myeloid -> Endothelial","Myeloid","Endothelial",7326,4642,0.00402368583652812,0.00613037512822312,0.00314727390903613,0.0116753171981347
"Myeloid -> Epithelial","Myeloid","Epithelial",51818,31512,0.00261959041065751,0.00286499825577913,0.00286499825577913,0.00399585289871263
"Myeloid -> Fibroblast / CAF","Myeloid","Fibroblast / CAF",1921,1218,0.0321850359188756,0.0274921224435107,0.0250561227695139,0.0789898952384868
"Myeloid -> T / NK","Myeloid","T / NK",20197,12650,0.00916921675658544,0.0155168510499079,0.0200115124898945,0.0257113575068255
"T / NK -> B / plasma","T / NK","B / plasma",10595,6028,0.0115407623430764,0.0157634815741936,0.0171324589750773,0.0199778445472886
"T / NK -> Endothelial","T / NK","Endothelial",7989,3760,0.00683896180644905,0.00582670595274248,NA,0.011008365255242
"T / NK -> Epithelial","T / NK","Epithelial",100294,49617,0.000617350536102679,0.000619573544488827,0.000619573544488827,0.00264909304175287
"T / NK -> Fibroblast / CAF","T / NK","Fibroblast / CAF",4321,2023,0.010202929136734,0.0145503025941434,NA,0.018627830686199
"T / NK -> Myeloid","T / NK","Myeloid",46729,34436,0.0125948843002809,0.0163206584107839,NA,0.0364599382840237
