pair,marginal,joint,ratio
Endocrine -> Ductal/tumor epithelial,2113.4737822702687,1591.7497523781292,0.7531438363376765
Endothelial -> Ductal/tumor epithelial,4071.4655127363903,2883.3580968389024,0.7081867911736349
Exocrine epithelial -> Ductal/tumor epithelial,362131.81679212063,346923.56939847267,0.9580035592332994
Fibroblast / CAF -> Ductal/tumor epithelial,24079.58940373028,20430.699591526747,0.848465447187473
Immune -> Ductal/tumor epithelial,5909.248713442951,5101.171422419344,0.8632521103426715
Mural / pericyte -> Ductal/tumor epithelial,997.4053410345142,579.5531284103978,0.5810607829804502
Endothelial -> Endocrine,535.0659713640782,460.02571916349456,0.8597551400824861
Exocrine epithelial -> Endocrine,6085.903489246282,5968.018730105683,0.9806298671431612
Fibroblast / CAF -> Endocrine,1548.0172078657715,1282.0364179463852,0.8281796942773717
Immune -> Endocrine,305.385489831644,243.48197975025073,0.7972938723594233
Ductal/tumor epithelial -> Endothelial,2645.292176879744,2529.0358763177574,0.95605162198033
Endocrine -> Endothelial,3677.8231671964654,3590.8216189840664,0.9763442818598811
Exocrine epithelial -> Endothelial,46048.31566739577,43888.43774348062,0.953095397896509
Fibroblast / CAF -> Endothelial,15510.221340439086,11089.144633430375,0.714957213699985
Immune -> Endothelial,3000.2308521033256,2473.876692429596,0.8245621135104565
Mural / pericyte -> Endothelial,5011.810998214176,4326.212709336512,0.8632034829082823
Ductal/tumor epithelial -> Exocrine epithelial,10180.663978335504,12196.12813328167,1.1979698140745125
Endocrine -> Exocrine epithelial,5162.064754871322,4301.240876122321,0.8332403951467945
Endothelial -> Exocrine epithelial,6434.244172725912,5686.803264097006,0.8838339222814655
Fibroblast / CAF -> Exocrine epithelial,12336.814593479035,10319.450063377342,0.836476059941111
Immune -> Exocrine epithelial,7843.61886188074,6866.267885630372,0.8753954018596948
Mural / pericyte -> Exocrine epithelial,423.04449889287287,371.27350840055874,0.8776228254290005
Ductal/tumor epithelial -> Fibroblast / CAF,14309.477538347037,13552.270168312252,0.9470835068572144
Endocrine -> Fibroblast / CAF,2358.951526233055,2178.5398709015276,0.9235204058560619
Endothelial -> Fibroblast / CAF,7186.555812524044,5924.256112539038,0.824352619959454
Exocrine epithelial -> Fibroblast / CAF,38961.349959309606,37847.66065924767,0.9714155361345269
Immune -> Fibroblast / CAF,32836.642277621126,29027.256953603573,0.883989803469835
Mural / pericyte -> Fibroblast / CAF,2270.2436781350934,2459.792509546282,1.0834927251364024
Ductal/tumor epithelial -> Immune,8477.067668244654,7973.842122820695,0.9406368375105632
Endocrine -> Immune,946.1091821900332,834.6966153449328,0.882241321675787
Endothelial -> Immune,2548.3458941975537,2415.9646447753075,0.948052087542876
Exocrine epithelial -> Immune,46803.76233290795,43820.479728125094,0.936259769384281
Fibroblast / CAF -> Immune,38635.997156377765,31455.88985586424,0.814160165934056
Mural / pericyte -> Immune,2662.390270631409,2655.740484876491,0.9975023249490238
Ductal/tumor epithelial -> Mural / pericyte,413.3033858232591,392.7061620177279,0.9501643961505334
Endothelial -> Mural / pericyte,803.0240377525438,757.7875868044401,0.9436673762908657
Exocrine epithelial -> Mural / pericyte,650.1158564560851,623.7485826776464,0.9594421924698588
Fibroblast / CAF -> Mural / pericyte,2446.0214430209035,2058.4009568393294,0.8415302174526924
Immune -> Mural / pericyte,1129.9229929993635,897.7030528185034,0.7944816225356776
