target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit
Ductal/tumor epithelial,Endocrine,LAMP3,Ductal/tumor epithelial,2459.0,-0.06721049627748787,-0.6236440503201178,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Endothelial,LAMP3,Ductal/tumor epithelial,2459.0,0.004263756150576447,0.11310847203397728,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Exocrine epithelial,LAMP3,Ductal/tumor epithelial,2459.0,0.0061126415040452286,0.3890385389940425,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Fibroblast / CAF,LAMP3,Ductal/tumor epithelial,2459.0,-0.04260351600197929,-2.5546324300406784,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Immune,LAMP3,Ductal/tumor epithelial,2459.0,0.038199454703801004,1.840636569048277,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Mural / pericyte,LAMP3,Ductal/tumor epithelial,2459.0,-0.023763765435752822,-0.2758989293414768,1.2521928590645586,0.0,0.0,False
Ductal/tumor epithelial,Endocrine,HES4,Mural / pericyte,736.3537575433882,-0.07413747263965792,-0.38239005979169616,1.0,0.040402258189947915,0.0,False
Ductal/tumor epithelial,Endothelial,HES4,Mural / pericyte,736.3537575433882,-0.04836955763786858,-0.7232334592980703,1.0,0.040402258189947915,0.6932271705437872,False
Ductal/tumor epithelial,Exocrine epithelial,HES4,Mural / pericyte,736.3537575433882,-0.07615362235586381,-2.6058665146029307,1.0,0.040402258189947915,0.6069266463845611,False
Ductal/tumor epithelial,Fibroblast / CAF,HES4,Mural / pericyte,736.3537575433882,0.1063477623493788,4.231553531304957,1.0,0.040402258189947915,1.1368727973089552,False
Ductal/tumor epithelial,Immune,HES4,Mural / pericyte,736.3537575433882,0.029994952998918443,0.8938477421967542,1.0,0.040402258189947915,1.0232831015028618,False
Ductal/tumor epithelial,Mural / pericyte,HES4,Mural / pericyte,736.3537575433882,0.172286216760015,1.4585628389073537,1.0,0.040402258189947915,3.143336127409891,False
Ductal/tumor epithelial,Endocrine,FBLN1,Fibroblast / CAF,2400.4107716273616,-0.10924420645358109,-0.82505404296394,1.0,0.3909977070284074,21.64623861464073,False
Ductal/tumor epithelial,Endothelial,FBLN1,Fibroblast / CAF,2400.4107716273616,0.009835775022095549,0.23931184378624973,1.0,0.3909977070284074,47.83267476752132,False
Ductal/tumor epithelial,Exocrine epithelial,FBLN1,Fibroblast / CAF,2400.4107716273616,-0.2387646344663432,-12.750260447105953,1.0,0.3909977070284074,15.503518638025875,True
Ductal/tumor epithelial,Fibroblast / CAF,FBLN1,Fibroblast / CAF,2400.4107716273616,-0.19208616938086134,-11.795523425506317,1.0,0.3909977070284074,170.76498164284806,True
