pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endocrine -> Ductal/tumor epithelial,2864.818846303774,2790.128281252521,488.83218891407586,0.08988429944789776
Endothelial -> Ductal/tumor epithelial,6955.474033666678,6908.397507079366,1003.6607989701681,0.01820878515595843
Exocrine epithelial -> Ductal/tumor epithelial,379833.3062638518,366943.7845319157,91734.49855223455,0.5042603882773455
Fibroblast / CAF -> Ductal/tumor epithelial,60176.55940421592,58884.57802599989,7170.4462457636455,0.05923409918959241
Immune -> Ductal/tumor epithelial,21170.058220831754,21126.32243230875,832.0096057269006,0.024825315908622938
Mural / pericyte -> Ductal/tumor epithelial,1889.3005129561714,1837.4652052372905,1443.1605017630552,0.01743214595698594
Endothelial -> Endocrine,868.6311949005285,886.9799573794714,0.0,0.01354258138741912
Exocrine epithelial -> Endocrine,7319.028731333564,7349.633682381487,0.0,0.13287058869796284
Fibroblast / CAF -> Endocrine,2578.790225619152,2550.877553933049,0.0,0.06902699347523616
Immune -> Endocrine,1060.297454345462,1051.8819104375023,0.0,0.03456802515145863
Ductal/tumor epithelial -> Endothelial,6885.818903058335,6820.365801330312,0.0,0.04129374049688692
Endocrine -> Endothelial,4269.999034655259,4273.094051614575,0.0,0.21222949723475282
Exocrine epithelial -> Endothelial,54974.930211783336,53977.204205793205,0.0,0.32556463568957494
Fibroblast / CAF -> Endothelial,31338.124893196706,30713.168997210312,3608.853906292338,0.1348472408975482
Immune -> Endothelial,12379.24871120869,12340.26494943849,0.0,0.05252539469397832
Mural / pericyte -> Endothelial,8388.116933707683,8137.444828925537,1863.0699300987553,0.10593813560976485
Ductal/tumor epithelial -> Exocrine epithelial,110402.21271720005,106415.64665295667,0.0,0.06672968144410388
Endocrine -> Exocrine epithelial,6160.106104379159,6211.541645675793,0.0,0.08282785499360014
Endothelial -> Exocrine epithelial,11530.22795969823,11924.372300519964,0.0,0.011670349573484461
Fibroblast / CAF -> Exocrine epithelial,21735.7248317383,21913.59890276021,0.0,0.030724506173575406
Immune -> Exocrine epithelial,24137.875786140365,24513.39668619287,0.0,0.025714492573485275
Mural / pericyte -> Exocrine epithelial,604.4900091628981,604.0516312374075,0.0,0.013231720078979292
Ductal/tumor epithelial -> Fibroblast / CAF,36631.39195273581,36291.191421092124,510.6815705873913,0.07407042595068516
Endocrine -> Fibroblast / CAF,2783.3304199405657,2798.131149259583,0.0,0.09587031265515668
Endothelial -> Fibroblast / CAF,12862.336151654421,13024.151211020839,1283.9159499997893,0.031079004102564287
Exocrine epithelial -> Fibroblast / CAF,46443.14047661814,46369.44581778027,723.1125631948978,0.19188709082184233
Immune -> Fibroblast / CAF,118305.86780971044,117403.12261571863,1009.4578706097773,0.12830580612465117
Mural / pericyte -> Fibroblast / CAF,7633.344405012851,7672.035013838575,0.0,0.038576631982166806
Ductal/tumor epithelial -> Immune,19313.891378982255,19260.265777084645,0.0,0.08039739446459312
Endocrine -> Immune,1122.2011651725961,1122.195927956586,0.0,0.08973586465062432
Endothelial -> Immune,6266.146310483966,6298.707809844966,0.0,0.029422645552027428
Exocrine epithelial -> Immune,55405.213267838444,55253.12596406896,0.0,0.2537311006780786
Fibroblast / CAF -> Immune,69500.7743137133,69269.45169858712,4084.8742147823186,0.17005745039281303
Mural / pericyte -> Immune,3846.595087140984,3834.4451964241234,0.0,0.044789098591839785
Ductal/tumor epithelial -> Mural / pericyte,1055.9792903371283,1070.4577419495718,0.0,0.09335895122312284
Endothelial -> Mural / pericyte,1454.7258049272054,1476.8339908213613,609.8967185083161,0.046762497606573215
Exocrine epithelial -> Mural / pericyte,807.7577465051178,806.5924342585557,0.0,0.1150315230210666
Fibroblast / CAF -> Mural / pericyte,4763.104775693049,4789.541975547325,233.44136051557228,0.11685588387459432
Immune -> Mural / pericyte,4398.277526086128,4411.288015607832,0.0,0.09656212173770037
