pair,gene,resid_z,excess,proportional_expected
Endocrine -> Ductal/tumor epithelial,FXYD2,15.535105834989642,425.04362068371495,20.41429187461146
Endothelial -> Ductal/tumor epithelial,GNG11,15.191295983841197,798.9957874420815,148.39040417930823
Endothelial -> Ductal/tumor epithelial,TM4SF18,15.283457566922193,616.2438937458013,38.11681132492265
Exocrine epithelial -> Ductal/tumor epithelial,CFTR,24.154535725547053,110866.73789752314,23889.028287733607
Exocrine epithelial -> Ductal/tumor epithelial,CA4,16.955261175247458,1681.0183051677482,404.1500196132457
Exocrine epithelial -> Ductal/tumor epithelial,PROX1,15.121409568550154,11709.747480717515,3526.6095844945107
Fibroblast / CAF -> Ductal/tumor epithelial,APCDD1,11.999945881671191,2035.3550172178534,587.2950462664835
Fibroblast / CAF -> Ductal/tumor epithelial,SEMA3C,22.47706333095144,4181.180887626518,540.133091198745
Fibroblast / CAF -> Ductal/tumor epithelial,BASP1,8.124244463911962,2750.5082650147024,1179.0843113248827
Immune -> Ductal/tumor epithelial,GLIPR1,11.971543467142515,1073.128887429879,283.63393717659204
Immune -> Ductal/tumor epithelial,KIT,8.799340453547075,352.21401260970737,46.67291627260923
Immune -> Ductal/tumor epithelial,SPIB,15.779031932403633,672.8774415618271,29.235168418224124
Mural / pericyte -> Ductal/tumor epithelial,TNC,13.255375776721081,475.7854098029615,46.79485065419918
Mural / pericyte -> Ductal/tumor epithelial,CAVIN1,8.813219151666893,341.6444510833935,62.84150698637369
Mural / pericyte -> Ductal/tumor epithelial,ACTG2,9.843600323531888,549.0400937198308,69.29472141866957
Fibroblast / CAF -> Endothelial,APCDD1,10.410154694930982,895.1365231999073,222.7022647218411
Fibroblast / CAF -> Endothelial,THY1,11.056556645166685,1575.3858888953253,505.4054447185627
Fibroblast / CAF -> Endothelial,ASPN,8.181967519830572,1635.578833342988,655.1934418023241
Mural / pericyte -> Endothelial,ADAMTS1,15.015922498246262,2045.613732372683,549.1304312611346
Ductal/tumor epithelial -> Fibroblast / CAF,C5orf46,9.879399748632055,515.0792757381586,105.16017734565759
Endothelial -> Fibroblast / CAF,STEAP4,10.323911621744372,523.1327062909129,131.44328429782496
Endothelial -> Fibroblast / CAF,EDNRB,9.209266841299334,509.15866354766865,136.79094880039773
Exocrine epithelial -> Fibroblast / CAF,GPC3,11.089755377730658,735.7634370287269,202.3207496275102
Immune -> Fibroblast / CAF,CTLA4,8.267235918008035,823.6407587798001,209.70373745301026
Fibroblast / CAF -> Immune,PMP22,10.279826291213055,3183.479670783659,1029.5017562982055
Endothelial -> Mural / pericyte,APOLD1,8.966589675129587,353.8453030526471,50.598830256377546
Endothelial -> Mural / pericyte,EDNRB,8.921949412883912,181.28845303052645,14.434722541721078
Fibroblast / CAF -> Mural / pericyte,THY1,8.448370205577561,275.21321645313554,69.71939906028537
