pair,stratum,totals,rate,excess_rate,lam
Endocrine -> Ductal/tumor epithelial,0,1886605.0,0.009113195395962588,0.0,0.0
Endocrine -> Ductal/tumor epithelial,1,16892.0,0.05481884915936538,0.04570565376340279,0.054909264650311956
Endocrine -> Ductal/tumor epithelial,2,6041.0,0.06373117033603708,0.05461797494007449,0.06561623330394253
Endocrine -> Ductal/tumor epithelial,3,3645.0,0.09272976680384087,0.08361657140787829,0.10045419046742177
Endocrine -> Ductal/tumor epithelial,4,1942.0,0.11483007209062822,0.10571687669466563,0.12700476817333728
Endocrine -> Ductal/tumor epithelial,5,1605.0,0.15801070192005037,0.14889750652408779,0.1788805523672263
Endocrine -> Ductal/tumor epithelial,6,1181.0,0.15801070192005037,0.14889750652408779,0.1788805523672263
Endocrine -> Ductal/tumor epithelial,7,252.0,0.15801070192005037,0.14889750652408779,0.1788805523672263
Endocrine -> Ductal/tumor epithelial,8,139.0,0.15801070192005037,0.14889750652408779,0.1788805523672263
Endocrine -> Ductal/tumor epithelial,14,73.0,0.3972602739726027,0.3881470785766401,0.46630709564153966
Endothelial -> Ductal/tumor epithelial,0,1534697.0,0.009196603629250595,0.0,0.0
Endothelial -> Ductal/tumor epithelial,1,239786.0,0.017315439600310276,0.00811883597105968,0.014068454902018164
Endothelial -> Ductal/tumor epithelial,2,95307.0,0.02067004522228168,0.011473441593031085,0.019881371688979865
Endothelial -> Ductal/tumor epithelial,3,32956.0,0.027855322247845614,0.01865871861859502,0.03233214001993059
Endothelial -> Ductal/tumor epithelial,4,10894.0,0.03286212594088489,0.023665522311634296,0.04100801328672198
Endothelial -> Ductal/tumor epithelial,5,3497.0,0.04032027452101802,0.031123670891767423,0.053931618016041176
Endothelial -> Ductal/tumor epithelial,6,487.0,0.046762589928057555,0.03756598629880696,0.06509497001521736
Endothelial -> Ductal/tumor epithelial,7,625.0,0.046762589928057555,0.03756598629880696,0.06509497001521736
Endothelial -> Ductal/tumor epithelial,8,126.0,0.07142857142857142,0.06223196779932083,0.10783659573483406
Exocrine epithelial -> Ductal/tumor epithelial,0,1184365.0,0.024153871483875326,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,1,60993.0,0.20895840506287608,0.18480453357900076,0.22092666666529878
Exocrine epithelial -> Ductal/tumor epithelial,2,42387.0,0.26786514733290867,0.24371127584903335,0.2913473969460679
Exocrine epithelial -> Ductal/tumor epithelial,3,36048.0,0.3129438526409232,0.2887899811570479,0.34523724428052
Exocrine epithelial -> Ductal/tumor epithelial,4,34173.0,0.36821467240218886,0.34406080091831354,0.4113113699376973
Exocrine epithelial -> Ductal/tumor epithelial,5,43879.0,0.419380569292828,0.3952266978089527,0.472478219192275
Exocrine epithelial -> Ductal/tumor epithelial,6,51058.0,0.4806298719103764,0.4564760004265011,0.5456993896950246
Exocrine epithelial -> Ductal/tumor epithelial,7,61123.0,0.5209986420823586,0.49684477059848325,0.5939586918817918
Exocrine epithelial -> Ductal/tumor epithelial,8,72270.0,0.5603569946035699,0.5362031231196945,0.6
Exocrine epithelial -> Ductal/tumor epithelial,9,83554.0,0.603190750891639,0.5790368794077636,0.6
Exocrine epithelial -> Ductal/tumor epithelial,10,80694.0,0.6398616997546286,0.6157078282707532,0.6
Exocrine epithelial -> Ductal/tumor epithelial,11,67124.0,0.6519128776592575,0.6277590061753822,0.6
Exocrine epithelial -> Ductal/tumor epithelial,12,51442.0,0.6903502974223398,0.6661964259384644,0.6
Exocrine epithelial -> Ductal/tumor epithelial,13,33008.0,0.7147055259331071,0.6905516544492317,0.6
Exocrine epithelial -> Ductal/tumor epithelial,14,13053.0,0.7189151919099057,0.6947613204260303,0.6
Exocrine epithelial -> Ductal/tumor epithelial,15,3204.0,0.728776529338327,0.7046226578544517,0.6
Fibroblast / CAF -> Ductal/tumor epithelial,0,898486.0,0.015044196570675558,0.0,0.0
Fibroblast / CAF -> Ductal/tumor epithelial,1,367745.0,0.02533549062529742,0.010291294054621862,0.02214627960854997
Fibroblast / CAF -> Ductal/tumor epithelial,2,241032.0,0.03440207109429454,0.01935787452361898,0.04165704522209807
Fibroblast / CAF -> Ductal/tumor epithelial,3,160346.0,0.04320656580145436,0.0281623692307788,0.06060381717923501
Fibroblast / CAF -> Ductal/tumor epithelial,4,104887.0,0.04950089143554492,0.03445669486486936,0.0741488480276374
Fibroblast / CAF -> Ductal/tumor epithelial,5,63368.0,0.05597462441610908,0.04093042784543352,0.08807995328395624
