pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endocrine -> Ductal/tumor epithelial,0.0,0.0,0.0,0.0
Endothelial -> Ductal/tumor epithelial,52.42061533511234,50.2134935020145,0.0,0.00012751337685916193
Exocrine epithelial -> Ductal/tumor epithelial,74.08043571999525,53.733639365199,0.0,8.754485018747283e-05
Fibroblast / CAF -> Ductal/tumor epithelial,514.6411298012889,531.2930258734441,0.0,0.0005067063666275584
Immune -> Ductal/tumor epithelial,119.3221812594625,119.57243247216411,0.0,0.00012886592889178552
Mural / pericyte -> Ductal/tumor epithelial,160.3747121339843,169.73202917590078,0.0,0.0013198035535108186
Endothelial -> Endocrine,0.0,0.0,0.0,0.0
Exocrine epithelial -> Endocrine,36.814512573510164,41.352232090222856,0.0,0.0007709946149787964
Fibroblast / CAF -> Endocrine,45.781746662475285,44.59340105845164,0.0,0.0009183043291462928
Immune -> Endocrine,6.533966707980155,5.860967586718816,0.0,0.00014165377390646156
Ductal/tumor epithelial -> Endothelial,515.772044259651,550.5608851896621,0.0,0.0031081881264801428
Endocrine -> Endothelial,91.1171657103836,93.809826512674,0.0,0.005555570662676909
Exocrine epithelial -> Endothelial,262.3079652561971,299.36856233248466,0.0,0.0016955303207496716
Fibroblast / CAF -> Endothelial,1968.3192499687682,1999.6739153783421,0.0,0.00830777768627923
Immune -> Endothelial,745.331493932453,750.2966287361469,0.0,0.0031246831942503897
Mural / pericyte -> Endothelial,154.27981016620612,159.1496867852373,0.0,0.002123120090986794
Ductal/tumor epithelial -> Exocrine epithelial,6321.191109777595,6195.731757501214,0.0,0.003456008074243138
Endocrine -> Exocrine epithelial,100.4717846166557,101.31866904714533,0.0,0.001377649045590226
Endothelial -> Exocrine epithelial,52.878624911672674,53.663825510058,0.0,5.147193167313331e-05
Fibroblast / CAF -> Exocrine epithelial,499.14275718397874,531.157694367827,0.0,0.0006396317049398954
Immune -> Exocrine epithelial,988.5778772139672,1030.7034580428065,0.0,0.0009695392629990064
Mural / pericyte -> Exocrine epithelial,21.919499017128135,22.860360980268865,0.0,0.0003876687979391888
Ductal/tumor epithelial -> Fibroblast / CAF,37.3575189746881,36.26190438272239,0.0,7.86702197215278e-05
Endocrine -> Fibroblast / CAF,2.277793183137086,2.528144190054253,0.0,7.603080076323621e-05
Endothelial -> Fibroblast / CAF,1328.1166492706168,1403.0649210717975,0.0,0.0032383522754676846
Exocrine epithelial -> Fibroblast / CAF,482.1036070865813,550.5682835426888,0.0,0.0023805079366324
Immune -> Fibroblast / CAF,9906.380288786493,9935.30237931379,0.0,0.010438460904452695
Mural / pericyte -> Fibroblast / CAF,42.38875607244513,40.90674378855621,0.0,0.00021363767392966002
Ductal/tumor epithelial -> Immune,389.1869083605657,423.1630683352059,0.0,0.0017119170299819359
Endocrine -> Immune,4.310151188432146,4.117830641819759,0.0,0.0004272310722036962
Endothelial -> Immune,0.0,0.0,0.0,0.0
Exocrine epithelial -> Immune,238.38281716550577,282.2134117674451,0.0,0.001425489613871697
Fibroblast / CAF -> Immune,142.45972939391248,141.59987671536726,0.0,0.000352117116357765
Mural / pericyte -> Immune,19.646715776337587,19.577519180462303,0.0,0.00018939345048707459
Ductal/tumor epithelial -> Mural / pericyte,46.95530642967162,46.89115858807766,0.0,0.0035930406505043986
Endothelial -> Mural / pericyte,0.0,0.0,0.0,0.0
Exocrine epithelial -> Mural / pericyte,0.0,0.0,0.0,0.0
Fibroblast / CAF -> Mural / pericyte,409.60110385803057,410.1090380797068,0.0,0.009802664424134161
Immune -> Mural / pericyte,86.46357935307452,85.70567711252957,0.0,0.001785890067722919
