pair,stratum,totals,rate,excess_rate,lam
Endocrine -> Ductal/tumor epithelial,0,1880977.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,1,19933.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,2,6869.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,3,4476.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,4,2545.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,5,1795.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,6,1258.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,7,332.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,8,144.0,0.010214895419300188,0.0,0.0
Endocrine -> Ductal/tumor epithelial,14,46.0,0.010214895419300188,0.0,0.0
Endothelial -> Ductal/tumor epithelial,0,1475253.0,0.011311273123360548,0.0,0.0
Endothelial -> Ductal/tumor epithelial,1,277984.0,0.011311273123360548,0.0,0.0
Endothelial -> Ductal/tumor epithelial,2,106777.0,0.011311273123360548,0.0,0.0
Endothelial -> Ductal/tumor epithelial,3,40391.0,0.011311273123360548,0.0,0.0
Endothelial -> Ductal/tumor epithelial,4,12165.0,0.012106944677988903,0.0007956715546283549,0.0027913882003859007
Endothelial -> Ductal/tumor epithelial,5,3996.0,0.012106944677988903,0.0007956715546283549,0.0027913882003859007
Endothelial -> Ductal/tumor epithelial,6,802.0,0.012106944677988903,0.0007956715546283549,0.0027913882003859007
Endothelial -> Ductal/tumor epithelial,7,878.0,0.012106944677988903,0.0007956715546283549,0.0027913882003859007
Endothelial -> Ductal/tumor epithelial,8,129.0,0.015503875968992248,0.0041926028456317,0.014708559133632775
Exocrine epithelial -> Ductal/tumor epithelial,0,1076472.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,1,82333.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,2,61060.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,3,50407.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,4,46164.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,5,51956.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,6,60507.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,7,65715.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,8,79954.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,9,87987.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,10,84235.0,0.21290195157975486,0.0,0.0
Exocrine epithelial -> Ductal/tumor epithelial,11,68683.0,0.2131480024477664,0.0002460508680115492,0.00032846215490622393
Exocrine epithelial -> Ductal/tumor epithelial,12,52557.0,0.2131480024477664,0.0002460508680115492,0.00032846215490622393
Exocrine epithelial -> Ductal/tumor epithelial,13,33056.0,0.2131480024477664,0.0002460508680115492,0.00032846215490622393
Exocrine epithelial -> Ductal/tumor epithelial,14,13413.0,0.2131480024477664,0.0002460508680115492,0.00032846215490622393
Exocrine epithelial -> Ductal/tumor epithelial,15,3876.0,0.2131480024477664,0.0002460508680115492,0.00032846215490622393
Fibroblast / CAF -> Ductal/tumor epithelial,0,903106.0,0.027505706677955745,0.0,0.0
Fibroblast / CAF -> Ductal/tumor epithelial,1,365558.0,0.027505706677955745,0.0,0.0
Fibroblast / CAF -> Ductal/tumor epithelial,2,238034.0,0.027505706677955745,0.0,0.0
Fibroblast / CAF -> Ductal/tumor epithelial,3,156266.0,0.027505706677955745,0.0,0.0
Fibroblast / CAF -> Ductal/tumor epithelial,4,107943.0,0.02808889877064747,0.0005831920926917256,0.0017274935015098953
Fibroblast / CAF -> Ductal/tumor epithelial,5,63860.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,6,35896.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,7,21448.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,8,11864.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,9,8386.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,10,2969.0,0.028236499726497857,0.0007307930485421117,0.0021647074062309474
Fibroblast / CAF -> Ductal/tumor epithelial,11,2115.0,0.02922824302134647,0.0017225363433907258,0.005102384577246028
Fibroblast / CAF -> Ductal/tumor epithelial,12,844.0,0.02922824302134647,0.0017225363433907258,0.005102384577246028
Fibroblast / CAF -> Ductal/tumor epithelial,13,86.0,0.02922824302134647,0.0017225363433907258,0.005102384577246028
Immune -> Ductal/tumor epithelial,0,974291.0,0.010814945417869305,0.0,0.0
Immune -> Ductal/tumor epithelial,1,474260.0,0.010814945417869305,0.0,0.0
Immune -> Ductal/tumor epithelial,2,235039.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
Immune -> Ductal/tumor epithelial,3,125245.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
Immune -> Ductal/tumor epithelial,4,59315.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
Immune -> Ductal/tumor epithelial,5,26658.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
Immune -> Ductal/tumor epithelial,6,14467.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
Immune -> Ductal/tumor epithelial,7,6122.0,0.01084850915669642,3.356373882711615e-05,0.00021175896459716255
