"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"Ductal/tumor epithelial -> Endothelial","Ductal/tumor epithelial","Endothelial",2645,2125,0.0412341908502932,0.0407498893002735,0.0399551761161706,0.0325761163312777
"Ductal/tumor epithelial -> Exocrine epithelial","Ductal/tumor epithelial","Exocrine epithelial",10181,7241,0.00321625591375518,0.00495780776598553,0.00250040030960774,0.0263868674192955
"Ductal/tumor epithelial -> Fibroblast / CAF","Ductal/tumor epithelial","Fibroblast / CAF",14309,8002,0.0109008658911238,0.0138704062437399,0.0132678040499969,0.0134485923519102
"Ductal/tumor epithelial -> Immune","Ductal/tumor epithelial","Immune",8477,3723,0.0143174375778085,0.0121495925476147,0.0129275332568961,0.00742883193648924
"Ductal/tumor epithelial -> Mural / pericyte","Ductal/tumor epithelial","Mural / pericyte",413,198,0.0405037124837383,0.02507307499537,0.0267327641049582,0.0186783299291141
"Endocrine -> Ductal/tumor epithelial","Endocrine","Ductal/tumor epithelial",2113,423,0.00044217860726592,0.000317834113447102,0.000331677465665314,0.000624497130077839
"Endocrine -> Endothelial","Endocrine","Endothelial",3678,1622,0.0484849176079978,0.0405349089245772,0.0404542963687569,0.0206305258744681
"Endocrine -> Exocrine epithelial","Endocrine","Exocrine epithelial",5162,2084,0.0168065505081005,0.0115220643174643,0.0114863251550468,0.00620820687609946
"Endocrine -> Fibroblast / CAF","Endocrine","Fibroblast / CAF",2359,415,0.0150352028837696,0.0171483327858772,0.0173768705323404,0.0186970154213831
"Endocrine -> Immune","Endocrine","Immune",946,476,0.00146288138149497,0.00143766730966322,0.00152758447239743,0.00148601746673738
"Endothelial -> Ductal/tumor epithelial","Endothelial","Ductal/tumor epithelial",4071,1976,0.00213569613202669,0.00132640636118486,0.00168019997943669,0.0023469938904348
"Endothelial -> Endocrine","Endothelial","Endocrine",535,194,0.00157339455035099,0.00112464216352826,0.00136201854459816,0.00131176194081795
"Endothelial -> Exocrine epithelial","Endothelial","Exocrine epithelial",6434,4267,0.00595725875385511,0.0060614291486949,0.0061370344266789,0.00498740099719974
"Endothelial -> Fibroblast / CAF","Endothelial","Fibroblast / CAF",7187,3448,0.0508343396568327,0.0566170743649171,0.0549122464294939,0.0424321627798757
"Endothelial -> Immune","Endothelial","Immune",2548,1385,0.00163149194156387,0.00142421884829125,0.00130595539273082,0.00132286997080433
"Endothelial -> Mural / pericyte","Endothelial","Mural / pericyte",803,443,0.00662532146467054,0.00781169616591715,0.00432964385157375,0.00783491072294606
"Exocrine epithelial -> Ductal/tumor epithelial","Exocrine epithelial","Ductal/tumor epithelial",362132,26197,0.000100959947074042,6.39120854224462e-05,NA,0.00100129580534913
"Exocrine epithelial -> Endocrine","Exocrine epithelial","Endocrine",6086,1923,0.00631818892045177,0.0126474160789493,0.0173857534455812,0.00333218611422981
"Exocrine epithelial -> Endothelial","Exocrine epithelial","Endothelial",46048,14758,0.0168300744221179,0.0254808469338402,0.0255275917232376,0.0204992781511055
"Exocrine epithelial -> Fibroblast / CAF","Exocrine epithelial","Fibroblast / CAF",38961,9518,0.0520056898223304,0.0619989569784853,0.0630933916274149,0.0210108807775685
"Exocrine epithelial -> Immune","Exocrine epithelial","Immune",46804,17470,0.00995460068670961,0.0137192643614297,0.014083640914343,0.00494163939467496
"Exocrine epithelial -> Mural / pericyte","Exocrine epithelial","Mural / pericyte",650,169,0.00917319134322014,0.026209309329545,0.0269543205414043,0.0187740345585953
"Fibroblast / CAF -> Ductal/tumor epithelial","Fibroblast / CAF","Ductal/tumor epithelial",24080,12254,0.00800055882581518,0.00616510547676019,0.00870617764023096,0.00347366286297235
"Fibroblast / CAF -> Endocrine","Fibroblast / CAF","Endocrine",1548,622,0.0105787300796328,0.0132449968706565,0.0120642901216728,0.00687667890463084
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",15510,6557,0.0446147653041867,0.0469909988292357,NA,0.0321570769096238
"Fibroblast / CAF -> Exocrine epithelial","Fibroblast / CAF","Exocrine epithelial",12337,6644,0.0166727954353699,0.015412249809561,0.0162277784744483,0.0129970479957928
"Fibroblast / CAF -> Immune","Fibroblast / CAF","Immune",38636,15369,0.00177951734841642,0.00168682146775501,NA,0.00112478528518223
"Fibroblast / CAF -> Mural / pericyte","Fibroblast / CAF","Mural / pericyte",2446,1393,0.0572486059192756,0.0310460109200436,NA,0.0233237194628506
"Immune -> Ductal/tumor epithelial","Immune","Ductal/tumor epithelial",5909,2230,0.00251480947789107,0.00303962600966234,0.00334382499333041,0.00270450312440818
"Immune -> Endocrine","Immune","Endocrine",305,126,0.00249278942418418,0.00591627897129665,0.00591627897129665,0.00564867652865875
"Immune -> Endothelial","Immune","Endothelial",3000,1361,0.044685374521123,0.0404545535445621,0.0425240866725534,0.0373570861792305
"Immune -> Exocrine epithelial","Immune","Exocrine epithelial",7844,4199,0.015765466432077,0.0163253198635877,0.0169542051853848,0.014515554041558
"Immune -> Fibroblast / CAF","Immune","Fibroblast / CAF",32837,15908,0.0259864469150953,0.0387756489453298,NA,0.0394885140257579
"Immune -> Mural / pericyte","Immune","Mural / pericyte",1130,536,0.0235838585661138,0.0247137205904848,0.0270395871481771,0.0295969113380219
"Mural / pericyte -> Ductal/tumor epithelial","Mural / pericyte","Ductal/tumor epithelial",997,337,0.00629135756579846,0.00553507047745982,0.00659835945652743,0.00597501865219352
"Mural / pericyte -> Endothelial","Mural / pericyte","Endothelial",5012,1031,0.0145465001463361,0.0314855079435067,0.0156458426969126,0.0180334897770654
"Mural / pericyte -> Exocrine epithelial","Mural / pericyte","Exocrine epithelial",423,266,0.0115131111656991,0.00772342227444212,0.00792028592170169,0.00806819865480857
"Mural / pericyte -> Fibroblast / CAF","Mural / pericyte","Fibroblast / CAF",2270,943,0.00814338551370075,0.00713153133177347,NA,0.00742775633954695
"Mural / pericyte -> Immune","Mural / pericyte","Immune",2662,1436,0.00417518024649088,0.00405750224285695,NA,0.00195941129174593
