pair,gene,resid_z,excess,proportional_expected
Endocrine -> Ductal/tumor epithelial,FXYD2,15.535105834989642,425.04362068371495,20.41429187461146
Endothelial -> Ductal/tumor epithelial,GNG11,15.191304800250416,798.9957874420815,148.3902313159281
Endothelial -> Ductal/tumor epithelial,TM4SF18,15.283480892542094,616.2438937458013,38.11615604743411
Exocrine epithelial -> Ductal/tumor epithelial,CFTR,24.154535725547053,110866.73789752314,23889.028287733607
Exocrine epithelial -> Ductal/tumor epithelial,CA4,16.955261175247458,1681.0183051677482,404.1500196132457
Exocrine epithelial -> Ductal/tumor epithelial,PROX1,15.121409568550154,11709.747480717515,3526.6095844945107
Fibroblast / CAF -> Ductal/tumor epithelial,APCDD1,11.999945881671195,2035.3550172178534,587.2950462664833
Fibroblast / CAF -> Ductal/tumor epithelial,SEMA3C,22.477063330951445,4181.180887626518,540.1330911987449
Fibroblast / CAF -> Ductal/tumor epithelial,BASP1,8.124244463911964,2750.5082650147024,1179.0843113248825
Immune -> Ductal/tumor epithelial,GLIPR1,11.971543467142515,1073.128887429879,283.63393717659204
Immune -> Ductal/tumor epithelial,KIT,8.799340453547075,352.21401260970737,46.67291627260923
Immune -> Ductal/tumor epithelial,SPIB,15.779031932403633,672.8774415618271,29.235168418224124
Mural / pericyte -> Ductal/tumor epithelial,TNC,13.255375776721081,475.7854098029615,46.79485065419918
Mural / pericyte -> Ductal/tumor epithelial,CAVIN1,8.813219151666893,341.6444510833935,62.84150698637369
Mural / pericyte -> Ductal/tumor epithelial,ACTG2,9.843600323531888,549.0400937198308,69.29472141866957
Exocrine epithelial -> Endothelial,DPEP1,23.2814489746798,1445.924051887634,230.7049682784845
Exocrine epithelial -> Endothelial,UMOD,34.08380791789881,1295.2551428363743,39.13021586274239
Exocrine epithelial -> Endothelial,KCNK3,17.300668690470186,1505.0067271537796,351.5824555863325
Fibroblast / CAF -> Endothelial,APCDD1,10.6702095680876,910.9298257283491,225.11809375200292
Fibroblast / CAF -> Endothelial,THY1,11.109232779156118,1589.0070506851139,510.88798054673657
Fibroblast / CAF -> Endothelial,ASPN,8.28821137956847,1659.3892510309965,662.3008474636662
Mural / pericyte -> Endothelial,ADAMTS1,14.97674764731435,2063.7454536776286,557.1350697251723
Ductal/tumor epithelial -> Fibroblast / CAF,C5orf46,9.879399748632055,515.0792757381586,105.16017734565759
Endothelial -> Fibroblast / CAF,STEAP4,10.324237186101088,523.1327062909129,131.43644026671296
Endothelial -> Fibroblast / CAF,EDNRB,9.209307944215364,509.15866354766865,136.78997175447566
Exocrine epithelial -> Fibroblast / CAF,GPC3,11.089755377730658,735.7634370287269,202.3207496275102
Immune -> Fibroblast / CAF,CTLA4,8.267235918008035,823.6407587798001,209.70373745301026
Fibroblast / CAF -> Immune,PMP22,10.279826291213055,3183.479670783659,1029.5017562982055
Endothelial -> Mural / pericyte,APOLD1,8.966597845287561,353.8453030526471,50.598618010020274
Endothelial -> Mural / pericyte,EDNRB,8.921956395249376,181.28845303052645,14.434609479367419
Fibroblast / CAF -> Mural / pericyte,THY1,8.448370205577561,275.21321645313554,69.71939906028535
