cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9676187744851237
inplane,AMY2A,2,0.9999738736828293
inplane,GATM,1,0.9999446065311017
inplane,FKBP11,1,0.9692064112478509
inplane,RIDA,1,0.9241798465550146
inplane,AMY2A,2,0.9999790041926576
ambient,FKBP11,1,0.9510923219368166
ambient,DIRAS3,1,0.9526311605924082
induction,AMY2A,7,0.9999665123849028
induction,AQP8,3,0.9997213160582682
outplane,CLEC10A,1,0.3872530065733718
outplane,CFB,1,0.9195787905831885
outplane,AMY2A,3,0.9999724638562647
induction,AMY2A,2,0.9999808991135846
induction,GATM,4,0.9999600125025838
induction,AQP8,4,0.9998435459339153
inplane,AMY2A,3,0.999978720492887
inplane,GATM,2,0.9999552853641093
inplane,FGL2,1,0.7754707818427149
inplane,CXCR4,1,0.4515994585679468
inplane,ANPEP,1,0.9997402757856987
inplane,GATM,1,0.9999616412778006
outplane,CYP2A7,1,0.8024912877044705
outplane,CFTR,2,0.9998824449296118
outplane,AMY2A,1,0.999980566552359
inplane,CFB,1,0.8115871424442967
inplane,MDM2,1,0.5621273701610044
inplane,EPCAM,1,0.9993273952471827
inplane,AMY2A,1,0.9999799031812406
induction,AMY2A,3,0.9999818123224153
induction,GATM,3,0.9999619749863249
induction,AQP8,4,0.9998511407879999
inplane,DST,1,0.6447857764653424
inplane,CFTR,1,0.9998643401874302
inplane,PROX1,1,0.9314141327052773
inplane,GATM,1,0.9999515146806615
ambient,FKBP11,2,0.9649325465443263
ambient,KCNK3,1,0.985992763959062
ambient,GLYATL1,1,0.7627252002482761
inplane,AMY2A,3,0.9999814826071941
inplane,GATM,1,0.9999612276393902
inplane,CFTR,1,0.9998828993959241
inplane,AMY2A,2,0.9999783369919549
inplane,AQP8,1,0.9998220855886463
induction,AMY2A,6,0.9999742746849647
induction,GATM,1,0.9999455630500271
induction,AQP8,3,0.9997879747287522
induction,AMY2A,4,0.9999728183132636
induction,GATM,3,0.9999400827450177
induction,AQP8,3,0.9997673369248271
outplane,AMY2A,4,0.9999808389879479
outplane,APOA5,1,0.49273721823193206
outplane,GATM,2,0.9999598745642226
outplane,INS,1,0.9975151455448966
induction,AMY2A,3,0.9999766008889089
induction,GATM,4,0.9999507180749058
induction,AQP8,3,0.9998076709742759
induction,AMY2A,3,0.9999809768830474
induction,GATM,5,0.9999601899206155
induction,AQP8,2,0.9998442161924411
inplane,GPRC5A,1,0.9894767407424406
inplane,SLC4A1,1,0.2728273000953163
inplane,AMY2A,2,0.9999814678120504
ambient,CFTR,1,0.999885450584947
ambient,UMOD,1,0.9240133497536254
outplane,TMC5,1,0.9932594304037293
outplane,CFTR,2,0.9998869951491076
outplane,AMY2A,1,0.9999806975679044
ambient,GATM,1,0.9999625052878104
ambient,AQP3,1,0.9439371853825547
induction,AMY2A,1,0.9999778249055377
induction,GATM,1,0.9999534343187227
induction,AQP8,8,0.9998180445992114
induction,AMY2A,4,0.9999654906671644
induction,GATM,4,0.9999259499980045
induction,AQP8,2,0.9997132900163938
induction,AMY2A,4,0.9999818644026844
induction,GATM,5,0.9999620697515305
induction,AQP8,1,0.9998515347514578
inplane,VWA5A,1,0.8742246329065819
inplane,CFTR,2,0.9998889846248428
inplane,AMY2A,1,0.9999811816485961
inplane,AQP8,1,0.9998458425549023
inplane,CFB,1,0.9542683107605476
inplane,MYC,1,0.8617363360604712
inplane,AMY2A,3,0.9999772635498686
inplane,GATM,1,0.9999516854715953
ambient,KLK11,1,0.9956618384200294
ambient,COCH,1,0.8771736797177558
ambient,AMY2A,1,0.9999793604809769
ambient,GLYATL1,1,0.734739872659314
inplane,CFTR,1,0.9998722535323593
inplane,EDNRB,1,0.0
inplane,GATM,2,0.9999540585750435
induction,AMY2A,2,0.9999808618634584
induction,GATM,4,0.9999599053066562
induction,AQP8,4,0.9998431742311191
inplane,CFTR,1,0.9998502124721909
inplane,AMY2A,2,0.9999746814152575
inplane,GATM,1,0.9999465442297618
