cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9689037576406386
inplane,AMY2A,2,0.9999757842083593
inplane,GATM,1,0.9999498403809514
inplane,FKBP11,1,0.9715228573770517
inplane,RIDA,1,0.9264736669004373
inplane,AMY2A,2,0.99997997310244
ambient,AQP8,1,0.999829570360141
ambient,DIRAS3,1,0.9610584838078005
induction,AMY2A,8,0.999972304675308
induction,GATM,10,0.9999422603613314
induction,AQP8,12,0.9998003644876324
outplane,CLEC10A,1,0.44495370427239167
outplane,CFB,1,0.9200504594155244
outplane,AMY2A,3,0.999974356248442
induction,AMY2A,8,0.9999823759544313
induction,GATM,13,0.9999637103122867
induction,AQP8,9,0.9998678376120085
inplane,AMY2A,3,0.9999796720278291
inplane,GATM,2,0.9999580520544529
inplane,FGL2,1,0.7826347168842542
inplane,CXCR4,1,0.44438444154099344
inplane,ANPEP,1,0.9997480304238128
inplane,GATM,1,0.999963753914089
outplane,CYP2A7,1,0.817249730983758
outplane,CFTR,2,0.9998868496188631
outplane,AMY2A,1,0.9999815218164313
inplane,CFB,1,0.8207488146506698
inplane,MDM2,1,0.5758111430740177
inplane,EPCAM,1,0.9993506672992325
inplane,AMY2A,1,0.9999808721390157
induction,AMY2A,10,0.9999829486167938
induction,GATM,10,0.9999649010934762
induction,AQP8,10,0.9998719931442233
inplane,DST,1,0.6565838346285569
inplane,CFTR,1,0.9998706282447503
inplane,PROX1,1,0.9380042442876633
inplane,GATM,1,0.9999554474170299
ambient,CPA3,1,0.9030652678217697
ambient,COCH,1,0.8857097476826955
ambient,FKBP11,1,0.975429880320402
ambient,AMY2A,1,0.9999819367133609
inplane,AMY2A,3,0.9999822376575833
inplane,GATM,1,0.9999634192810374
inplane,CFTR,1,0.9998862264014273
inplane,AMY2A,2,0.9999793778443045
inplane,AQP8,1,0.999846518979124
induction,AMY2A,8,0.9999771580353426
induction,GATM,10,0.9999527156469833
induction,AQP8,12,0.9998316259831187
induction,AMY2A,11,0.9999755104980715
induction,GATM,9,0.9999476716020254
induction,AQP8,10,0.9998163415645756
outplane,AMY2A,4,0.9999817747516592
outplane,APOA5,1,0.5113879414236697
outplane,GATM,2,0.9999624714691551
outplane,INS,1,0.9974359218658841
induction,AMY2A,15,0.9999785919891528
induction,GATM,7,0.9999557573267928
induction,AQP8,8,0.9998413555673235
induction,AMY2A,10,0.999982174558557
induction,GATM,13,0.9999632994491301
induction,AQP8,7,0.9998662820868339
inplane,GPRC5A,1,0.9891313947128393
inplane,SLC4A1,1,0.2812157687940253
inplane,AMY2A,2,0.9999821909284464
ambient,DPEP1,1,0.9859204194069773
ambient,PEBP4,1,0.8381057402379153
outplane,TMC5,1,0.9929445394197426
outplane,CFTR,2,0.9998898184432139
outplane,AMY2A,1,0.9999814552463625
ambient,GATM,1,0.9999642986523897
ambient,GLYATL1,1,0.7240699906243067
induction,AMY2A,7,0.9999798227319181
induction,GATM,16,0.9999583962455498
induction,AQP8,7,0.9998493647464031
induction,AMY2A,9,0.9999713650090921
induction,GATM,14,0.9999404041483951
induction,AQP8,7,0.9997924843843214
induction,AMY2A,12,0.9999829280601582
induction,GATM,9,0.9999648600188769
induction,AQP8,9,0.9998718240809875
inplane,VWA5A,1,0.8810511764066463
inplane,CFTR,2,0.999892803770269
inplane,AMY2A,1,0.9999820790541544
inplane,AQP8,1,0.9998655788981669
inplane,CFB,1,0.954245501567342
inplane,MYC,1,0.8697122667505566
inplane,AMY2A,3,0.9999783087958044
inplane,GATM,1,0.9999550083810581
ambient,CA4,1,0.9296800021406294
ambient,PEBP4,1,0.852463212946461
ambient,FKBP11,1,0.9709002341548144
ambient,CA4,1,0.9327227664576488
inplane,CFTR,1,0.9998759870273859
inplane,EDNRB,1,0.0
inplane,GATM,2,0.9999569127058278
induction,AMY2A,7,0.9999821534028795
induction,GATM,9,0.9999632209904392
induction,AQP8,14,0.9998665366826693
inplane,CFTR,1,0.9998578424231478
inplane,AMY2A,2,0.9999763682534827
inplane,GATM,1,0.9999511438628899
outplane,MYC,1,0.8817805464605406
outplane,AMY2A,1,0.9999777781115379
outplane,GATM,1,0.9999539320330191
outplane,AQP8,1,0.9998369543520861
outplane,PMP22,1,0.26074493350996875
outplane,CFTR,1,0.9998733495383586
outplane,AMY2A,1,0.9999789455792726
outplane,ELF5,1,0.3453953403324439
ambient,FKBP11,1,0.971485615399357
ambient,HAMP,1,0.9425866483501849
outplane,APCDD1,1,0.4082838216181296
outplane,DST,2,0.6555912612118155
outplane,PROX1,1,0.9522640248558549
inplane,GHRL,1,0.96541014218885
inplane,EHF,1,0.9986803197810931
inplane,PLCG2,1,0.0
inplane,AMY2A,1,0.9999772621140212
induction,AMY2A,12,0.9999807184174725
induction,GATM,11,0.999960221037886
induction,AQP8,7,0.9998563083687318
ambient,RIDA,1,0.8534710786558753
ambient,KLK11,1,0.9968103002316849
outplane,CFTR,1,0.9998744549614648
outplane,AMY2A,3,0.9999782579710988
outplane,AQP8,1,0.9998383062283653
outplane,CD163,1,0.9916523918805925
outplane,CFTR,2,0.9998828011097021
outplane,AMY2A,3,0.999980075322229
inplane,AMY2A,2,0.9999797572248201
inplane,GATM,2,0.9999581268345422
outplane,ANPEP,2,0.999732227402593
outplane,GATM,2,0.9999612910843352
outplane,PECAM1,1,0.0
outplane,TBX3,1,0.020019350859360796
outplane,GATM,2,0.999962392693914
inplane,TCIM,1,0.0
inplane,SMYD2,1,0.8475677485871485
inplane,AMY2A,2,0.9999798499093854
inplane,GATM,1,0.9999584102147914
outplane,CFB,1,0.9050371222143495
outplane,CFTR,1,0.9998816685244566
outplane,GPC3,1,0.8829823322457544
outplane,GATM,1,0.9999590515352524
inplane,MET,1,0.6141391948920519
inplane,AMY2A,3,0.9999817639810253
inplane,GATM,1,0.9999624447078009
ambient,COCH,1,0.915316548188029
ambient,GLYATL1,1,0.7377685628426998
outplane,KLK11,1,0.9970173685609269
outplane,AMY2A,3,0.9999810341530784
outplane,KCNK3,1,0.9856742490324137
inplane,VWA5A,1,0.8557768209061483
inplane,ACTG2,1,0.573393872888497
inplane,HAVCR2,2,0.6404893297082488
inplane,TFPI,1,0.0
inplane,AMY2A,1,0.9999802074439987
inplane,CXCL6,1,0.9985023861079708
inplane,SFRP4,1,0.69196630724691
inplane,EHF,1,0.998616012290539
inplane,AMY2A,2,0.9999521122180897
inplane,GATM,1,0.9998979762970102
induction,AMY2A,8,0.9999829160479827
induction,GATM,8,0.9999648392689525
induction,AQP8,14,0.9998716865179378
ambient,AMY2A,1,0.9999781344895265
ambient,AQP3,1,0.902019095734599
ambient,DIRAS3,1,0.9709961919655912
ambient,GLYATL1,1,0.6873097438947045
ambient,COCH,1,0.8495187458523588
ambient,PROX1,1,0.9209294387429316
ambient,COCH,1,0.9147323483778341
ambient,AQP3,1,0.9515442953597945
induction,AMY2A,14,0.9999746123814343
induction,GATM,8,0.9999470682657898
induction,AQP8,8,0.9998170296731275
induction,AMY2A,8,0.999975642758211
induction,GATM,10,0.9999493737841537
induction,AQP8,12,0.9998227496020892
outplane,IRF8,1,0.6100642347957805
outplane,PRDM1,1,0.26207862754976097
outplane,GHRL,1,0.9683308569054113
outplane,AMY2A,3,0.9999675765015542
outplane,AMY2A,3,0.9999819383896422
outplane,GATM,1,0.999962791753487
outplane,CFTR,1,0.9998668380739951
outplane,AMY2A,2,0.9999778660631867
outplane,GATM,1,0.9999542595778582
outplane,MDM2,1,0.9280305944528815
outplane,CFTR,1,0.9998865576750707
outplane,C1orf162,1,0.8572679728424066
outplane,AMY2A,3,0.9999794793425562
inplane,PMP22,1,0.3234992055371272
inplane,AMY2A,2,0.9999827515108156
inplane,GATM,1,0.9999645086411482
ambient,UMOD,1,0.8521699403858334
ambient,HAMP,1,0.8668743124767436
induction,AMY2A,8,0.9999831765234332
induction,GATM,11,0.9999653770962861
induction,AQP8,11,0.9998736218127772
ambient,AMY2A,1,0.9999810710683187
ambient,CPA3,1,0.8077185495904681
inplane,CRISPLD2,1,7.727374295996015e-12
inplane,AMY2A,2,0.999980512033525
inplane,GATM,1,0.9999598727757685
outplane,MS4A6A,1,0.6326939725404714
outplane,ADAM28,1,0.7828318260654097
outplane,AMY2A,2,0.9999813169630283
outplane,GATM,1,0.9999614999936973
outplane,CRHBP,1,0.146267508381822
outplane,GATM,3,0.9999501426808669
outplane,AQP8,1,0.9998225814934252
induction,AMY2A,7,0.9999647365536234
induction,GATM,7,0.999925737407502
induction,AQP8,10,0.999753485097912
induction,AMY2A,8,0.9999791548560086
induction,GATM,13,0.9999567660144157
induction,AQP8,9,0.9998472791319544
inplane,FBN1,1,0.0157043508659076
inplane,MDM2,1,0.7319793093730547
inplane,CYP2A7,1,0.6628335736079576
inplane,AMY2A,4,0.9999740216524712
ambient,CA4,1,0.8124715068438693
ambient,CPA3,1,0.7601352462470512
ambient,FKBP11,1,0.9275775967353662
ambient,GLYATL1,1,0.49505439663121087
ambient,CA4,1,0.9300367183049573
ambient,KCNK3,1,0.9833762189192704
ambient,KCNK3,1,0.9896630894171814
ambient,AQP3,1,0.9570544503961821
inplane,ECSCR,1,0.0
inplane,AMY2A,1,0.9999416620522551
inplane,KCNK3,1,0.9711231497414924
inplane,HAMP,1,0.7263066185821567
inplane,GATM,1,0.9998583605809678
induction,AMY2A,11,0.9999826076814307
induction,GATM,9,0.9999641504174878
induction,AQP8,10,0.9998700131214702
ambient,RIDA,1,0.8876390276304641
ambient,PEBP4,1,0.788502035981852
ambient,HAMP,1,0.8525312724995422
ambient,AQP8,1,0.9998298122081729
ambient,CA4,1,0.8928893637091608
ambient,AMY2A,1,0.9999765927245335
inplane,MMRN2,1,0.0
inplane,TCIM,1,0.0
inplane,CFTR,1,0.999884250792077
inplane,GATM,1,0.9999593316011065
outplane,CFTR,1,0.9998818497361956
outplane,SNCA,1,0.4097978223986558
outplane,FXYD2,1,0.9798171308965485
outplane,PROX1,1,0.9318478369155978
ambient,DPEP1,1,0.9932320209723045
ambient,PEBP4,1,0.9170899443584678
outplane,AMY2A,4,0.9999787305543252
outplane,TCIM,1,0.0
outplane,CLEC14A,1,0.0
outplane,BAMBI,1,0.7850217749563412
outplane,AMY2A,1,0.9999793923320556
inplane,MMRN2,2,0.0
inplane,AMY2A,4,0.9999790879622903
induction,AMY2A,10,0.9999813676699705
induction,GATM,13,0.9999615798174101
induction,AQP8,7,0.999860919439574
inplane,PCNA,1,0.6982633426191547
inplane,CFB,1,0.943535904423931
inplane,CFTR,1,0.9998968271257742
inplane,ERBB2,1,0.9617871055738242
induction,AMY2A,13,0.9999785200641779
induction,GATM,10,0.9999555131056227
induction,AQP8,7,0.9998419133950674
ambient,FKBP11,1,0.9576536073054244
ambient,DIRAS3,1,0.9642030490367206
inplane,AMY2A,3,0.9999675828696698
inplane,GATM,1,0.9999322392977062
outplane,AMY2A,4,0.9999799421876804
ambient,UMOD,1,0.9311053702020969
ambient,AQP8,1,0.9998245737861039
induction,AMY2A,12,0.9999796970370128
induction,GATM,8,0.9999580712302105
induction,AQP8,10,0.9998491944735578
outplane,CFTR,1,0.9998731965310802
outplane,AMY2A,1,0.9999786382522275
outplane,CD8A,1,0.5473806272504462
outplane,CXCL6,1,0.998158067791824
outplane,GATM,2,0.99995580193229
ambient,KLK11,1,0.9972687562424382
ambient,GLYATL1,1,0.7335554237728286
inplane,TENT5C,1,0.9977803997065408
inplane,AMY2A,1,0.9999816748273631
inplane,FXYD2,1,0.9805840646471073
inplane,GATM,1,0.9999622684548789
inplane,TCIM,1,0.0
inplane,MYC,1,0.6971885451109845
inplane,CFTR,1,0.999869259644621
inplane,AMY2A,2,0.9999774033257759
induction,AMY2A,9,0.9999801377134296
induction,GATM,16,0.999958949019278
induction,AQP8,5,0.9998528397739866
induction,AMY2A,9,0.999982975601027
induction,GATM,10,0.9999649778800389
induction,AQP8,11,0.999871941995596
outplane,ANPEP,1,0.9996976527094322
outplane,TENT5C,1,0.9976617044029042
outplane,AMY2A,1,0.9999793406566742
outplane,GATM,2,0.9999572376765787
outplane,AQP8,1,0.9998476675275957
outplane,PDGFRB,1,0.22174358459743282
outplane,ASPN,1,0.33425290609028724
outplane,TBX3,1,0.2424340054162889
outplane,EHF,1,0.9987822533141789
outplane,AMY2A,1,0.9999797722248952
ambient,GATM,1,0.9999517439213292
ambient,AQP8,1,0.9998283345038036
ambient,GLYATL1,2,0.5499972578630705
outplane,MYH11,1,0.996024400387036
outplane,AMY2A,2,0.999981352930455
outplane,GATM,2,0.999961576502051
induction,AMY2A,6,0.9999822503924995
induction,GATM,11,0.9999634654738283
induction,AQP8,13,0.9998667331239987
ambient,COCH,1,0.8632726475721739
ambient,GATM,1,0.9999594118947899
inplane,AMY2A,2,0.9999814325859853
inplane,HAMP,1,0.9107839808066841
inplane,GATM,1,0.9999617820417642
outplane,MYC,1,0.8296049369938734
outplane,AMY2A,3,0.9999806664175176
inplane,NTN4,1,0.7738772020509059
inplane,TENT5C,1,0.9977119462395274
inplane,AMY2A,1,0.9999811986153637
inplane,GATM,1,0.999961312052922
outplane,FKBP11,1,0.9784292135664632
outplane,EPCAM,1,0.9995566923407639
outplane,MET,1,0.7487479190998099
outplane,AMY2A,2,0.9999775670107831
outplane,GATM,1,0.9999533570828341
ambient,PROX1,1,0.9281964854292999
ambient,GATM,1,0.9999631272501533
outplane,SRPX,1,0.26234029169780027
outplane,AMY2A,2,0.9999818259936769
outplane,GATM,1,0.9999625771067878
outplane,CD3D,1,0.8366535538414279
outplane,AMY2A,2,0.9999748720879478
outplane,GATM,1,0.9999478600962445
induction,AMY2A,11,0.9999797348731319
induction,GATM,9,0.9999581427665252
induction,AQP8,10,0.9998495518822395
inplane,PCNA,1,0.7020567523716941
inplane,AMY2A,2,0.9999784407801028
inplane,AQP8,1,0.999841093716012
induction,AMY2A,10,0.9999831058503877
induction,GATM,12,0.9999652337843746
induction,AQP8,8,0.9998730655350022
outplane,CLEC4E,1,0.8283072180200324
outplane,PPP1R1B,1,0.9905548394422398
outplane,AMY2A,1,0.9999799683073178
outplane,AQP8,1,0.999851553393732
inplane,CXCR4,1,0.06995724775084666
inplane,MYC,1,0.485190404980539
inplane,C1orf162,2,0.5983522311371685
inplane,AMY2A,1,0.9999331335922653
induction,AMY2A,13,0.9999819135859533
induction,GATM,9,0.9999627432388959
induction,AQP8,8,0.9998645489311766
outplane,NTN4,1,0.9041973774778969
outplane,CFB,1,0.9365511913980169
outplane,KCNK3,1,0.9857712435757756
outplane,CXCL2,1,0.7968415017096049
ambient,ANPEP,1,0.9997496802919666
ambient,CFTR,1,0.9998957503253534
ambient,UMOD,1,0.9256992849299062
ambient,GLYATL1,1,0.6456108863660462
outplane,TIMP4,1,0.4004445743884345
outplane,AMY2A,2,0.9999830360497535
outplane,GATM,1,0.9999650829111548
outplane,AQP8,1,0.9998726274333438
induction,AMY2A,10,0.9999833848503625
induction,GATM,9,0.999965803767967
induction,AQP8,11,0.9998752111718222
ambient,CFTR,1,0.9998918938676428
ambient,GATM,1,0.9999628930272552
outplane,AMY2A,3,0.9999835322520884
outplane,CPA3,1,0.9358230374518938
inplane,AMY2A,3,0.999982709989427
inplane,FXYD2,1,0.9857159509604865
inplane,SMYD2,1,0.7898518230929455
inplane,FKBP11,1,0.9497809246684883
inplane,AMY2A,2,0.9999811702276878
inplane,AMY2A,2,0.9999390064118924
inplane,GATM,1,0.9998686992317513
inplane,AQP8,1,0.9995995687729752
outplane,FKBP11,1,0.8171057607517667
outplane,MYC,1,0.49006992345256417
outplane,ANPEP,1,0.9991365735752008
outplane,RND1,1,0.2063689469036133
outplane,AMY2A,2,0.9999423474584082
outplane,GPC3,1,0.5683030110064329
outplane,GATM,1,0.9998759485171762
outplane,SEMA3C,1,0.8167688642903694
outplane,CFTR,1,0.999714377771245
outplane,AMY2A,3,0.9999417997573169
outplane,AMY2A,2,0.9999332092125833
outplane,FXYD2,2,0.9199871906373708
outplane,AMY2A,4,0.9999490415994131
outplane,GATM,1,0.9998914332523359
outplane,FKBP11,1,0.8094490724916386
outplane,CFTR,1,0.999693768535748
outplane,AMY2A,1,0.9999499470236398
outplane,CPA3,1,0.6717576127317051
outplane,GATM,1,0.9998933732298388
ambient,DPEP1,1,0.8696523393190088
ambient,AQP8,1,0.9995383716703158
inplane,CFTR,2,0.9996861923897099
inplane,TM4SF4,1,0.9929670609875912
inplane,GATM,1,0.999872920542795
induction,AMY2A,10,0.9999514442621701
induction,GATM,3,0.9998965586708982
induction,AQP8,5,0.9996717909349663
outplane,PDGFRA,1,0.8475565894890353
outplane,AMY2A,1,0.9999320383493479
outplane,C7,1,0.6523444156802473
outplane,GATM,1,0.9998539692331094
induction,AMY2A,1,0.9999452840799726
induction,GATM,6,0.9998821906781227
induction,AQP8,5,0.9996409499777645
outplane,AMY2A,4,0.9999437061260323
outplane,AQP8,1,0.9996331535998311
outplane,GCG,1,0.9975516296788648
outplane,SFRP4,1,0.9040921044946859
outplane,CFTR,2,0.9996985155543655
outplane,AMY2A,1,0.9999486785863928
outplane,PROX1,1,0.6602063656686028
induction,AMY2A,10,0.9999621619391006
induction,GATM,9,0.9999201332154135
induction,AQP8,5,0.9997372750902083
ambient,ANPEP,1,0.9995411340261617
ambient,UMOD,1,0.7507125412315974
inplane,PMP22,1,0.2129994897675147
inplane,MYC,1,0.544252515947222
inplane,AMY2A,4,0.9999676023290673
induction,AMY2A,3,0.9999452449574863
induction,GATM,8,0.999882206155972
induction,AQP8,1,0.9996398612653401
inplane,MDM2,1,0.7716726038164177
inplane,CFTR,1,0.9997914748938805
inplane,AMY2A,1,0.9999507419875067
inplane,GATM,1,0.9998950692971583
outplane,FGL2,1,0.6115283221195359
outplane,PTPRC,1,0.997791672954956
outplane,AMY2A,2,0.9999484427656599
ambient,AQP8,1,0.9995991563683322
ambient,GLYATL1,1,0.20314827964429139
outplane,CFTR,1,0.9998468540223424
outplane,AMY2A,2,0.9999752132502447
outplane,GATM,2,0.9999486177975007
induction,AMY2A,11,0.9999811446523378
induction,GATM,10,0.9999611518687639
induction,AQP8,9,0.9998588791485135
inplane,KRT7,1,0.9906443186106959
inplane,AMY2A,5,0.9999816441960006
inplane,GATM,1,0.9999621868631154
outplane,TENT5C,1,0.9966506014320614
outplane,AMY2A,4,0.9999683971164807
outplane,AQP8,1,0.9997720280626714
ambient,CFTR,1,0.9998060795396484
ambient,PROX1,1,0.849007463401044
induction,AMY2A,8,0.9999773203804261
induction,GATM,12,0.9999530103844891
induction,AQP8,10,0.9998332899931428
ambient,KCNK3,1,0.939597169215191
ambient,HAMP,1,0.8208947928333916
inplane,GDF15,2,0.8705698894100236
inplane,AMY2A,2,0.999969014003062
inplane,GATM,1,0.9999356151689481
induction,AMY2A,10,0.9999812576309315
induction,GATM,13,0.9999612991281115
induction,AQP8,7,0.9998607257475016
inplane,AMY2A,1,0.9999818535140251
inplane,KCNK3,1,0.9780138813274388
inplane,GATM,2,0.9999626527407104
induction,AMY2A,10,0.9999797261368457
induction,GATM,9,0.9999581955837347
induction,AQP8,11,0.9998486612576954
outplane,SMYD2,1,0.7759115553011733
outplane,ANPEP,1,0.9997365189905691
outplane,AMY2A,1,0.9999816221547153
outplane,AQP8,1,0.9998619251298976
induction,AMY2A,11,0.9999719760655498
induction,GATM,8,0.9999413791590592
induction,AQP8,11,0.9998000675290853
inplane,ANPEP,1,0.999641595906043
inplane,AMY2A,3,0.9999753333799848
outplane,EPCAM,1,0.9992194995402843
outplane,ANPEP,1,0.9995297301335249
outplane,GPC3,1,0.6470205143453291
outplane,GATM,2,0.9999336025584592
ambient,KCNK3,1,0.9603877956062697
ambient,AQP3,1,0.8450906652981844
induction,AMY2A,9,0.9999817881457177
induction,GATM,10,0.9999624893700488
induction,AQP8,11,0.9998635560221072
inplane,AMY2A,1,0.9999816067929294
inplane,COCH,1,0.8437762233682616
inplane,GATM,2,0.9999621291135479
induction,AMY2A,9,0.9999815482789368
induction,GATM,16,0.9999619389500518
induction,AQP8,5,0.9998624230406492
inplane,AMY2A,2,0.9999763723094667
inplane,EGFR,1,0.8625896013830159
inplane,GATM,2,0.9999510597899526
inplane,AQP8,1,0.9998261680273007
inplane,AMY2A,5,0.9999775258260661
inplane,KCNK3,1,0.9594373466392954
inplane,ANPEP,1,0.9996072065165744
inplane,ADAM28,1,0.8387710374608452
inplane,AMY2A,3,0.9999732764237307
inplane,GPC3,1,0.8684916801797415
inplane,GATM,1,0.9999444861459816
inplane,TCIM,1,0.0
inplane,CYTIP,1,0.9096290929298392
inplane,AMY2A,3,0.9999637417709295
inplane,GATM,1,0.9999241542920376
ambient,AMY2A,1,0.9999682661333237
ambient,PROX1,1,0.7989798013029221
ambient,KCNK3,1,0.9562498125084888
ambient,HAMP,1,0.8540643514112722
ambient,ANPEP,1,0.999650032067578
ambient,CA4,1,0.838516145585436
ambient,CPA3,1,0.8213372697381216
ambient,KCNK3,1,0.9663318679239308
ambient,ANPEP,1,0.9996501237612835
ambient,KCNK3,1,0.955105982695201
ambient,CA4,2,0.8187369650614821
inplane,TENT5C,1,0.9979179507228696
inplane,AMY2A,2,0.9999804918625019
inplane,GATM,1,0.999959676403828
ambient,DPEP1,1,0.977733837096608
ambient,COCH,1,0.7807174031625935
outplane,CD79A,1,0.9729672511028686
outplane,AMY2A,3,0.9999722935286187
outplane,GATM,1,0.9999423917035823
outplane,AQP8,1,0.9997986108428042
outplane,APOLD1,1,0.0
outplane,CFTR,1,0.999843558357638
outplane,AMY2A,2,0.9999685251285867
inplane,IGF1,1,0.6096600359717859
inplane,AMY2A,2,0.9999655716002568
inplane,GATM,2,0.9999244541283759
inplane,CD1C,1,0.937513652476795
inplane,AMY2A,1,0.9999766205538525
inplane,GATM,3,0.9999515712753955
induction,AMY2A,9,0.9999812614947269
induction,GATM,12,0.99996142293193
induction,AQP8,9,0.9998593938336868
inplane,NTN4,1,0.8873518944438973
inplane,CFTR,1,0.9998709762953868
inplane,AMY2A,2,0.9999762119584295
induction,AMY2A,11,0.9999732250490428
induction,GATM,13,0.9999443762038369
induction,AQP8,6,0.9998048566326633
inplane,EDN1,1,0.21643450393257935
inplane,ANPEP,1,0.9997230891001103
inplane,AMY2A,1,0.9999807785957803
inplane,INS,1,0.9974044121600878
ambient,CA4,1,0.8140137330100633
ambient,HAMP,1,0.8350517662182243
outplane,FKBP11,1,0.8489647797634144
outplane,SERPINB9,1,0.18648042651501517
outplane,TENT5C,1,0.9963659651950606
outplane,AMY2A,1,0.9999683030966006
ambient,CFTR,1,0.9998793080593427
ambient,KCNK3,1,0.9504901750673266
induction,AMY2A,9,0.9999795824604177
induction,GATM,11,0.9999578727367785
induction,AQP8,10,0.9998479002057767
outplane,CD163,1,0.996275274762967
outplane,CD1E,1,0.7229509020133255
outplane,AMY2A,4,0.9999738263260896
