cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9675709975621034
inplane,AMY2A,2,0.9999736609512326
inplane,GATM,1,0.9999435642411231
inplane,FKBP11,1,0.9692023229541207
inplane,RIDA,1,0.9242101326579699
inplane,AMY2A,2,0.9999788835609076
ambient,FKBP11,1,0.9509024941638282
ambient,DIRAS3,1,0.09192630031622051
induction,CA4,3,0.017557357309706867
induction,PROX1,7,0.11561090045886946
outplane,CLEC10A,1,0.38603420889713225
outplane,CFB,1,0.9195153978153061
outplane,AMY2A,3,0.9999721957762443
induction,CA4,4,0.014905300590175363
induction,PROX1,2,0.10770357200277836
induction,DIRAS3,4,0.020490771147284148
inplane,AMY2A,3,0.9999783727516572
inplane,GATM,2,0.9999541653253213
inplane,FGL2,1,0.7754494973390456
inplane,CXCR4,1,0.4514609724237272
inplane,ANPEP,1,0.9997402593945309
inplane,GATM,1,0.9999611043305603
outplane,CYP2A7,1,0.8027883213870345
outplane,CFTR,2,0.9998826958381725
outplane,AMY2A,1,0.9999804661298134
inplane,CFB,1,0.8115365598858506
inplane,MDM2,1,0.562153972006391
inplane,EPCAM,1,0.999328379849969
inplane,AMY2A,1,0.9999797900729255
induction,CA4,4,0.017961595712423284
induction,PROX1,3,0.12754401189600784
induction,DIRAS3,3,0.024442974972428422
inplane,DST,1,0.6453648565297532
inplane,CFTR,1,0.9998640405440371
inplane,PROX1,1,0.3304582965482552
inplane,GATM,1,0.9999505505396499
ambient,FKBP11,2,0.9648672541249477
ambient,KCNK3,1,0.9860026514692903
ambient,GLYATL1,1,0.763030371442697
inplane,AMY2A,3,0.9999813405329417
inplane,GATM,1,0.9999606372191768
inplane,CFTR,1,0.9998830678287911
inplane,AMY2A,2,0.9999782065045276
inplane,AQP8,1,0.9998100923060855
induction,CA4,3,0.01849288449099562
induction,PROX1,6,0.12593881436069287
induction,DIRAS3,1,0.02373652770448431
induction,CA4,3,0.02548611011231927
induction,PROX1,4,0.20653093156350186
induction,DIRAS3,3,0.0395778470571877
outplane,AMY2A,4,0.999980737660143
outplane,APOA5,1,0.49286394572343084
outplane,GATM,2,0.9999593563100337
outplane,INS,1,0.9975181513526145
induction,CA4,3,0.02396168391019815
induction,PROX1,3,0.16027223765257692
induction,DIRAS3,4,0.032044222126679456
induction,CA4,2,0.0277712072734565
induction,PROX1,3,0.18475308040670113
induction,DIRAS3,5,0.03764474020230757
inplane,GPRC5A,1,0.9894714704587518
inplane,SLC4A1,1,0.27341407012003593
inplane,AMY2A,2,0.9999813918411347
ambient,CFTR,1,0.9998855804537722
ambient,UMOD,1,0.9240015966652324
outplane,TMC5,1,0.9932266771423987
outplane,CFTR,2,0.9998872432397728
outplane,AMY2A,1,0.9999806052185
ambient,GATM,1,0.9999621099320954
ambient,AQP3,1,0.9440167699753335
induction,CA4,8,0.019956646494212915
induction,PROX1,1,0.1360289092522362
induction,DIRAS3,1,0.026053274648510705
induction,CA4,2,0.016379161950450305
induction,PROX1,4,0.10943631269434195
induction,DIRAS3,4,0.02148879547892868
induction,CA4,1,0.031170443035831386
induction,PROX1,4,0.2033579061410492
induction,DIRAS3,5,0.04226607440443708
inplane,VWA5A,1,0.8742358289498118
inplane,CFTR,2,0.9998891667237345
inplane,AMY2A,1,0.9999810852166531
inplane,AQP8,1,0.9998366718743635
inplane,CFB,1,0.9543276791553161
inplane,MYC,1,0.8625099378332136
inplane,AMY2A,3,0.9999771794561891
inplane,GATM,1,0.9999510021126349
ambient,KLK11,1,0.9956777706304407
ambient,COCH,1,0.8773733036288518
ambient,AMY2A,1,0.9999792692484238
ambient,GLYATL1,1,0.7352319538541399
inplane,CFTR,1,0.9998722342512336
inplane,EDNRB,1,0.0
inplane,GATM,2,0.9999533141903717
induction,CA4,4,0.0280354345805105
induction,PROX1,2,0.18587742571203292
induction,DIRAS3,4,0.03741317764413776
inplane,CFTR,1,0.9998493115876302
inplane,AMY2A,2,0.9999743178930711
inplane,GATM,1,0.9999452408907027
outplane,MYC,1,0.8720049494114264
outplane,AMY2A,1,0.9999761334323911
outplane,GATM,1,0.9999487614913993
outplane,AQP8,1,0.9997876682863943
outplane,PMP22,1,0.2568673020200858
outplane,CFTR,1,0.9998681028722686
outplane,AMY2A,1,0.9999775376194332
outplane,ELF5,1,0.3322827471029912
ambient,PROX1,2,0.3782580478118367
outplane,APCDD1,1,0.4200420467308843
outplane,DST,2,0.6528574897001154
outplane,PROX1,1,0.549138534810031
inplane,GHRL,1,0.9665965692417379
