pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
epithelial -> endothelial,46324.80258612996,46650.06153861943,2982.714481265163,0.05412830267569262
fibroblast -> endothelial,91173.12827783794,88580.7239883428,2717.2098491651295,0.047415734101463734
immune other -> endothelial,170375.3820281101,171555.1673770033,0.0,0.0752841186143164
macrophage -> endothelial,12273.914809297843,13739.06906460713,13764.104309943696,0.01374686897185159
malignant -> endothelial,9133.609251325885,9713.120349989582,0.0,0.025913355086662194
endothelial -> epithelial,42326.501955240834,42518.87932095927,14833.751995659106,0.04771384440448358
fibroblast -> epithelial,32507.08901241356,34666.0004342794,0.0,0.03143740084275594
malignant -> epithelial,34960.931818423545,37181.208331712405,0.0,0.08603806759130804
endothelial -> fibroblast,123624.52212237571,122504.8181965675,26299.56874580389,0.05598700372675324
epithelial -> fibroblast,33739.85792913316,35394.8142377571,1866.1831928571214,0.03834382518214312
immune other -> fibroblast,375586.94333849574,385217.75021807326,5223.047278648402,0.09767330391863127
macrophage -> fibroblast,31876.86655292072,37566.1932738134,17626.575662370808,0.02315980577684792
malignant -> fibroblast,52648.22057958813,53133.423605790435,4950.189593453233,0.05649165144091637
endothelial -> immune other,187450.69837040233,195859.9981813694,51488.275178981305,0.03557350265242215
epithelial -> immune other,128245.3887397508,132135.06970117943,4320.05966269582,0.04759366861780398
fibroblast -> immune other,694460.974734874,716938.7666705457,0.0,0.09005545685764206
macrophage -> immune other,274178.99859285244,278635.46108984266,64398.45098853067,0.0668221598143277
malignant -> immune other,56198.837105097096,58467.298148651906,6685.722565443209,0.0434808249011659
endothelial -> macrophage,15335.92906231754,15449.510350787441,0.0,0.018194567147533428
epithelial -> macrophage,13817.10183176857,15111.647750905842,0.0,0.016901192145607
fibroblast -> macrophage,31041.39524620783,30554.17118735712,1893.0116752941144,0.03848719619587827
malignant -> macrophage,8571.941051681068,9788.272120001035,0.0,0.013504295806482368
endothelial -> malignant,15487.25671442123,15959.124079212883,7006.557516359359,0.010681346193765468
epithelial -> malignant,62241.34601904392,66707.67082107635,3071.091484017154,0.054155585486507396
fibroblast -> malignant,48620.6727652681,47839.22314659428,4562.464478283086,0.01434440573907329
immune other -> malignant,40777.388415961585,46705.520561873884,0.0,0.014888363030293597
macrophage -> malignant,10168.483652247662,10841.81026182989,18374.363676932808,0.015935101862648477
