pair,gene,resid_z,excess,proportional_expected
epithelial -> endothelial,HSP90AA1,13.869212352275504,1102.965748193888,114.93900750888683
epithelial -> endothelial,CCND1,17.31987645728709,889.7192130565527,103.83873727527343
epithelial -> endothelial,KRT7,10.394259516537723,830.0845547646371,259.3797714091372
fibroblast -> endothelial,IGFBP3,13.37604978152607,1591.3932047420565,172.59834459177156
macrophage -> endothelial,DUSP5,16.729087770630194,5257.256058132276,759.4013526169789
macrophage -> endothelial,GADD45B,16.19144066914561,1083.9307612345442,59.787910590120845
endothelial -> epithelial,HSPA1A,15.829061969464972,3569.770172847391,819.5302667970874
endothelial -> epithelial,HSPB1,8.495134999619875,1272.527579737336,299.9163438888434
endothelial -> epithelial,HSPA1B,16.38832310971899,3269.5793621013136,702.8674758927353
endothelial -> epithelial,FOS,9.170050581086947,971.3755139515388,187.10379783468372
endothelial -> epithelial,RGCC,10.760223442969172,863.3213604247335,244.0695024638667
endothelial -> epithelial,CAV1,13.090176282724425,815.7214881641452,124.16378757820578
endothelial -> fibroblast,MT1X,10.06444759067937,1221.1812079828424,244.37326412373469
endothelial -> fibroblast,GPX3,19.80659721071814,2497.090699879832,490.5705849711723
endothelial -> fibroblast,COL18A1,19.59671525649442,3036.1389924503274,452.2533950870177
endothelial -> fibroblast,COL4A1,14.421764792932375,4278.496700207083,1144.1573020333954
endothelial -> fibroblast,ADIRF,8.388313796926381,566.9005118153876,111.15969972292801
endothelial -> fibroblast,CAV1,8.187734792815718,974.3899579322588,328.221402530681
endothelial -> fibroblast,ITGA9,8.367448501282283,563.7032878288576,96.4734337953334
endothelial -> fibroblast,COL4A2,15.346539159264955,5441.594845953949,1330.6748589161764
endothelial -> fibroblast,CCL21,10.868679993629998,1356.7605604809553,390.0518669755033
endothelial -> fibroblast,RGS5,12.48067009371801,1051.7439427554987,268.1479510253112
endothelial -> fibroblast,PDGFA,9.518429353309928,605.7466804136045,103.2630745987081
epithelial -> fibroblast,CD81,8.407252124699156,616.0371829166447,130.58431287351416
