pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
epithelial -> endothelial,50115.052433989666,50904.48689860075,0.0,0.05867438291271645
fibroblast -> endothelial,90877.46422516179,88499.11961798566,0.0,0.04726222799671114
immune other -> endothelial,172442.83171479552,173507.5233155297,0.0,0.07619775115294053
macrophage -> endothelial,12282.253997885618,13897.376612067506,0.0,0.013756698788701255
malignant -> endothelial,9163.363437359578,9717.492722998739,0.0,0.02599777196577203
endothelial -> epithelial,43150.31037070816,45153.321387663455,0.0,0.04881875482953949
fibroblast -> epithelial,32482.849749297864,34662.614290010955,0.0,0.03140105792111245
malignant -> epithelial,35071.35254779715,37248.186376845,0.0,0.08630981052501098
endothelial -> fibroblast,173260.2298657776,168345.20061582848,0.0,0.07862616991357312
epithelial -> fibroblast,34009.97770331228,35901.860702237645,0.0,0.038650804109592034
immune other -> fibroblast,380003.57843841997,395411.8484227713,0.0,0.09882188131362928
macrophage -> fibroblast,31909.103025973014,38145.33075920738,0.0,0.023183226850985877
malignant -> fibroblast,61343.840515201766,61050.343507780824,0.0,0.0656360744370767
endothelial -> immune other,188949.8748328492,201057.876393346,0.0,0.03585800923643029
epithelial -> immune other,129309.56964852267,133752.97667787358,0.0,0.047988052725771495
fibroblast -> immune other,694954.7876313129,713655.9221672284,0.0,0.09011676093090155
macrophage -> immune other,275460.25171661936,281810.428398355,0.0,0.06712082682937809
malignant -> immune other,56383.417948840724,59131.83206516222,0.0,0.043622121843923785
endothelial -> macrophage,15469.427858832858,15577.364190519544,0.0,0.018352950301722706
epithelial -> macrophage,13954.010445351101,15237.54193968989,0.0,0.017068659883249838
fibroblast -> macrophage,30966.533834873135,30893.76936625549,0.0,0.03839437801542323
malignant -> macrophage,8603.61417645302,9822.78811950644,0.0,0.013554193868479912
endothelial -> malignant,15631.327376922716,16237.775085147565,0.0,0.01078070973186131
epithelial -> malignant,62686.82113596513,68275.52163425628,0.0,0.05454184246498247
fibroblast -> malignant,48686.19138936496,48508.047257564045,0.0,0.014363741375832094
immune other -> malignant,41402.874678913664,47712.667256574714,0.0,0.015115577517809866
macrophage -> malignant,10301.807858260807,11701.35290725974,0.0,0.01618292474813639
