pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
epithelial -> endothelial,4061.009047117384,4491.053507927503,0.0,0.004814950967374401
fibroblast -> endothelial,2949.071567527748,3054.4987607181333,0.0,0.0015681527915570922
immune other -> endothelial,0.0,0.0,0.0,0.0
macrophage -> endothelial,304.4973341348676,339.6504656602916,0.0,0.0003198222859170853
malignant -> endothelial,250.71910860624655,253.41739972106882,0.0,0.0005726266780470828
endothelial -> epithelial,6306.942120094281,7205.434241936198,0.0,0.006509040642417565
fibroblast -> epithelial,2289.3640244707685,2895.3275289767366,0.0,0.0022186329153522245
malignant -> epithelial,0.0,0.0,0.0,0.0
endothelial -> fibroblast,1582.8507559711081,1707.2721116133466,0.0,0.0006796609877040661
epithelial -> fibroblast,545.432149393763,581.3433408234705,0.0,0.0008200539160551395
immune other -> fibroblast,6970.703324617203,7359.406732453925,0.0,0.0018352092986316554
macrophage -> fibroblast,721.9115539530173,777.7288098423965,0.0,0.0005235364280531497
malignant -> fibroblast,279.27722762499593,301.51563261639035,0.0,0.0003051176318164779
endothelial -> immune other,1937.5942962611962,1999.287132750298,0.0,0.0003769470174428692
epithelial -> immune other,1426.3582247703703,1575.164741039167,0.0,0.0005620957196515976
fibroblast -> immune other,8693.870595695073,7572.9203910538345,0.0,0.0011788296667782643
macrophage -> immune other,9339.192715974888,11670.541547164416,0.0,0.0019570337487382883
malignant -> immune other,1360.3805618208553,1518.160182282384,0.0,0.0008183858867192626
endothelial -> macrophage,47.42622256056772,41.07831084376189,0.0,5.315676055367654e-05
epithelial -> macrophage,934.0536899373491,1043.179538811457,0.0,0.0012710456350835228
fibroblast -> macrophage,1628.2296953190971,1923.1735609340903,0.0,0.0018852397310679693
malignant -> macrophage,971.5370623445723,1114.4261323253786,0.0,0.0015431734422603203
endothelial -> malignant,668.9045018070245,710.1976121860423,0.0,0.0004756430548245516
epithelial -> malignant,1118.1240914835143,1198.411171518133,0.0,0.000993554400444889
fibroblast -> malignant,1381.2396512848763,1540.6725428424315,0.0,0.0004325400133313632
immune other -> malignant,2491.3434904301816,2855.248165912255,0.0,0.000700503024528727
macrophage -> malignant,1246.734710335762,1450.0953095213617,0.0,0.001399854741237772
