pair,stratum,totals,rate,excess_rate,lam
epithelial -> endothelial,0,1465349.0,0.007547007572939962,0.0,0.0
epithelial -> endothelial,1,344081.0,0.007862612843054692,0.0003156052701147301,0.0036072000084657533
epithelial -> endothelial,2,207982.0,0.007862612843054692,0.0003156052701147301,0.0036072000084657533
epithelial -> endothelial,3,133047.0,0.007862612843054692,0.0003156052701147301,0.0036072000084657533
epithelial -> endothelial,4,77232.0,0.007862612843054692,0.0003156052701147301,0.0036072000084657533
epithelial -> endothelial,5,35245.0,0.00893743793445879,0.0013904303615188277,0.015891877882832816
epithelial -> endothelial,6,21972.0,0.009282447735191638,0.001735440162251676,0.01983515600259262
epithelial -> endothelial,7,11908.0,0.009282447735191638,0.001735440162251676,0.01983515600259262
epithelial -> endothelial,8,2515.0,0.009282447735191638,0.001735440162251676,0.01983515600259262
epithelial -> endothelial,9,341.0,0.009282447735191638,0.001735440162251676,0.01983515600259262
fibroblast -> endothelial,0,407177.0,0.026288321786348445,0.0,0.0
fibroblast -> endothelial,1,525902.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,2,436286.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,3,337816.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,4,215077.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,5,137521.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,6,86291.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,7,62851.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,8,38071.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,9,24614.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,10,15531.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,11,7069.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,12,3594.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,13,521.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,14,1181.0,0.026541423909740663,0.00025310212339221816,0.0015455114943328536
fibroblast -> endothelial,15,170.0,0.047058823529411764,0.02077050174306332,0.12683042226879992
immune other -> endothelial,0,40539.0,0.015351754511078102,0.0,0.0
immune other -> endothelial,1,59066.0,0.015351754511078102,0.0,0.0
immune other -> endothelial,2,98197.0,0.015351754511078102,0.0,0.0
immune other -> endothelial,3,139724.0,0.015351754511078102,0.0,0.0
immune other -> endothelial,4,197398.0,0.015351754511078102,0.0,0.0
