"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"endothelial -> epithelial","endothelial","epithelial",3591,2743,0.141787348064529,0.0816437502053764,NA,0.0488894611255341
"endothelial -> fibroblast","endothelial","fibroblast",7400,2083,0.00134692127264169,-0.0111664595974346,NA,0.0141186808888759
"endothelial -> immune other","endothelial","immune other",16290,7443,0.00549426612529824,0.00499927033690439,NA,0.00513673037638729
"endothelial -> macrophage","endothelial","macrophage",1603,1007,0.0149448819101603,0.0269684619893059,0.031137291204938,0.0109051790161562
"endothelial -> malignant","endothelial","malignant",1805,1399,0.0197077692124979,0.0230701464299617,0.0261568969346548,0.00847612645467399
"epithelial -> endothelial","epithelial","endothelial",4496,2528,0.0971898992779222,0.0650559445454786,0.105702017523773,0.0195521554093205
"epithelial -> fibroblast","epithelial","fibroblast",3562,1810,0.0133689202441543,0.0115192114674726,0.0150128250971062,0.00525999451892534
"epithelial -> immune other","epithelial","immune other",13697,7164,0.0136255158313624,0.0105403378488456,0.0181032976175044,0.00452812210709042
"epithelial -> macrophage","epithelial","macrophage",1443,926,0.0648146889424623,0.0369026400438656,0.0644816364866546,0.00870669947739966
"epithelial -> malignant","epithelial","malignant",4300,730,0.0011524893161039,0.0100093311341891,NA,0.00286017677914729
"fibroblast -> endothelial","fibroblast","endothelial",15456,6103,0.00513201530430007,0.00212918620622837,NA,0.0111162479108435
"fibroblast -> epithelial","fibroblast","epithelial",8283,5251,0.110766083453657,0.0823643667158428,0.0900201603118967,0.035316676251275
"fibroblast -> immune other","fibroblast","immune other",176703,71952,0.00173041376940331,0.00111375353821086,NA,0.00768801753733128
"fibroblast -> macrophage","fibroblast","macrophage",8703,4994,0.0862235007131326,0.063010726791577,0.0628795639895118,0.0214962077561284
"fibroblast -> malignant","fibroblast","malignant",13721,6095,0.0456061506855633,0.0372303840541564,0.0374383118559012,0.00814836480625558
"immune other -> endothelial","immune other","endothelial",22171,13010,0.00493126962052204,0.00438869830283473,0.00447925079885836,0.00288956470265167
"immune other -> fibroblast","immune other","fibroblast",52200,28410,0.0195572036533093,0.0170336110134216,0.0143593155574298,0.0086969598620229
"immune other -> malignant","immune other","malignant",4635,2930,0.0206906908284042,0.0131671297789711,0.0137204274566407,0.00662321024123391
"macrophage -> endothelial","macrophage","endothelial",2173,1332,0.00727817305907452,0.00955253940462963,0.0130943467445973,0.00695480567441897
"macrophage -> fibroblast","macrophage","fibroblast",8018,3843,0.0142426072959516,0.011150505752957,0.00730183762846237,0.00690174340731853
"macrophage -> immune other","macrophage","immune other",47041,21198,0.0120931007629301,0.00789832269808921,NA,0.00921145519725008
"macrophage -> malignant","macrophage","malignant",2019,1318,0.040467117552381,0.0576569292882424,0.065617443433968,0.0109318607727824
"malignant -> endothelial","malignant","endothelial",1654,756,0.02776983219262,0.021247832594167,0.0165457628690051,0.016401472346368
"malignant -> epithelial","malignant","epithelial",4949,1834,0.00145402288364171,0.00331478459963908,NA,0.00685718700807225
"malignant -> fibroblast","malignant","fibroblast",9762,4513,0.00904070993424899,0.00974820323148951,0.00996870351137802,0.00496413646655813
"malignant -> immune other","malignant","immune other",11695,6745,0.0194698505716903,0.0116381131361927,0.0158004495888239,0.00531329223137444
"malignant -> macrophage","malignant","macrophage",1742,462,0.0568857741045337,0.0799406037136209,0.0714573706937859,0.0205240002371867
