"cluster","cluster_label","merged_annotation","marker_rationale"
"1","T/NK lymphocyte, BIRC3+","T / NK","BIRC3, IL7R, TRAC, TRBC1, CTLA4, CD8A"
"2","T/NK lymphocyte, EEF1G/BIRC3 high","T / NK","EEF1G with BIRC3, IL7R, TRAC/TRBC1, CD52"
"3","T/NK lymphocyte, HSPA8/MYH9+","T / NK","HSPA8/MYH9 with TRAC/TRBC1, CD8A, IL7R"
"4","B/T mixed lymphocyte, SNHG15+","B / plasma","SNHG15 plus MS4A1/TNFRSF13C/P2RX5 and T-cell markers"
"5","SOX2-OT+/DUX4+ epithelial-like","Epithelial","SOX2-OT, DUX4, CDC27 with weak epithelial/stromal signal"
"6","rare ambiguous low-confidence","Ambiguous / low-quality","INA, CSF1, PBK, FOXO1; weak/rare mixed markers"
"7","T/NK lymphocyte, HNRNPH1+","T / NK","HNRNPH1 with IL7R, CXCR4, TRAC/TRBC1"
"8","inflammatory myeloid / stromal-mixed","Myeloid","NAMPT, CCL2, CDKN1A, CTSL, SOCS3, DCN"
"9","stress-response stromal/myeloid mixed","Ambiguous / low-quality","CDKN1A, HNRNPD, CCL2, DCN, CTSL"
"10","ambiguous H3F3B/PEG10+","Ambiguous / low-quality","H3F3B with weak PEG10/TNXB/MEG3; low-confidence"
"11","endothelial","Endothelial","AQP1, COL4A1, EPAS1, FLT1, PLVAP"
"12","B/T mixed lymphocyte, SNHG15/EEF1G+","B / plasma","SNHG15/EEF1G with MS4A1/TNFRSF13C/P2RX5 and T-cell markers"
"13","T/NK lymphocyte, H3F3B/EEF1G+","T / NK","H3F3B/EEF1G with IL7R, TRAC/TRBC1, CD3D/CD3E"
"14","CAF / fibroblast, POSTN/TIMP3+","Fibroblast / CAF","TIMP3, POSTN, LUM, BGN, SERPINE1, COL5A1"
"15","myeloid / antigen-presenting","Myeloid","NAMPT, MS4A6A, C1QC, AIF1, CTSL, ITGAX"
"16","luminal epithelial / tumor","Epithelial","XBP1, RAB11FIP1, SLC9A3R1, CA12, HSPB1"
"17","SOX2-OT+ epithelial-like","Epithelial","SOX2-OT with immune markers; epithelial-like ambiguous"
"18","mixed epithelial/stromal","Ambiguous / low-quality","TIMP3 with XBP1/RAB11FIP1/CA12 epithelial markers"
"19","T/NK lymphocyte, HNRNPH1/EEF1G+","T / NK","HNRNPH1/EEF1G with IL7R, TRAC/TRBC1, CD52"
"20","T/NK lymphocyte, EEF1G+","T / NK","EEF1G with IL7R, CD52, TRAC/TRBC1"
"21","T/NK lymphocyte, ATF4/YWHAZ+","T / NK","EEF1G, ATF4, YWHAZ with IL7R/CD52/T-cell markers"
"22","activated myeloid / dendritic-like","Myeloid","CDKN1A, BIRC3, CD83, DUSP5, LY75, LAMP3"
"23","inflammatory myeloid","Myeloid","NAMPT, CDKN1A, AIF1, MS4A6A, MNDA"
"24","luminal epithelial / tumor, CA12+","Epithelial","CA12, RAB11FIP1, TSPAN13, XBP1, CCND1, GATA3"
"25","T/NK lymphocyte, HSPA8/EEF1G+","T / NK","HSPA8/EEF1G with IL7R, TRAC/TRBC1, CD3D/CD3E"
"26","T/NK lymphocyte, MYH9/EEF1G+","T / NK","MYH9/EEF1G with IL7R, TRAC/TRBC1, CD8A"
